"Symb","Proportion","Orders","Buys","AtAsk","AtBid","NetPrems","PremsChng","AvgExpD","OTM%","OTMScore","Unusual%","SpotChng","Ivol%"
"SPX","36%","356","51.7","138.83M","94.50M","44.33M","10.5%","16.9","51.7%","1.2","0.7","0","25.61"
"SPY","43%","2141","54.7","83.14M","72.11M","11.02M","-43.7%","16.2","54.7%","0.6","0.8","0","21.46"
"FMX","100%","69","98.6","7.68M","213.56K","7.46M","100.0%","30.0","98.6%","-7.4","68.0","0","25.36"
"TSLA","61%","3747","49.2","226.96M","221.39M","5.56M","66.1%","19.6","49.0%","2.9","0.8","0","78.89"
"SIMO","45%","5","60.0","4.02M","241.71K","3.78M","100.0%","132.6","60.0%","5.7","3.0","0","50.42"
"COIN","76%","216","54.2","10.61M","6.84M","3.77M","100.0%","30.4","52.8%","7.4","1.8","0","149.41"
"ABNB","61%","119","52.1","7.11M","4.06M","3.05M","-261.9%","31.9","46.2%","2.3","1.4","0","53.22"
"VIX","82%","85","60.0","8.23M","5.41M","2.83M","31.8%","59.9","58.8%","35.6","0.6","0","88.46"
"CVX","42%","11","63.6","2.72M","371.80K","2.35M","100.0%","208.5","63.6%","-2.8","0.6","0","26.58"
"XOP","26%","5","100.0","1.84M","0.00","1.84M","-201.8%","108.8","100.0%","12.1","0.6","0","37.75"
"META","52%","150","60.7","9.20M","7.54M","1.66M","15.0%","65.2","59.3%","5.3","0.5","0","42.99"
"EWZ","69%","24","79.2","2.01M","482.06K","1.53M","-120.3%","55.3","79.2%","2.6","1.8","0","33.51"
"GOOG","77%","124","52.4","5.43M","3.93M","1.50M","-6.0%","109.8","52.4%","3.7","0.4","0","33.88"
"AI","83%","29","41.4","2.23M","799.52K","1.43M","100.0%","37.4","34.5%","16.8","0.3","0","128.73"
"SLV","67%","30","83.3","1.58M","191.39K","1.38M","-149.8%","253.5","83.3%","6.9","1.4","0","29.4"
"TSM","53%","33","60.6","2.74M","1.43M","1.31M","100.0%","179.2","60.6%","4.8","0.6","0","33.18"
