"Time","Symbol","Type","Price","Size","Value","Filled","Sector","Mcap Proportion"
"11-02 17:44","NET","Blocktrade","53","10.0K","530.0K","AtAsk","Technology","0.0034473059447105285"
"11-02 17:43","W","Blocktrade","46.69","14.83K","692.51K","AtBid","Consumer Cyclical","0.01712419806088546"
"11-02 17:43","XYL","Blocktrade","94.31","29.97K","2.83M","AtAsk","Industrials","0.012486076955530718"
"11-02 17:43","AME","Blocktrade","143.7","28.61K","4.11M","AtBid","Industrials","0.012454479322118654"
"11-02 17:43","HLT","Blocktrade","152.62","34.48K","5.26M","AtBid","Consumer Cyclical","0.013404423724162359"
"11-02 17:43","SU","Blocktrade","34.18","16.49K","563.63K","AtAsk","Energy","0.0012684089414455335"
"11-02 17:43","AJG","Blocktrade","242.2","29.87K","7.23M","AtBid","Financial","0.014025253410732621"
"11-02 17:43","LVS","Blocktrade","48.69","56.42K","2.75M","AtBid","Consumer Cyclical","0.015219010825633077"
"11-02 17:43","LNT","Blocktrade","50.26","36.68K","1.84M","AtAsk","Utilities","0.014545038534181454"
"11-02 17:43","HWM","Blocktrade","48.25","103.06K","4.97M","AtAsk","Industrials","0.025280286551811353"
"11-02 17:43","MLTX","Blocktrade","47.33","11.39K","538.99K","AtAsk","N/A","11388"
"11-02 17:43","SCHW","Blocktrade","54.93","25.44K","1.4M","NoMatch","Financial","0.0016893136323558647"
"11-02 17:43","ZTS","Blocktrade","160.91","8.4K","1.35M","AtAsk","Healthcare","0.0018269733324554926"
"11-02 17:43","GIS","Blocktrade","66.24","121.89K","8.07M","AtAsk","Consumer Defensive","0.021031406228788106"
"11-02 17:43","LULU","Blocktrade","403.5","7.64K","3.08M","AtBid","Consumer Cyclical","0.006562270829573788"
"11-02 17:43","AXTA","Blocktrade","29","57.51K","1.67M","AtBid","Basic Materials","0.026042491348767065"
"11-02 17:43","HOLX","Blocktrade","66.61","102.59K","6.83M","AtAsk","Healthcare","0.04243679491803217"
"11-02 17:43","NAVI","Blocktrade","16.59","26.7K","443.0K","AtBid","Financial","0.030440354386690127"
"11-02 17:43","AROC","Blocktrade","13.78","245.04K","3.38M","AtBid","Energy","0.17821152715320135"
"11-02 17:43","NOW","Blocktrade","599.43","10.45K","6.26M","AtAsk","Technology","0.005133763805004823"
"11-02 17:43","NOVA","Blocktrade","10.1","45.18K","456.31K","AtAsk","Technology","0.04466578433147934"
"11-02 17:43","DHR","Blocktrade","192.98","29.6K","5.71M","AtAsk","Healthcare","0.004298815080275252"
"11-02 17:43","ADSK","Blocktrade","199.24","9.17K","1.83M","AtAsk","Technology","0.004297654531018016"
"11-02 17:43","CADE","Blocktrade","22.71","23.62K","536.46K","AtBid","Financial","0.013129746266124882"
"11-02 17:43","TEVA","Blocktrade","8.78","84.91K","745.47K","NoMatch","Healthcare","0.0076141084944763154"
"11-02 17:43","SPG","Blocktrade","115.84","12.69K","1.47M","AtBid","Real Estate","0.0039140132475049185"
"11-02 17:43","LNC","Blocktrade","23.12","57.38K","1.33M","AtAsk","Financial","0.034072151358261096"
"11-02 17:43","WCN","Blocktrade","132.78","4.18K","555.15K","AtAsk","Industrials","0.0016278795962626547"
"11-02 17:43","BLD","Blocktrade","254.75","1.13K","286.85K","AtBid","Industrials","0.0035957935857365408"
"11-02 17:43","IBP","Blocktrade","118.66","14.23K","1.69M","AtBid","Industrials","0.06065365611355006"
"11-02 17:43","RPRX","Blocktrade","27.48","18.8K","516.51K","NoMatch","Healthcare","0.004876455520855794"
"11-02 17:43","MAS","Blocktrade","53.87","33.17K","1.79M","AtAsk","Industrials","0.014819387872707113"
"11-02 17:43","TRI","Blocktrade","126.92","33.26K","4.22M","AtAsk","Industrials","0.023448961407445908"
"11-02 17:43","GPOR","Blocktrade","133.63","14.41K","1.93M","AtAsk","Energy","0.11804821919083222"
"11-02 17:43","HON","Blocktrade","186.43","21.28K","3.97M","AtBid","Industrials","0.003374627777557021"
"11-02 17:43","APG","Blocktrade","27.5","12.76K","350.76K","AtAsk","Industrials","0.007476940467849663"
"11-02 17:43","GE","Blocktrade","107.78","85.18K","9.18M","AtAsk","Industrials","0.007847035036992094"
"11-02 17:43","NYCB","Blocktrade","9.89","504.33K","4.99M","NoMatch","Financial","0.07536143055792825"
"11-02 17:43","TOL","Blocktrade","77.93","4.78K","372.35K","AtAsk","Consumer Cyclical","0.0044938282329245035"
"11-02 17:43","RSP","Blocktrade","139.31","59.36K","8.27M","AtBid","N/A","59359"
"11-02 17:43","TTD","Blocktrade","75.68","52.16K","3.95M","AtAsk","Technology","0.011810398759965186"
"11-02 17:43","HOOD","Blocktrade","9.48","103.95K","985.45K","NoMatch","Technology","0.01902998420330073"
"11-02 17:43","FFIV","Blocktrade","152.87","1.95K","297.79K","AtBid","Technology","0.003678491948219221"
"11-02 17:43","LABD","Blocktrade","24.36","19.7K","479.89K","AtBid","N/A","19700"
"11-02 17:43","USFD","Blocktrade","40.16","53.66K","2.15M","AtAsk","Consumer Defensive","0.023637542758132422"
"11-02 17:43","TCOM","Blocktrade","33.09","58.96K","1.95M","NoMatch","Consumer Cyclical","0.010943481207123145"
"11-02 17:43","JBL","Blocktrade","124.94","13.78K","1.72M","AtBid","Technology","0.011115720588748388"
"11-02 17:43","MUB","Blocktrade","102.06","5.93K","605.32K","AtBid","N/A","5931"
"11-02 17:43","PM","Blocktrade","90.94","25.64K","2.33M","AtAsk","Consumer Defensive","0.0016553613691900218"
"11-02 17:43","FE","Blocktrade","36.57","60.25K","2.2M","AtAsk","Utilities","0.01172297782159024"
"11-02 17:43","GPRE","Blocktrade","28.12","10.03K","282.1K","AtAsk","Basic Materials","0.01740546945016535"
"11-02 17:43","CAG","Blocktrade","27.67","44.59K","1.23M","AtBid","Consumer Defensive","0.00938659709002354"
