"Time","Symbol","Type","Price","Size","Value","Filled","Sector","Mcap Proportion"
"11-03 17:44","IVE","Blocktrade","156.13","3.0K","468.39K","AtBid","N/A","3000"
"11-03 17:44","IVE","Blocktrade","156.13","3.0K","468.39K","AtBid","N/A","3000"
"11-03 17:42","TZA","Blocktrade","31.88","18.45K","588.15K","AtAsk","Financial","18449"
"11-03 17:41","JETS","Blocktrade","15.94","307.0K","4.89M","AtAsk","Financial","307000"
"11-03 17:41","ARKG","Blocktrade","26.04","150.0K","3.91M","NoMatch","Financial","150000"
"11-03 17:41","YINN","Blocktrade","27.44","125.0K","3.43M","AtBid","N/A","125000"
"11-03 17:41","VNQ","Blocktrade","77.59","101.29K","7.86M","NoMatch","N/A","101289"
"11-03 17:41","TBT","Blocktrade","39.49","70.0K","2.76M","AtAsk","N/A","70000"
"11-03 17:41","TNA","Blocktrade","26.92","23.01K","619.46K","AtAsk","Financial","23011"
"11-03 17:41","TIP","Blocktrade","104.24","20.0K","2.08M","AtAsk","N/A","20000"
"11-03 17:41","KRE","Blocktrade","43.62","27.05K","1.18M","AtAsk","N/A","27054"
"11-03 17:41","FAZ","Blocktrade","18.93","14.97K","283.31K","AtAsk","N/A","14966"
"11-03 17:41","FAS","Blocktrade","60.7","11.05K","670.92K","AtAsk","Financial","11053"
"11-03 17:41","ERX","Blocktrade","60.79","8.35K","507.84K","AtBid","N/A","8354"
"11-03 17:41","DPST","Blocktrade","58.85","6.6K","388.47K","AtAsk","Financial","6601"
"11-03 17:41","BITO","Blocktrade","17.51","15.0K","262.65K","AtBid","N/A","15000"
"11-03 17:40","SPY","Blocktrade","434.95","2.65K","1.15M","NoMatch","Financial","0"
"11-03 17:39","SLF","Blocktrade","48.04","21.34K","1.03M","AtBid","Financial","0.003636586950130224"
"11-03 17:39","TFII","Blocktrade","114","3.66K","417.35K","AtBid","Industrials","0.004516581498283446"
"11-03 17:39","CVE","Blocktrade","19.12","410.42K","7.85M","AtBid","Energy","0.03058789354538372"
"11-03 17:39","CPG","Blocktrade","8.19","60.51K","495.54K","AtAsk","Energy","0.011351989192296907"
"11-03 17:39","OVV","Blocktrade","48.79","5.25K","256.39K","AtAsk","Energy","0.0021830802918943277"
"11-03 17:39","STKL","Blocktrade","3.95","76.26K","301.22K","AtAsk","Consumer Defensive","0.06862811614669245"
"11-03 17:39","GFL","Blocktrade","29.9","36.89K","1.1M","AtBid","Industrials","0.016658484034963183"
"11-03 17:39","ATS","Blocktrade","34.38","19.57K","672.99K","AtAsk","N/A","19575"
"11-03 17:39","TRP","Blocktrade","36.51","33.74K","1.23M","NoMatch","Energy","0.0033762633843690583"
"11-03 17:39","CP","Blocktrade","74.28","30.47K","2.26M","AtBid","Industrials","0.0034796224242053322"
"11-03 17:39","RCI","Blocktrade","40.79","175.38K","7.15M","AtBid","Communication Services","0.047037151735461184"
"11-03 17:39","FSV","Blocktrade","146.93","2.72K","400.24K","AtBid","Real Estate","0.007479911330648767"
"11-03 17:39","BNS","Blocktrade","43.28","33.83K","1.46M","AtBid","Financial","0.002839585420260044"
"11-03 17:39","OTEX","Blocktrade","36.3","10.63K","385.87K","AtAsk","Technology","0.004061647805012355"
"11-03 17:39","STN","Blocktrade","63.69","9.1K","579.83K","AtAsk","Industrials","0.009159567800400623"
"11-03 17:39","FNV","Blocktrade","124.66","16.48K","2.05M","AtBid","Basic Materials","0.008639764623384968"
"11-03 17:39","CNQ","Blocktrade","66.96","180.32K","12.07M","AtBid","Energy","0.01691075638578891"
"11-03 17:39","WCN","Blocktrade","133.18","3.64K","485.31K","AtAsk","Industrials","0.0014187977155659206"
"11-03 17:37","SPY","Blocktrade","435","11.0K","4.79M","AtAsk","Financial","0"
"11-03 17:36","NOBL","Blocktrade","88.01","42.0K","3.7M","AtBid","N/A","42000"
"11-03 17:35","ADP","Blocktrade","219.31","210.0K","46.06M","AtAsk","Industrials","0.05107850388065528"
"11-03 17:35","PFE","Blocktrade","31.26","1.0M","31.26M","AtBid","Healthcare","0.017727913500046998"
"11-03 17:35","AAPL","Blocktrade","176.65","300.0K","52.99M","AtAsk","Technology","0.0019209793189450784"
"11-03 17:35","MA","Blocktrade","386.05","130.0K","50.19M","AtBid","Financial","0.013927255770458993"
"11-03 17:35","TJX","Blocktrade","91","500.0K","45.5M","AtBid","Consumer Cyclical","0.04378816540371351"
"11-03 17:35","LLY","Blocktrade","567.81","80.0K","45.42M","AtBid","Healthcare","0.008913950917495363"
"11-03 17:35","ABBV","Blocktrade","141.42","100.0K","14.14M","AtBid","Healthcare","0.0056744814738413805"
"11-03 17:35","PH","Blocktrade","401.19","100.0K","40.12M","AtBid","Industrials","0.07829633991779714"
"11-03 17:35","DIS","Blocktrade","85.07","100.0K","8.51M","AtBid","Communication Services","0.005469462376964116"
"11-03 17:24","RIVN","Blocktrade","17.72","19.17K","339.62K","AtBid","Consumer Cyclical","0.0028981206132385113"
"11-03 17:23","CCL","Blocktrade","12.55","21.82K","273.89K","NoMatch","Consumer Cyclical","0.0021649124821134075"
"11-03 17:23","U","Blocktrade","27.64","210.34K","5.81M","AtAsk","Technology","0.0854961719120832"
"11-03 17:23","AI","Blocktrade","28.59","19.84K","567.14K","AtAsk","Real Estate","0.019947133710412627"
"11-03 17:23","WOLF","Blocktrade","34.82","9.83K","342.28K","AtAsk","N/A","9830"
"11-03 17:23","DOCU","Blocktrade","41.09","167.75K","6.89M","NoMatch","Technology","0.08339372798036224"
"11-03 17:23","AMT","Blocktrade","190.57","7.91K","1.51M","AtAsk","Real Estate","0.0016993141687521452"
"11-03 17:23","BYND","Blocktrade","6.99","129.26K","903.55K","NoMatch","Consumer Defensive","0.21018147056103328"
"11-03 17:23","DDD","Blocktrade","4.38","59.9K","262.36K","AtAsk","Technology","0.046199976714903224"
"11-03 17:23","M","Blocktrade","12.95","33.79K","437.61K","AtAsk","Consumer Cyclical","0.012436763499830382"
"11-03 17:23","DDOG","Blocktrade","82.04","5.07K","415.94K","AtBid","Technology","0.001720395027537162"
"11-03 17:23","ENPH","Blocktrade","80.81","8.64K","698.2K","AtBid","Technology","0.006593709509548592"
"11-03 17:22","ENPH","Blocktrade","80.81","8.64K","698.2K","AtBid","Technology","0.006593709509548592"
"11-03 17:22","DDOG","Blocktrade","82.04","5.07K","415.94K","AtBid","Technology","0.001720395027537162"
"11-03 17:22","M","Blocktrade","12.95","33.79K","437.61K","AtAsk","Consumer Cyclical","0.012436763499830382"
"11-03 17:22","DOCU","Blocktrade","41.09","167.75K","6.89M","NoMatch","Technology","0.08339372798036224"
"11-03 17:22","DDD","Blocktrade","4.38","59.9K","262.36K","AtAsk","Technology","0.046199976714903224"
"11-03 17:22","U","Blocktrade","27.64","210.34K","5.81M","AtAsk","Technology","0.0854961719120832"
"11-03 17:22","PINS","Blocktrade","30.94","10.46K","323.48K","AtAsk","Communication Services","0.0018092814654372053"
"11-03 17:22","BYND","Blocktrade","6.99","129.26K","903.55K","NoMatch","Consumer Defensive","0.21018147056103328"
"11-03 17:22","AI","Blocktrade","28.59","19.84K","567.14K","AtAsk","Real Estate","0.019947133710412627"
"11-03 17:22","CCL","Blocktrade","12.55","21.82K","273.89K","NoMatch","Consumer Cyclical","0.0021649124821134075"
"11-03 17:22","SPWR","Blocktrade","4.57","120.95K","552.76K","AtBid","Technology","0.13977711839038146"
"11-03 17:22","AMT","Blocktrade","190.57","7.91K","1.51M","AtAsk","Real Estate","0.0016993141687521452"
"11-03 17:22","WOLF","Blocktrade","34.82","9.83K","342.28K","AtAsk","N/A","9830"
"11-03 17:19","FLRN","Blocktrade","30.58","13.1K","400.6K","AtBid","N/A","13100"
"11-03 17:19","GTY","Blocktrade","28.21","164.8K","4.65M","AtBid","Real Estate","0.326064527972231"
"11-03 17:19","AWR","Blocktrade","82.91","26.1K","2.16M","AtBid","Utilities","0.07129060635091684"
"11-03 17:19","PRGS","Blocktrade","51.07","36.8K","1.88M","AtBid","Technology","0.08546476377202544"
"11-03 17:19","FTDR","Blocktrade","33.73","248.5K","8.38M","AtBid","Consumer Cyclical","0.33258608756661107"
"11-03 17:19","DLO","Blocktrade","18.39","235.5K","4.33M","AtBid","N/A","235500"
"11-03 17:19","SIMO","Blocktrade","55.8","85.6K","4.78M","AtBid","Technology","0.06750689885412166"
"11-03 17:19","ASND","Blocktrade","94.65","100.8K","9.54M","AtBid","Healthcare","0.1803867039966929"
"11-03 17:19","IMGN","Blocktrade","16.29","222.3K","3.62M","AtAsk","Healthcare","0.09658993765656135"
"11-03 17:19","BIDU","Blocktrade","109.66","29.6K","3.25M","AtBid","Communication Services","0.001321459625729776"
"11-03 17:19","DORM","Blocktrade","68.14","33.0K","2.25M","AtAsk","Consumer Cyclical","0.1438214939915302"
"11-03 17:19","FTDR","Blocktrade","33.73","81.0K","2.73M","AtBid","Consumer Cyclical","0.10840834242613882"
"11-03 17:19","FIX","Blocktrade","187.81","34.4K","6.46M","AtAsk","Industrials","0.09816107216088646"
"11-03 17:19","SKIN","Blocktrade","4.38","1.24M","5.41M","AtAsk","N/A","1236200"
"11-03 17:19","LXP","Blocktrade","8.44","168.4K","1.42M","AtBid","Real Estate","0.05897182517746396"
"11-03 17:19","IMGN","Blocktrade","16.29","112.6K","1.83M","AtAsk","Healthcare","0.04892499766139815"
"11-03 17:19","RXST","Blocktrade","24.17","158.31K","3.83M","AtBid","N/A","158310"
"11-03 17:19","OUT","Blocktrade","12","49.7K","596.4K","AtAsk","Real Estate","0.03439253506773942"
"11-03 17:19","SANM","Blocktrade","53.36","44.4K","2.37M","AtAsk","Technology","0.07959888044533207"
"11-03 17:19","EOLS","Blocktrade","7.93","264.4K","2.1M","AtBid","Healthcare","0.6627033796318367"
"11-03 17:19","CCF","Blocktrade","126.96","32.8K","4.16M","AtBid","Basic Materials","0.4787192508627528"
"11-03 17:19","SIMO","Blocktrade","55.8","4.5K","251.1K","AtBid","Technology","0.003548843981817143"
"11-03 17:19","HROW","Blocktrade","14.26","218.1K","3.11M","AtBid","Healthcare","0.7689801651773626"
"11-03 17:19","CTRE","Blocktrade","21.68","156.9K","3.4M","AtBid","Real Estate","0.16027928517318443"
"11-03 17:19","SBRA","Blocktrade","13.86","165.4K","2.29M","AtBid","Real Estate","0.07244244784765691"
"11-03 17:19","BZ","Blocktrade","15.39","591.5K","9.1M","AtBid","N/A","591500"
"11-03 17:19","SIGI","Blocktrade","103.61","41.1K","4.26M","AtAsk","Financial","0.06902331985609629"
"11-03 17:19","QURE","Blocktrade","6.115","539.8K","3.3M","AtAsk","Healthcare","1.2929621897902743"
"11-03 17:19","OUT","Blocktrade","12","1.83M","21.92M","AtAsk","Real Estate","1.263804563263833"
"11-03 17:19","LNN","Blocktrade","128.17","28.0K","3.59M","AtBid","Industrials","0.2559452189478805"
"11-03 17:19","TAL","Blocktrade","9.1","464.1K","4.22M","AtBid","Consumer Defensive","0.3230239844716851"
"11-03 17:19","HUBG","Blocktrade","71.15","49.7K","3.54M","AtBid","Industrials","0.16076140742892372"
"11-03 17:19","TCOM","Blocktrade","33.58","359.4K","12.07M","AtBid","Consumer Cyclical","0.06670771956987886"
"11-03 17:19","SIX","Blocktrade","23.99","196.1K","4.7M","NoMatch","Consumer Cyclical","0.2738963725575054"
"11-03 17:19","HURN","Blocktrade","101.4","35.9K","3.64M","AtAsk","Industrials","0.209164054009538"
"11-03 17:19","TGH","Blocktrade","49.2","51.6K","2.54M","AtBid","Industrials","0.12600414744116467"
"11-03 17:19","HMY","Blocktrade","4.94","501.2K","2.48M","AtAsk","Basic Materials","0.11191672420355625"
"11-03 17:19","RAPT","Blocktrade","15.5","155.8K","2.41M","AtBid","Healthcare","0.582627019608503"
"11-03 17:19","OI","Blocktrade","14.95","153.8K","2.3M","AtAsk","Consumer Cyclical","0.10050609261333217"
"11-03 17:19","DUOL","Blocktrade","159.33","3.7K","589.52K","AtBid","N/A","3700"
"11-03 17:19","CSWI","Blocktrade","174.5","20.5K","3.58M","AtAsk","Industrials","0.13362167805101638"
