"Time","Symbol","Type","Price","Size","Value","Filled","Sector","Mcap Proportion"
"03-08 17:18:50.088","ARCH","Blocktrade","156.51","2.1K","329.14K","AtBid","Energy","2103"
"03-08 17:18:47.745","NBR","Blocktrade","145.48","1.99K","289.07K","AtBid","Energy","1987"
"03-08 17:18:46.231","TFPM","Blocktrade","13.2","19.35K","255.42K","AtBid","N/A","19350"
"03-08 17:18:46.066","MCK","Blocktrade","338.28","1.5K","507.76K","AtAsk","Healthcare","1501"
"03-08 17:18:46.063","CI","Blocktrade","279.32","1.42K","397.47K","AtBid","Healthcare","1423"
"03-08 17:18:45.762","AVGO","Blocktrade","632.26","1.08K","684.11K","AtBid","Technology","1082"
"03-08 17:18:45.760","AJG","Blocktrade","188.98","2.28K","430.5K","AtBid","Financial","2278"
"03-08 17:18:45.516","DOV","Blocktrade","152.47","1.83K","279.48K","AtBid","Industrials","1833"
"03-08 17:18:45.490","CINF","Blocktrade","117","2.46K","287.24K","AtBid","Financial","2455"
"03-08 17:18:45.415","EXPD","Blocktrade","110.87","4.08K","452.57K","AtBid","Industrials","4082"
"03-08 17:18:45.385","NDSN","Blocktrade","220.38","1.25K","276.14K","AtBid","Industrials","1253"
"03-08 17:18:45.312","TTEK","Blocktrade","138.09","2.2K","303.25K","AtBid","Industrials","2196"
"03-08 17:18:45.291","OLED","Blocktrade","141.2","2.08K","294.4K","NoMatch","Technology","2085"
"03-08 17:18:45.184","NTCT","Blocktrade","27.65","10.27K","283.83K","AtBid","Technology","10265"
"03-08 17:18:45.146","IBOC","Blocktrade","47.59","6.29K","299.39K","AtAsk","Financial","6291"
"03-08 17:18:45.031","EVOP","Blocktrade","33.86","9.29K","314.59K","AtAsk","Technology","9291"
"03-08 17:18:44.998","CTAS","Blocktrade","439.2","1.97K","865.22K","AtAsk","Industrials","1970"
"03-08 17:18:44.927","COLD","Blocktrade","29.69","17.01K","505.03K","AtBid","Real Estate","17010"
"03-08 17:18:44.892","OWL","Blocktrade","12.31","24.82K","305.58K","AtAsk","N/A","24824"
"03-08 17:18:44.845","BLFS","Blocktrade","22.64","34.7K","785.56K","AtBid","Healthcare","34698"
"03-08 17:18:44.841","BF/B","Blocktrade","63.48","44.04K","2.8M","AtAsk","N/A","44044"
"03-08 17:18:44.718","ADBE","Blocktrade","345.84","3.01K","1.04M","AtBid","Technology","3011"
"03-08 17:18:44.670","CTVA","Blocktrade","62.2","5.23K","325.43K","AtAsk","Basic Materials","5232"
"03-08 17:18:44.651","ARW","Blocktrade","118.99","2.99K","356.26K","AtBid","Technology","2994"
"03-08 17:18:44.646","LEVI","Blocktrade","17.11","16.05K","274.67K","AtAsk","Consumer Cyclical","16053"
"03-08 17:18:44.625","SCCO","Blocktrade","74.91","5.46K","409.23K","AtAsk","Basic Materials","5463"
"03-08 17:18:44.621","RHI","Blocktrade","80.56","5.03K","404.81K","AtBid","Industrials","5025"
"03-08 17:18:44.610","PM","Blocktrade","99.75","4.66K","464.83K","AtBid","Consumer Defensive","4660"
"03-08 17:18:44.583","BWXT","Blocktrade","62.74","5.47K","343.25K","NoMatch","Industrials","5471"
"03-08 17:18:44.541","HUN","Blocktrade","28.77","26.35K","758.06K","AtAsk","Basic Materials","26349"
"03-08 17:18:43.988","MTX","Blocktrade","60.87","11.76K","715.89K","AtAsk","Basic Materials","11761"
"03-08 17:18:43.982","OSH","Blocktrade","35.49","18.73K","664.55K","AtAsk","N/A","18725"
"03-08 17:18:43.982","DEI","Blocktrade","13.92","45.06K","627.25K","AtBid","Real Estate","45061"
"03-08 17:18:43.969","IBKR","Blocktrade","89.16","4.23K","377.24K","AtAsk","Financial","4231"
"03-08 17:18:43.945","GTES","Blocktrade","14.22","27.23K","387.21K","AtBid","Industrials","27230"
"03-08 17:18:43.945","GLW","Blocktrade","34.38","120.59K","4.15M","AtBid","Technology","120590"
"03-08 17:18:43.926","HCSG","Blocktrade","12.54","41.14K","515.92K","AtBid","Healthcare","41142"
"03-08 17:18:43.925","FITB","Blocktrade","33.69","13.85K","466.67K","AtBid","Financial","13852"
"03-08 17:18:43.922","K","Blocktrade","64.72","4.39K","284.31K","AtAsk","Consumer Defensive","4393"
"03-08 17:18:43.921","KBR","Blocktrade","54.61","4.64K","253.66K","AtAsk","Industrials","4645"
"03-08 17:18:43.897","OTTR","Blocktrade","71.56","4.68K","334.83K","AtBid","Utilities","4679"
"03-08 17:18:43.888","CZR","Blocktrade","53.35","5.53K","294.81K","AtBid","Consumer Cyclical","5526"
"03-08 17:18:43.888","ATVI","Blocktrade","79.48","4.99K","396.21K","AtBid","Communication Services","4985"
"03-08 17:18:43.876","CGNX","Blocktrade","48.64","13.52K","657.47K","AtBid","Technology","13517"
"03-08 17:18:43.872","FRPT","Blocktrade","61.43","5.63K","346.16K","AtAsk","Consumer Defensive","5635"
"03-08 17:18:43.869","LSXMA","Blocktrade","29.19","54.72K","1.6M","AtAsk","Communication Services","54723"
"03-08 17:18:43.866","ITRI","Blocktrade","54.18","5.12K","277.56K","AtBid","Technology","5123"
