時間,買價,賣價,成交,漲跌,單量,累計
09:00:04,,,462.0,3.50,9,9
09:00:04,462.0,463.0,463.0,4.50,1,10
09:00:05,462.0,464.0,464.0,5.50,1,11
09:00:05,462.0,464.0,464.0,5.50,1,12
09:00:09,462.5,465.0,464.0,5.50,1,13
09:00:09,462.5,465.0,465.0,6.50,1,14
09:00:21,465.0,467.0,465.0,6.50,1,15
09:00:23,463.5,467.0,465.0,6.50,1,16
09:00:24,463.5,467.0,467.0,8.50,10,26
09:00:24,463.5,467.0,465.0,6.50,1,27
09:00:46,465.5,466.5,466.5,8.00,1,28
09:00:51,465.5,466.5,466.5,8.00,1,29
09:01:04,465.5,467.0,466.5,8.00,3,32
09:01:04,465.5,467.0,465.5,7.00,1,33
09:01:04,465.5,466.5,465.5,7.00,1,34
09:01:12,465.5,466.5,465.5,7.00,1,35
09:01:12,465.5,466.5,465.5,7.00,3,38
09:01:18,465.0,466.0,465.0,6.50,1,39
09:01:18,465.0,466.0,465.0,6.50,1,40
09:01:18,465.0,466.0,465.0,6.50,1,41
09:01:19,465.0,466.0,465.5,7.00,1,42
09:01:33,465.0,465.5,465.5,7.00,1,43
09:01:40,465.0,465.5,465.0,6.50,1,44
09:01:40,465.0,465.5,465.0,6.50,1,45
09:01:40,465.0,465.5,465.0,6.50,1,46
09:01:43,465.0,465.5,465.0,6.50,1,47
09:01:44,465.0,465.5,465.5,7.00,2,49
09:01:45,465.0,465.5,465.5,7.00,1,50
09:01:51,465.5,466.0,465.5,7.00,1,51
09:01:51,465.5,466.0,465.5,7.00,1,52
09:02:05,465.5,466.0,465.5,7.00,1,53
09:02:05,465.0,466.0,465.0,6.50,2,55
09:02:17,465.0,465.5,465.0,6.50,1,56
09:02:17,465.0,465.5,465.0,6.50,1,57
09:02:17,465.0,465.5,465.0,6.50,1,58
09:02:19,465.0,465.5,465.0,6.50,1,59
09:02:19,465.0,465.5,465.0,6.50,2,61
09:02:20,464.0,465.0,465.0,6.50,1,62
09:02:23,465.0,465.5,465.0,6.50,1,63
09:02:23,465.0,465.5,465.0,6.50,1,64
09:02:23,465.0,465.5,465.0,6.50,1,65
09:02:23,465.0,465.5,465.0,6.50,1,66
09:02:37,464.0,465.0,465.0,6.50,1,67
09:02:42,464.0,465.0,464.0,5.50,1,68
09:02:42,463.5,464.0,464.0,5.50,1,69
09:02:51,463.5,465.0,464.0,5.50,1,70
09:02:52,464.0,465.0,465.0,6.50,4,74
09:02:56,464.0,465.5,465.5,7.00,7,81
09:02:58,464.5,466.0,464.0,5.50,1,82
09:03:05,463.5,465.0,463.5,5.00,1,83
09:03:06,463.0,464.0,464.0,5.50,1,84
09:03:09,463.0,464.0,463.0,4.50,1,85
09:03:09,463.0,464.0,463.0,4.50,1,86
09:03:10,463.0,464.0,464.0,5.50,3,89
09:03:38,463.0,464.0,464.0,5.50,1,90
09:03:49,463.0,464.5,464.0,5.50,1,91
09:04:01,463.5,464.0,463.5,5.00,1,92
09:04:18,463.0,463.5,463.0,4.50,2,94
09:04:28,462.5,463.0,462.5,4.00,1,95
09:04:47,462.0,463.0,462.5,4.00,1,96
09:04:47,462.0,463.0,463.0,4.50,3,99
09:04:55,462.5,463.5,463.5,5.00,3,102
09:04:57,463.0,464.0,463.0,4.50,1,103
09:04:59,463.0,464.0,464.0,5.50,3,106
09:04:59,463.0,464.5,464.5,6.00,2,108
09:05:11,463.0,464.5,463.5,5.00,1,109
09:05:12,463.0,464.5,463.0,4.50,1,110
09:05:16,462.5,464.5,463.5,5.00,1,111
09:05:17,463.0,463.5,463.0,4.50,1,112
09:05:23,462.5,463.5,463.0,4.50,1,113
09:05:30,462.5,463.0,462.5,4.00,1,114
09:05:31,462.0,463.0,462.0,3.50,1,115
09:05:33,462.0,463.0,462.0,3.50,1,116
09:05:35,461.5,462.0,462.0,3.50,2,118
