時間,買價,賣價,成交,漲跌,單量,累計
09:00:10,,,481.5,4.50,17,17
09:00:10,481.0,482.0,481.0,4.00,1,18
09:00:10,480.5,482.0,481.0,4.00,1,19
09:00:10,480.5,482.0,480.5,3.50,1,20
09:00:10,480.0,482.0,480.0,3.00,1,21
09:00:18,479.0,480.0,479.0,2.00,1,22
09:00:20,478.0,480.0,480.0,3.00,1,23
09:00:22,478.0,480.5,478.0,1.00,1,24
09:00:24,477.0,480.5,477.0,0.00,2,26
09:00:24,477.0,480.5,477.0,0.00,2,28
09:00:33,476.0,480.0,477.0,0.00,1,29
09:00:41,477.0,480.0,478.0,1.00,1,30
09:00:50,477.5,479.0,477.5,0.50,1,31
09:01:38,477.5,478.5,477.5,0.50,1,32
09:01:38,477.5,478.5,477.5,0.50,4,36
09:01:38,477.5,478.5,477.5,0.50,4,40
09:01:38,477.0,478.5,477.0,0.00,3,43
09:01:38,476.0,477.5,477.5,0.50,1,44
09:01:40,476.0,477.5,477.5,0.50,1,45
09:01:40,476.0,477.5,476.0,-1.00,1,46
09:01:40,476.0,477.0,476.0,-1.00,1,47
09:01:54,475.5,477.0,475.5,-1.50,1,48
09:01:58,475.5,477.0,475.5,-1.50,1,49
09:01:58,475.0,477.0,475.5,-1.50,1,50
09:02:04,476.0,477.0,476.5,-0.50,1,51
09:02:05,476.0,477.0,476.0,-1.00,1,52
09:02:08,475.5,477.0,475.5,-1.50,2,54
09:02:20,475.5,477.0,475.5,-1.50,1,55
09:02:20,475.5,477.0,475.5,-1.50,1,56
09:02:26,475.0,477.0,475.0,-2.00,2,58
09:02:26,475.0,477.0,475.0,-2.00,3,61
09:02:26,475.0,477.0,475.0,-2.00,5,66
09:02:27,474.0,476.5,475.5,-1.50,1,67
09:02:29,474.0,475.5,474.0,-3.00,1,68
09:02:32,474.0,475.5,474.0,-3.00,1,69
09:02:47,474.0,475.5,474.0,-3.00,1,70
09:02:47,474.0,475.5,473.5,-3.50,3,73
09:02:47,474.0,475.5,473.0,-4.00,1,74
09:03:33,474.0,475.5,475.5,-1.50,1,75
09:04:03,474.0,475.5,475.5,-1.50,1,76
09:04:03,474.0,475.5,475.5,-1.50,2,78
09:04:10,475.0,475.5,475.5,-1.50,1,79
09:04:32,475.0,476.5,475.0,-2.00,2,81
09:04:49,474.0,476.0,475.0,-2.00,1,82
09:04:50,474.0,475.0,475.0,-2.00,1,83
09:04:56,474.0,475.0,475.0,-2.00,1,84
09:05:06,474.5,475.0,475.0,-2.00,1,85
09:05:23,474.5,476.0,476.0,-1.00,1,86
09:05:34,474.5,475.5,475.0,-2.00,1,87
09:05:34,474.5,475.5,474.5,-2.50,1,88
09:05:47,474.0,475.0,474.0,-3.00,7,95
09:05:47,473.5,475.0,473.5,-3.50,2,97
09:05:47,473.0,474.5,473.0,-4.00,3,100
09:05:47,473.0,473.5,473.0,-4.00,1,101
09:05:47,473.0,473.5,473.0,-4.00,2,103
09:05:56,472.5,473.5,472.5,-4.50,1,104
09:06:08,472.0,472.5,472.0,-5.00,1,105
09:06:09,472.0,472.5,472.0,-5.00,1,106
09:06:09,472.0,472.5,472.0,-5.00,1,107
09:06:10,472.0,472.5,472.0,-5.00,1,108
09:06:11,472.0,472.5,472.0,-5.00,1,109
09:06:11,472.0,472.5,472.0,-5.00,1,110
09:06:12,472.0,472.5,472.0,-5.00,1,111
09:06:51,471.5,472.0,471.5,-5.50,2,113
09:07:01,471.5,472.0,471.5,-5.50,1,114
09:07:02,471.5,472.0,472.0,-5.00,1,115
09:07:02,471.5,472.5,472.5,-4.50,1,116
09:07:39,472.0,473.0,473.0,-4.00,1,117
09:07:41,472.0,473.0,473.0,-4.00,1,118
09:07:57,472.5,474.5,473.0,-4.00,1,119
09:07:58,472.5,473.5,472.5,-4.50,2,121
09:07:59,472.0,473.0,472.5,-4.50,1,122
09:08:09,472.0,472.5,472.0,-5.00,1,123
09:08:36,472.0,472.5,472.0,-5.00,7,130
09:08:38,471.5,472.0,472.0,-5.00,1,131
09:08:38,472.0,472.5,472.0,-5.00,1,132
09:08:38,472.0,472.5,472.0,-5.00,1,133
09:08:43,471.5,472.5,472.5,-4.50,1,134
09:09:09,471.5,472.0,471.5,-5.50,2,136
09:09:09,471.0,472.0,471.5,-5.50,1,137
09:09:16,471.0,472.0,471.0,-6.00,2,139
09:09:25,471.0,471.5,471.0,-6.00,1,140
09:09:27,471.0,472.0,471.0,-6.00,1,141
09:09:52,471.0,471.5,471.5,-5.50,2,143
09:09:53,471.5,472.0,471.5,-5.50,1,144
09:10:30,471.5,472.0,472.0,-5.00,1,145
09:10:34,471.5,472.5,471.5,-5.50,1,146
09:11:08,471.0,472.0,471.0,-6.00,1,147
09:11:31,471.0,472.0,472.0,-5.00,1,148
09:11:31,471.0,472.0,472.0,-5.00,1,149
09:11:36,471.5,472.5,471.5,-5.50,1,150
09:11:46,472.0,472.5,472.0,-5.00,1,151
09:11:51,472.0,472.5,472.5,-4.50,1,152
09:12:01,472.5,473.0,473.0,-4.00,1,153
09:12:08,472.0,474.0,472.0,-5.00,1,154
09:12:17,472.0,474.0,473.0,-4.00,1,155
09:13:03,474.0,476.0,476.0,-1.00,1,156
09:13:04,474.0,475.5,475.5,-1.50,1,157
09:13:33,475.5,476.0,475.5,-1.50,1,158
09:13:43,475.0,475.5,475.5,-1.50,1,159
09:13:59,475.5,476.0,475.5,-1.50,1,160
09:13:59,475.5,476.0,475.5,-1.50,2,162
