時間,買價,賣價,成交,漲跌,單量,累計
09:00:17,,,1905,20,49,49
09:00:17,1900,1905,1905,20,3,52
09:00:17,1900,1910,1910,25,4,56
09:00:17,1900,1910,1910,25,6,62
09:00:17,1900,1915,1915,30,2,64
09:00:18,1905,1915,1905,20,1,65
09:00:22,1900,1915,1915,30,1,66
09:00:24,1905,1915,1915,30,1,67
09:00:25,1905,1915,1905,20,1,68
09:00:26,1905,1915,1915,30,1,69
09:00:27,1905,1915,1915,30,2,71
09:00:28,1915,1920,1915,30,1,72
09:00:31,1915,1920,1915,30,1,73
09:00:31,1915,1920,1915,30,14,87
09:00:31,1910,1920,1920,35,1,88
09:00:31,1910,1920,1915,30,1,89
09:00:31,1910,1915,1910,25,1,90
09:00:31,1910,1915,1905,20,1,91
09:00:33,1905,1920,1915,30,1,92
09:00:33,1905,1915,1915,30,1,93
09:00:33,1905,1915,1915,30,1,94
09:00:33,1905,1915,1920,35,4,98
09:00:34,1910,1920,1915,30,1,99
09:00:35,1910,1920,1915,30,1,100
09:00:35,1910,1920,1915,30,1,101
09:00:35,1905,1915,1915,30,1,102
09:00:37,1910,1915,1910,25,1,103
09:00:37,1910,1915,1915,30,1,104
09:00:39,1910,1915,1915,30,1,105
09:00:42,1915,1920,1915,30,1,106
09:00:42,1910,1920,1915,30,1,107
09:00:44,1910,1915,1915,30,1,108
09:00:45,1910,1920,1915,30,1,109
09:00:47,1910,1920,1915,30,1,110
09:00:50,1910,1915,1915,30,1,111
09:00:50,1910,1920,1915,30,1,112
09:00:51,1915,1920,1915,30,1,113
09:00:52,1910,1920,1915,30,1,114
09:00:52,1910,1920,1910,25,1,115
09:00:52,1910,1920,1915,30,1,116
09:00:53,1910,1920,1915,30,1,117
09:00:53,1910,1920,1915,30,2,119
09:00:56,1915,1920,1915,30,1,120
09:00:57,1915,1920,1915,30,1,121
09:01:00,1915,1920,1920,35,1,122
09:01:00,1915,1920,1915,30,1,123
09:01:01,1915,1920,1915,30,1,124
09:01:03,1915,1920,1920,35,1,125
09:01:06,1915,1920,1920,35,1,126
09:01:07,1915,1920,1915,30,1,127
09:01:08,1915,1920,1920,35,1,128
09:01:09,1915,1920,1915,30,3,131
09:01:09,1915,1920,1915,30,1,132
09:01:09,1915,1920,1920,35,1,133
09:01:10,1915,1920,1920,35,1,134
09:01:14,1915,1920,1920,35,1,135
09:01:20,1915,1920,1920,35,1,136
09:01:20,1915,1920,1915,30,1,137
09:01:21,1915,1920,1915,30,5,142
09:01:21,1915,1920,1915,30,19,161
09:01:22,1910,1920,1910,25,1,162
09:01:22,1910,1915,1910,25,3,165
09:01:22,1910,1915,1910,25,12,177
09:01:23,1905,1910,1905,20,1,178
09:01:23,1905,1910,1910,25,1,179
09:01:23,1905,1910,1910,25,4,183
09:01:24,1910,1915,1910,25,1,184
09:01:27,1905,1915,1915,30,1,185
09:01:32,1905,1915,1910,25,1,186
09:01:33,1905,1910,1910,25,1,187
09:01:43,1905,1910,1910,25,1,188
09:01:43,1905,1910,1910,25,5,193
09:01:43,1905,1915,1915,30,22,215
09:01:44,1910,1915,1910,25,2,217
09:01:44,1910,1915,1915,30,1,218
09:01:44,1910,1915,1915,30,1,219
09:01:45,1910,1915,1915,30,2,221
09:01:46,1910,1915,1915,30,1,222
09:01:47,1910,1915,1915,30,1,223
09:01:48,1910,1915,1915,30,2,225
09:01:52,1915,1920,1915,30,1,226
09:01:54,1910,1915,1915,30,1,227
09:01:54,1910,1915,1915,30,2,229
09:01:55,1910,1920,1910,25,1,230
09:01:57,1915,1920,1915,30,1,231
09:01:58,1910,1915,1915,30,1,232
09:02:01,1910,1920,1915,30,1,233
09:02:01,1910,1920,1915,30,1,234
09:02:02,1910,1915,1915,30,1,235
09:02:07,1915,1920,1915,30,1,236
09:02:09,1915,1920,1920,35,1,237
09:02:15,1915,1920,1920,35,1,238
09:02:15,1915,1920,1920,35,1,239
09:02:16,1915,1920,1915,30,1,240
09:02:21,1915,1920,1920,35,1,241
09:02:23,1915,1920,1920,35,2,243
09:02:29,1915,1920,1920,35,1,244
09:02:34,1915,1920,1920,35,1,245
09:02:36,1915,1920,1920,35,4,249
09:02:39,1915,1920,1920,35,1,250
09:02:41,1915,1920,1920,35,1,251
09:02:42,1915,1920,1920,35,1,252
09:02:43,1915,1920,1915,30,1,253
09:02:44,1915,1920,1920,35,1,254
09:02:48,1915,1920,1920,35,2,256
09:02:49,1915,1920,1920,35,1,257
09:02:58,1915,1920,1920,35,1,258
09:03:00,1915,1920,1920,35,1,259
09:03:02,1915,1920,1920,35,1,260
09:03:02,1915,1920,1920,35,1,261
09:03:03,1915,1920,1920,35,24,285
09:03:04,1915,1920,1920,35,1,286
09:03:06,1915,1920,1915,30,1,287
09:03:06,1915,1920,1915,30,14,301
09:03:07,1910,1915,1910,25,2,303
09:03:07,1910,1915,1915,30,1,304
09:03:07,1910,1915,1915,30,5,309
09:03:09,1910,1920,1915,30,1,310
09:03:10,1910,1920,1920,35,1,311
09:03:10,1910,1920,1920,35,5,316
09:03:10,1910,1920,1910,25,1,317
09:03:10,1910,1920,1920,35,1,318
09:03:11,1910,1920,1920,35,4,322
09:03:11,1910,1920,1915,30,1,323
09:03:12,1910,1920,1915,30,1,324
09:03:12,1910,1920,1915,30,1,325
09:03:14,1915,1920,1920,35,5,330
09:03:16,1915,1920,1915,30,1,331
09:03:16,1910,1920,1915,30,1,332
09:03:16,1910,1915,1915,30,1,333
09:03:16,1910,1915,1915,30,3,336
09:03:20,1910,1920,1915,30,1,337
09:03:21,1910,1920,1920,35,1,338
09:03:22,1910,1920,1915,30,1,339
09:03:23,1910,1920,1910,25,1,340
09:03:23,1910,1920,1915,30,1,341
09:03:28,1910,1915,1915,30,1,342
09:03:31,1910,1915,1915,30,1,343
09:03:32,1910,1915,1915,30,1,344
09:03:33,1910,1915,1915,30,1,345
09:03:34,1915,1920,1915,30,1,346
09:03:34,1915,1920,1915,30,1,347
09:03:35,1910,1915,1915,30,1,348
09:03:36,1910,1915,1915,30,1,349
09:03:39,1910,1915,1915,30,1,350
09:03:42,1910,1915,1915,30,1,351
09:03:42,1910,1915,1915,30,1,352
09:03:43,1910,1920,1920,35,1,353
09:03:43,1915,1920,1915,30,1,354
09:03:47,1910,1915,1915,30,1,355
09:03:48,1910,1915,1915,30,1,356
09:03:48,1910,1915,1915,30,1,357
09:03:53,1915,1920,1920,35,1,358
09:03:53,1915,1920,1920,35,1,359
09:03:56,1915,1920,1915,30,1,360
09:03:56,1915,1920,1915,30,1,361
09:03:57,1915,1920,1920,35,1,362
09:03:58,1915,1920,1915,30,1,363
09:04:09,1915,1920,1920,35,2,365
09:04:10,1915,1920,1915,30,1,366
09:04:10,1915,1920,1920,35,1,367
09:04:26,1915,1920,1920,35,1,368
09:04:37,1915,1920,1920,35,1,369
09:04:38,1915,1920,1920,35,1,370
09:04:45,1915,1920,1915,30,2,372
09:04:48,1915,1920,1915,30,2,374
09:04:48,1915,1920,1915,30,5,379
09:04:48,1915,1920,1915,30,4,383
09:04:48,1910,1915,1910,25,1,384
09:04:49,1910,1915,1915,30,1,385
09:05:05,1910,1915,1915,30,1,386
09:05:08,1910,1915,1915,30,10,396
09:05:09,1910,1915,1910,25,1,397
09:05:10,1910,1915,1915,30,1,398
09:05:10,1910,1915,1915,30,1,399
09:05:12,1910,1915,1915,30,1,400
09:05:13,1910,1915,1915,30,1,401
09:05:14,1910,1915,1915,30,4,405
09:05:15,1910,1915,1915,30,1,406
09:05:16,1910,1915,1915,30,1,407
09:05:16,1910,1915,1915,30,1,408
09:05:16,1910,1915,1915,30,1,409
09:05:16,1910,1915,1915,30,5,414
09:05:17,1910,1920,1915,30,1,415
09:05:19,1910,1915,1915,30,1,416
09:05:25,1910,1915,1915,30,1,417
09:05:30,1910,1915,1915,30,1,418
09:05:31,1910,1915,1910,25,2,420
09:05:32,1910,1915,1915,30,1,421
09:05:41,1910,1915,1915,30,1,422
09:05:46,1910,1920,1915,30,1,423
09:05:46,1915,1920,1915,30,1,424
09:05:49,1915,1920,1915,30,2,426
09:05:50,1910,1915,1915,30,2,428
09:05:52,1910,1915,1915,30,1,429
09:05:58,1910,1915,1915,30,1,430
09:06:00,1910,1915,1915,30,1,431
09:06:00,1910,1915,1915,30,1,432
09:06:00,1910,1915,1915,30,1,433
09:06:00,1910,1915,1915,30,1,434
09:06:01,1915,1920,1915,30,1,435
09:06:05,1915,1920,1915,30,1,436
09:06:10,1915,1920,1915,30,2,438
09:06:13,1915,1920,1920,35,1,439
09:06:15,1915,1920,1915,30,1,440
09:06:16,1915,1920,1915,30,2,442
09:06:16,1915,1920,1915,30,2,444
09:06:25,1910,1915,1915,30,1,445
09:06:26,1910,1915,1915,30,1,446
09:06:27,1910,1915,1915,30,1,447
09:06:39,1910,1915,1915,30,1,448
09:06:49,1910,1915,1915,30,1,449
09:06:50,1910,1915,1915,30,3,452
09:06:50,1910,1915,1915,30,4,456
09:06:50,1910,1920,1915,30,1,457
09:06:56,1915,1920,1915,30,1,458
09:06:56,1915,1920,1915,30,2,460
09:07:02,1915,1920,1915,30,1,461
09:07:09,1915,1920,1915,30,1,462
09:07:11,1915,1920,1915,30,1,463
09:07:12,1915,1920,1915,30,1,464
09:07:14,1915,1920,1915,30,1,465
09:07:17,1915,1920,1915,30,1,466
09:07:17,1915,1920,1915,30,1,467
09:07:19,1915,1920,1915,30,1,468
09:07:38,1915,1920,1915,30,1,469
09:07:47,1915,1920,1915,30,1,470
09:07:48,1915,1920,1915,30,1,471
09:07:49,1915,1920,1920,35,1,472
09:07:50,1915,1920,1915,30,1,473
09:07:54,1915,1920,1915,30,1,474
09:08:00,1915,1920,1920,35,1,475
09:08:03,1915,1920,1915,30,1,476
09:08:10,1915,1920,1915,30,1,477
09:08:15,1915,1920,1915,30,11,488
09:08:27,1910,1915,1915,30,1,489
09:08:27,1910,1915,1915,30,9,498
09:08:27,1910,1920,1920,35,3,501
09:08:28,1915,1920,1915,30,1,502
09:08:30,1915,1920,1915,30,1,503
09:08:35,1915,1920,1915,30,1,504
09:08:36,1915,1920,1915,30,1,505
09:08:43,1915,1920,1915,30,1,506
09:08:43,1915,1920,1915,30,1,507
09:08:59,1915,1920,1915,30,1,508
09:09:00,1915,1920,1915,30,1,509
09:09:02,1915,1920,1915,30,1,510
09:09:08,1910,1920,1915,30,1,511
09:09:09,1910,1920,1915,30,1,512
09:09:13,1915,1920,1915,30,1,513
09:09:13,1910,1920,1915,30,1,514
09:09:36,1915,1920,1920,35,2,516
09:09:36,1915,1920,1920,35,1,517
09:09:39,1915,1920,1915,30,1,518
09:09:54,1915,1920,1915,30,1,519
09:11:10,1915,1920,1915,30,1,520
09:11:31,1915,1920,1920,35,1,521
09:11:31,1915,1920,1920,35,1,522
09:11:31,1915,1920,1915,30,1,523
09:11:38,1915,1920,1920,35,1,524
09:11:41,1915,1920,1915,30,2,526
09:12:29,1915,1920,1920,35,1,527
09:13:07,1915,1920,1915,30,1,528
09:13:22,1915,1920,1915,30,1,529
09:13:36,1915,1920,1915,30,1,530
09:13:38,1915,1920,1915,30,2,532
09:13:43,1915,1920,1915,30,1,533
09:13:47,1915,1920,1915,30,1,534
09:14:01,1915,1920,1920,35,5,539
09:14:14,1915,1920,1920,35,7,546
09:14:22,1915,1920,1920,35,4,550
09:14:22,1915,1920,1920,35,5,555
09:14:22,1915,1920,1920,35,12,567
09:14:22,1915,1920,1920,35,2,569
09:14:22,1915,1920,1920,35,2,571
09:14:22,1920,1925,1925,40,2,573
09:14:24,1920,1925,1925,40,3,576
09:14:25,1920,1925,1925,40,1,577
09:14:25,1920,1925,1925,40,1,578
09:14:26,1920,1925,1925,40,1,579
09:14:26,1920,1925,1925,40,1,580
09:14:26,1920,1925,1925,40,1,581
09:14:27,1920,1925,1925,40,1,582
09:14:28,1920,1925,1925,40,1,583
09:14:28,1920,1925,1925,40,8,591
09:14:28,1920,1925,1925,40,1,592
09:14:33,1925,1930,1925,40,1,593
09:14:37,1925,1930,1925,40,1,594
09:14:42,1925,1930,1925,40,1,595
09:14:46,1925,1930,1925,40,1,596
09:14:47,1925,1930,1925,40,1,597
09:14:52,1925,1930,1925,40,1,598
09:14:52,1925,1930,1930,45,2,600
09:14:57,1925,1930,1930,45,3,603
09:15:00,1925,1930,1930,45,46,649
09:15:01,1930,1935,1930,45,1,650
09:15:02,1930,1935,1935,50,1,651
09:15:06,1930,1935,1935,50,1,652
09:15:06,1930,1935,1935,50,1,653
09:15:07,1930,1935,1935,50,1,654
09:15:08,1930,1935,1935,50,1,655
09:15:08,1930,1935,1935,50,1,656
09:15:08,1930,1935,1935,50,1,657
09:15:09,1930,1935,1935,50,2,659
09:15:11,1930,1935,1935,50,1,660
09:15:11,1930,1935,1935,50,1,661
09:15:14,1930,1935,1935,50,1,662
09:15:14,1930,1935,1935,50,1,663
09:15:15,1930,1935,1935,50,10,673
09:15:15,1930,1935,1935,50,6,679
09:15:15,1930,1935,1935,50,1,680
09:15:15,1930,1935,1935,50,1,681
09:15:15,1930,1935,1935,50,1,682
09:15:16,1930,1935,1935,50,1,683
09:15:16,1930,1935,1935,50,1,684
09:15:16,1930,1940,1940,55,1,685
09:15:16,1935,1940,1935,50,2,687
09:15:17,1935,1940,1940,55,1,688
09:15:17,1935,1940,1940,55,1,689
09:15:23,1935,1940,1940,55,1,690
09:15:23,1935,1940,1940,55,1,691
09:15:25,1935,1940,1940,55,16,707
09:15:25,1935,1940,1940,55,1,708
09:15:25,1935,1940,1940,55,1,709
09:15:27,1935,1940,1940,55,5,714
09:15:28,1935,1940,1940,55,1,715
09:15:28,1935,1940,1940,55,1,716
09:15:28,1935,1940,1940,55,1,717
09:15:29,1935,1940,1940,55,1,718
09:15:29,1935,1940,1940,55,1,719
09:15:29,1935,1940,1940,55,1,720
09:15:29,1935,1940,1940,55,1,721
09:15:30,1935,1940,1940,55,1,722
09:15:30,1935,1940,1940,55,1,723
09:15:30,1935,1940,1940,55,6,729
09:15:31,1935,1940,1940,55,1,730
09:15:31,1935,1940,1940,55,1,731
09:15:31,1935,1940,1940,55,7,738
09:15:38,1940,1945,1945,60,1,739
09:15:39,1940,1945,1945,60,10,749
09:15:41,1945,1950,1945,60,1,750
09:15:42,1940,1950,1945,60,1,751
