"Symb","Proportion","Ords","Buys","AtAsk","AtBid","NetPr","PremsChng","AExpD","OTM%","OTMSc","Unusual%","SpotChng","Ivol%"
"TWLO","21%","25","20.0","475.94K","1.03M","-553.38K","100.0%","146.3","20.0%","11.7","0.6","0","78.3"
"VIX","18%","19","42.1","1.17M","1.73M","-559.70K","100.0%","46.9","42.1%","8","0.2","0","88.46"
"BMY","72%","13","30.8","183.43K","766.87K","-583.44K","100.0%","54.3","30.8%","-0.3","3.3","0","19.75"
"OXY","37%","11","36.4","426.97K","1.02M","-591.95K","100.0%","114.3","36.4%","2.3","0.6","0","41.67"
"JPM","74%","35","51.4","934.49K","1.54M","-606.48K","223.0%","109.0","51.4%","3.3","1.1","0","23.17"
"BABA","33%","33","27.3","590.62K","1.21M","-622.84K","446.0%","121.3","27.3%","5.1","0.3","0","51.01"
"CRM","50%","14","57.1","742.17K","1.47M","-729.30K","100.0%","81.0","57.1%","2.1","0.5","0","41.76"
"DIS","52%","28","46.4","623.65K","1.41M","-783.21K","342.7%","246.3","46.4%","15","0.4","0","29.94"
"AMC","82%","47","51.1","1.56M","2.47M","-914.79K","323.7%","40.2","51.1%","28","1.2","0","224.53"
"CRWD","48%","12","50.0","220.72K","1.29M","-1.07M","2758.8%","156.8","50.0%","10.2","2.3","0","59.64"
"MANU","73%","22","54.5","539.50K","1.61M","-1.08M","4483.3%","29.0","54.5%","0.9","12.0","0","109.44"
"LCID","46%","11","36.4","208.75K","1.38M","-1.17M","100.0%","215.5","36.4%","6.3","1.8","0","104.34"
"ENPH","78%","18","50.0","442.47K","1.68M","-1.24M","100.0%","75.3","50.0%","2.1","0.4","0","62.42"
"HYG","91%","50","20.0","1.68M","2.98M","-1.30M","1996.7%","47.6","20.0%","1.5","0.7","0","10.09"
"GOOG","23%","38","52.6","2.18M","3.54M","-1.36M","242.3%","118.7","52.6%","2.1","0.2","0","33.88"
"ROKU","31%","77","50.6","5.81M","7.60M","-1.79M","612.9%","69.4","50.6%","1.6","4.3","0","90.84"
"FTNT","81%","13","23.1","202.04K","2.10M","-1.90M","4914.4%","206.7","23.1%","4.1","1.9","0","37.36"
"SIMO","55%","6","16.7","78.00K","2.51M","-2.43M","100.0%","74.5","16.7%","1.9","1.0","0","50.42"
"GS","43%","6","66.7","562.71K","4.01M","-3.45M","5631.5%","100.2","66.7%","4.8","0.7","0","22.92"
"LQD","92%","11","27.3","837.50K","5.82M","-4.98M","3088.8%","39.2","27.3%","-0.3","0.6","0","11.99"
"SPX","64%","633","53.7","109.23M","215.11M","-105.88M","974.9%","34.8","53.7%","17.8","0.9","0","25.61"
