"Symbol","Sentiment","TotalAmount","DailyAmount Change","AtAsk","AtBid","NetValue","DPTrades","BlockTrades"
"SPY","Bullish","5.1B","-35.76%","2.69B","2.13B","560.99M","120","222"
"QQQ","Bullish","3.1B","-8.45%","1.58B","1.17B","415.24M","133","213"
"IWM","Bullish","952.53M","-21.62%","539.32M","316.31M","223.01M","33","34"
"IVV","Bullish","544.53M","41.57%","473.47M","12.84M","460.63M","37","87"
"META","Bearish","511.55M","86.51%","143.83M","296.22M","-152.38M","5","11"
"AAPL","Bullish","453.89M","13.27%","212.08M","0","212.08M","4","1"
"XOM","Bullish","451.46M","46.4%","277.66M","166.69M","110.97M","12","5"
"DIS","Bearish","415.77M","246.49%","180.0M","227.17M","-47.17M","13","10"
"PANW","Bearish","394.68M","41.36%","61.8M","176.67M","-114.86M","11","19"
"TQQQ","Bearish","367.7M","-12.09%","84.13M","100.3M","-16.17M","118","575"
"TSLA","Bearish","333.41M","-25.59%","32.64M","300.77M","-268.13M","4","4"
"ACWI","Bullish","315.15M","302.45%","313.18M","496.66K","312.68M","0","11"
"UNH","Bullish","303.66M","18.43%","282.47M","8.2M","274.26M","1","7"
"VFH","Bullish","294.88M","996.89%","157.44M","134.73M","22.7M","2","11"
"COIN","Bearish","292.87M","-12.13%","107.44M","130.78M","-23.33M","121","491"
"ATVI","Bullish","292.84M","-54.86%","106.85M","72.51M","34.35M","52","104"
"MSFT","Bullish","281.1M","19.9%","281.1M","0","281.1M","4","0"
"AMZN","Bullish","278.14M","-6.32%","278.14M","0","278.14M","5","2"
"BKI","Bearish","277.58M","3180.74%","33.94M","74.59M","-40.66M","19","203"
"PDD","Bullish","267.33M","150.89%","264.22M","3.11M","261.11M","3","8"
"VZ","Bearish","243.96M","760.96%","26.97M","179.02M","-152.06M","12","25"
"BRK/B","Bullish","230.69M","-29.8%","199.43M","20.44M","178.99M","23","65"
"RSP","Bearish","214.74M","-3.58%","32.58M","156.0M","-123.42M","17","77"
"CL","Bearish","212.92M","124.3%","25.08M","68.19M","-43.11M","2","13"
"BAC","Bullish","206.73M","485.17%","112.68M","89.98M","22.71M","3","8"
"GOOGL","Bullish","201.34M","60.99%","157.92M","33.79M","124.13M","7","2"
"WFC","Bearish","199.78M","71.93%","26.43M","166.22M","-139.79M","2","12"
"BND","Bearish","199.75M","30.45%","49.77M","127.24M","-77.47M","1","71"
"VNQ","Bullish","190.05M","447.33%","176.86M","6.42M","170.44M","10","22"
"GOOG","Bullish","182.87M","27.96%","127.82M","55.04M","72.78M","5","0"
"NVDA","Bearish","181.74M","-64.99%","39.05M","130.49M","-91.45M","6","2"
"SCHW","Bearish","176.96M","413.35%","44.81M","69.89M","-25.08M","9","10"
"EWJ","Bullish","175.87M","211.11%","165.51M","4.02M","161.49M","2","13"
"AMAT","Bullish","173.57M","465.33%","143.98M","26.28M","117.7M","8","5"
"DHR","Bullish","169.81M","7.01%","130.68M","31.87M","98.81M","1","10"
"CTSH","Bullish","166.98M","633.75%","165.07M","383.99K","164.68M","2","10"
"ON","Bullish","166.32M","173.36%","128.04M","11.53M","116.51M","23","41"
"ADBE","Bearish","165.67M","128.25%","16.59M","48.91M","-32.32M","2","15"
"VOX","Bullish","163.61M","584.78%","151.86M","8.27M","143.58M","5","29"
"VGT","Bullish","162.91M","78.26%","147.08M","1.98M","145.11M","0","20"
"VHT","Bullish","161.09M","385.98%","141.44M","2.08M","139.36M","2","13"
"JPM","Bullish","160.35M","-11.73%","150.09M","5.14M","144.96M","4","3"
"VDE","Bullish","160.14M","630.68%","156.44M","1.26M","155.18M","6","7"
"VCR","Bullish","159.15M","598.68%","131.92M","26.18M","105.74M","1","16"
"VPU","Bullish","157.43M","716.1%","156.29M","781.96K","155.51M","3","6"
"SQQQ","Bearish","156.09M","-28.93%","44.34M","53.67M","-9.33M","37","299"
"CPA","Bearish","155.48M","157.44%","14.55M","136.27M","-121.72M","2","14"
"VDC","Bullish","155.31M","436.49%","150.84M","2.71M","148.14M","3","7"
"VIS","Bullish","153.46M","593.88%","136.01M","0","136.01M","0","9"
"VAW","Bullish","152.41M","512.79%","145.03M","6.47M","138.57M","2","8"
"PG","Bullish","150.78M","-50.67%","150.78M","0","150.78M","0","3"
"BIL","Bullish","146.54M","-44.92%","53.85M","20.23M","33.62M","0","144"
"JNJ","Bullish","146.25M","114.72%","137.82M","0","137.82M","0","2"
"UBER","Bearish","143.89M","93.62%","13.2M","111.09M","-97.89M","6","14"
"ARGX","Bearish","142.75M","378.08%","17.21M","65.98M","-48.77M","12","39"
"C","Bearish","141.99M","-50.61%","12.14M","27.44M","-15.3M","10","10"
"BABA","Bearish","141.89M","22.29%","68.86M","70.33M","-1.47M","2","6"
"ADI","Bearish","141.64M","214.15%","0","128.08M","-128.08M","0","14"
"ASML","Bullish","141.61M","65.68%","62.56M","57.15M","5.42M","4","7"
"AXP","Bullish","141.16M","80.4%","137.24M","3.92M","133.33M","1","6"
"MRK","Bullish","138.4M","-51.58%","138.4M","0","138.4M","0","4"
"AVGO","Bullish","137.13M","65.43%","119.11M","18.01M","101.1M","0","7"
"F","Bearish","136.04M","109.93%","29.59M","96.37M","-66.78M","20","27"
"AMD","Bearish","134.34M","3.92%","44.85M","68.17M","-23.32M","15","12"
"PM","Bearish","133.87M","165.02%","9.67M","12.04M","-2.37M","1","16"
"VCSH","Bearish","131.77M","66.61%","24.63M","93.15M","-68.52M","1","43"
"VLO","Bullish","130.29M","343.64%","123.1M","3.86M","119.24M","2","12"
"SOXL","Bullish","125.7M","93.13%","59.51M","34.82M","24.69M","47","209"
"STM","Bearish","124.04M","993.98%","34.2M","87.26M","-53.06M","1","5"
"ORCL","Bearish","117.87M","-30.38%","0","117.87M","-117.87M","0","1"
"EA","Bearish","113.46M","401.89%","45.82M","55.89M","-10.07M","13","22"
"VCIT","Bearish","112.51M","68.55%","11.81M","95.16M","-83.35M","1","27"
"FLYW","Bullish","111.94M","7860.96%","109.88M","2.06M","107.82M","6","5"
"ACN","Bullish","111.02M","173.66%","106.08M","0","106.08M","0","5"
"SLB","Bearish","110.96M","118.38%","19.93M","60.65M","-40.72M","8","19"
"RIVN","Bearish","110.32M","-27.79%","39.18M","62.21M","-23.03M","89","93"
"SBUX","Bullish","107.24M","358.15%","6.85M","2.48M","4.37M","2","7"
"LLY","Bullish","106.73M","-50.77%","90.87M","15.86M","75.0M","1","1"
"APLS","Bullish","106.14M","797.06%","30.71M","24.6M","6.11M","33","118"
"VTI","Bearish","105.51M","-42.9%","17.03M","25.38M","-8.35M","18","133"
"AMGN","Bullish","105.37M","128.09%","102.1M","0","102.1M","0","7"
"CVX","Bearish","100.38M","-52.58%","0","97.0M","-97.0M","1","4"
"VOO","Bullish","100.25M","-61.99%","31.67M","30.75M","921.77K","23","110"
"EFA","Bearish","99.31M","-19.65%","29.05M","59.4M","-30.35M","3","90"
"NRG","Bearish","98.41M","949.52%","0","98.41M","-98.41M","0","3"
"LRCX","Bearish","97.57M","210.84%","11.55M","53.21M","-41.66M","3","12"
"MA","Bullish","97.33M","188.4%","89.9M","7.43M","82.47M","1","2"
"PFE","Bearish","97.16M","9.32%","2.61M","56.69M","-54.08M","1","10"
"MMC","Bullish","95.0M","-22.19%","61.94M","33.06M","28.88M","0","2"
"TGT","Bullish","93.53M","8.92%","64.9M","15.68M","49.22M","9","16"
