"Symbol","Sentiment","TotalAmount","DailyAmount Change","AtAsk","AtBid","NetValue","DPTrades","BlockTrades"
"SPY","","10.92B","59.95%","4.88B","5.63B","-752.06M","361","373"
"TSLA","","6.92B","6.06%","2.43B","2.44B","-14.89M","5111","8758"
"QQQ","","4.08B","7.09%","1.87B","1.95B","-81.2M","290","288"
"AAPL","","3.41B","118.97%","1.18B","1.47B","-288.12M","1932","2189"
"NVDA","","2.93B","7.03%","1.02B","1.42B","-405.19M","799","2460"
"AMZN","","2.5B","94.26%","830.81M","914.49M","-83.69M","2096","2440"
"AMD","","1.73B","1.34%","415.63M","823.8M","-408.17M","887","1863"
"META","","1.08B","-8.66%","270.0M","632.55M","-362.55M","345","861"
"MSFT","","850.91M","-9.08%","372.51M","317.76M","54.74M","387","613"
"IVV","","619.52M","88.87%","37.95M","500.8M","-462.85M","29","83"
"ABC","","617.32M","1730.11%","401.96M","210.16M","191.8M","26","34"
"JNJ","","581.86M","-23.18%","393.33M","143.43M","249.9M","84","193"
"HYG","","555.3M","-17.75%","274.35M","193.48M","80.88M","33","225"
"VOO","","548.56M","120.86%","53.55M","458.2M","-404.65M","47","82"
"IWM","","540.24M","-40.42%","301.6M","162.99M","138.62M","27","36"
"TLT","","488.24M","-1.02%","160.85M","86.62M","74.23M","75","178"
"TQQQ","","481.82M","10.82%","119.97M","194.83M","-74.86M","320","615"
"PANW","","467.13M","311.03%","227.44M","142.93M","84.51M","136","284"
"LQD","","463.47M","-36.82%","95.74M","315.64M","-219.9M","23","188"
"CVX","","431.72M","0.95%","47.33M","361.43M","-314.1M","49","69"
"XOM","","374.35M","-42.28%","100.91M","238.92M","-138.01M","74","140"
"GOOGL","","314.3M","-17.39%","92.38M","153.48M","-61.11M","152","245"
"SQQQ","","313.14M","30.57%","90.0M","104.36M","-14.36M","125","535"
"BABA","","301.05M","15.83%","21.71M","206.49M","-184.78M","68","113"
"BRK/B","","291.79M","-5.84%","52.02M","226.36M","-174.34M","39","82"
"AVGO","","271.19M","71.96%","232.93M","28.5M","204.43M","9","23"
"VGT","","265.18M","786.15%","136.14M","122.89M","13.25M","12","21"
"C","","263.79M","12.72%","164.43M","93.87M","70.56M","16","37"
"UPS","","245.92M","110.55%","53.13M","177.82M","-124.69M","11","41"
"PG","","244.37M","-26.8%","194.44M","38.73M","155.7M","13","46"
"SQ","","241.99M","149.06%","76.62M","117.64M","-41.02M","191","193"
"BIL","","238.97M","-30.08%","75.87M","51.9M","23.97M","0","231"
"DHR","","234.42M","-0.07%","208.98M","19.61M","189.37M","4","35"
"LLY","","225.29M","-23.68%","7.81M","213.32M","-205.52M","12","20"
"IEF","","217.19M","46.43%","42.3M","31.03M","11.26M","10","199"
"NFLX","","216.12M","-21.91%","78.07M","97.94M","-19.88M","45","186"
"QCOM","","204.45M","-20.65%","119.89M","39.13M","80.76M","88","117"
"XLV","","201.89M","-0.05%","38.1M","148.19M","-110.09M","20","76"
"SOXX","","193.14M","1129.57%","9.56M","180.8M","-171.24M","4","9"
"GOOG","","182.83M","-15.35%","70.71M","74.64M","-3.92M","121","134"
"LIN","","179.54M","-28.74%","8.3M","167.51M","-159.21M","6","19"
"DIS","","177.51M","-37.01%","52.62M","95.7M","-43.08M","53","111"
"XLE","","175.52M","20.14%","23.39M","124.31M","-100.92M","32","75"
"MRK","","173.37M","-29.16%","116.46M","41.52M","74.94M","19","55"
"PDCE","","167.2M","457.81%","17.02M","149.81M","-132.78M","26","4"
"XLI","","165.15M","54.78%","8.95M","149.31M","-140.36M","14","23"
"XLY","","161.58M","232.92%","145.23M","5.82M","139.41M","9","31"
"ABBV","","160.3M","-58.21%","23.29M","129.69M","-106.41M","8","36"
"BND","","158.17M","51.51%","81.99M","54.4M","27.59M","14","76"
"PFE","","157.56M","-52.86%","17.52M","127.9M","-110.38M","27","58"
"CSX","","155.34M","386.76%","39.39M","66.02M","-26.63M","35","97"
"KVUE","","154.03M","101.61%","89.78M","32.61M","57.17M","23","42"
"UNH","","153.02M","-9.4%","20.55M","122.17M","-101.62M","9","39"
"UNP","","150.19M","150.49%","9.61M","93.21M","-83.61M","22","75"
"EMR","","145.65M","3.48%","141.15M","3.37M","137.77M","8","18"
"EEM","","144.19M","-50.39%","56.68M","83.87M","-27.19M","15","81"
"T","","143.74M","49.69%","3.47M","129.53M","-126.06M","12","44"
"WMT","","142.42M","113.38%","91.35M","43.91M","47.44M","15","38"
"AMGN","","139.94M","139.2%","73.33M","33.18M","40.15M","27","83"
"CME","","136.1M","296.57%","115.43M","11.68M","103.75M","23","50"
"GLD","","130.69M","-9.54%","57.25M","46.53M","10.71M","46","103"
"INTU","","127.83M","46.93%","673.87K","112.85M","-112.18M","0","18"
"FTNT","","125.78M","187.08%","35.07M","50.33M","-15.26M","78","121"
"DIA","","123.86M","-39.35%","31.73M","83.03M","-51.3M","22","41"
"ORCL","","123.55M","-21.35%","106.77M","8.25M","98.52M","25","54"
"LOW","","122.41M","-15.78%","18.28M","101.73M","-83.45M","6","28"
"HUM","","120.78M","-20.85%","101.07M","18.44M","82.64M","1","23"
"ASML","","120.26M","107.0%","113.17M","850.34K","112.32M","4","13"
"EXR","","117.79M","23.82%","37.34M","62.94M","-25.6M","23","51"
"MS","","117.0M","-6.85%","19.87M","83.01M","-63.14M","18","33"
"PLTR","","116.76M","-2.14%","42.33M","60.22M","-17.89M","64","101"
"VCSH","","114.73M","19.76%","107.99M","2.47M","105.52M","3","17"
"VGIT","","113.9M","227.9%","101.14M","4.13M","97.01M","2","21"
"VTIP","","110.96M","496.59%","280.57K","109.29M","-109.01M","0","11"
"PYPL","","109.6M","-41.85%","46.88M","31.85M","15.03M","87","135"
"PEP","","109.22M","-33.55%","55.56M","43.05M","12.5M","32","39"
"ADBE","","108.24M","-9.93%","25.61M","76.03M","-50.43M","17","34"
"VUG","","107.02M","109.0%","19.46M","65.14M","-45.68M","9","55"
"BSV","","106.24M","168.36%","33.2M","61.52M","-28.32M","2","45"
"VTI","","105.83M","-43.66%","32.22M","24.58M","7.64M","30","101"
"SOXL","","104.97M","28.99%","31.46M","58.99M","-27.54M","73","145"
"ON","","103.58M","25.58%","73.33M","16.28M","57.05M","23","26"
"FIS","","103.36M","34.93%","79.45M","21.0M","58.45M","7","22"
"HWM","","103.06M","192.25%","69.66M","3.04M","66.62M","4","11"
"BKNG","","102.26M","162.69%","23.48M","64.59M","-41.11M","1","10"
"ABT","","101.31M","-44.29%","0","95.7M","-95.7M","2","22"
"SYK","","98.38M","-19.17%","63.3M","24.07M","39.23M","11","20"
"MUB","","97.65M","41.57%","60.14M","26.35M","33.79M","8","34"
"PDD","","96.87M","32.46%","6.74M","17.44M","-10.7M","15","15"
"TSM","","95.78M","18.94%","7.14M","79.0M","-71.85M","21","31"
"SMCI","","95.36M","68.99%","39.83M","34.57M","5.25M","31","142"
"VTEB","","95.01M","140.96%","15.87M","66.9M","-51.02M","3","40"
"IWF","","94.78M","87.54%","22.11M","63.84M","-41.73M","17","32"
"ISRG","","94.2M","162.81%","5.33M","81.69M","-76.36M","8","33"
