"Symbol","Sentiment","TotalAmount","DailyAmount Change","AtAsk","AtBid","NetValue","DPTrades","BlockTrades"
"SPY","","4.54B","-31.09%","634.22M","3.43B","-2.8B","331","530"
"QQQ","","2.1B","-48.72%","634.18M","1.06B","-430.73M","208","379"
"ABCM","","805.4M","10906.32%","365.07M","286.37M","78.71M","62","359"
"IWM","","794.99M","53.05%","227.58M","536.1M","-308.52M","32","59"
"IGSB","","480.48M","1430.63%","470.76M","2.72M","468.04M","0","31"
"NVDA","","469.79M","-7.72%","394.94M","74.85M","320.08M","2","3"
"TQQQ","","406.77M","-12.39%","106.1M","141.75M","-35.64M","148","565"
"META","","395.17M","-21.47%","32.27M","362.89M","-330.62M","7","4"
"AAPL","","326.17M","-29.71%","209.21M","116.96M","92.25M","4","2"
"VCIT","","323.17M","701.82%","1.26M","315.08M","-313.82M","1","23"
"XOM","","308.63M","19.39%","244.27M","64.37M","179.9M","2","5"
"SQQQ","","306.03M","-17.64%","136.51M","83.71M","52.8M","42","438"
"BSX","","289.67M","556.53%","245.33M","36.4M","208.93M","8","17"
"TNET","","255.85M","39.68%","154.38M","98.28M","56.1M","9","16"
"NFLX","","254.0M","244.44%","11.07M","242.92M","-231.85M","8","3"
"MCK","","239.44M","197.93%","215.9M","11.12M","204.78M","0","29"
"AMZN","","227.23M","-9.47%","42.61M","184.62M","-142.01M","5","2"
"AMD","","220.52M","23.46%","188.77M","10.8M","177.97M","10","9"
"MSFT","","206.8M","-61.42%","0","206.8M","-206.8M","2","0"
"VOO","","187.51M","9.7%","58.55M","45.92M","12.63M","36","131"
"SHW","","179.49M","579.86%","113.0M","57.67M","55.33M","1","9"
"TMUS","","176.65M","215.31%","16.76M","157.14M","-140.38M","0","8"
"VCLT","","176.57M","1105.99%","264.82K","174.98M","-174.71M","0","5"
"MMC","","176.38M","210.19%","131.28M","38.48M","92.8M","1","9"
"PG","","172.39M","8.89%","0","172.39M","-172.39M","0","3"
"BIL","","165.96M","-44.57%","26.9M","63.46M","-36.57M","0","163"
"HZNP","","158.94M","289.19%","51.02M","70.89M","-19.87M","12","105"
"TLH","","152.41M","141.47%","11.78M","11.48M","301.21K","4","25"
"IVV","","151.12M","-56.47%","98.88M","17.29M","81.59M","15","77"
"VYM","","148.02M","380.84%","139.94M","3.73M","136.2M","1","14"
"MS","","141.05M","52.99%","124.67M","9.85M","114.82M","4","9"
"BRK/B","","140.31M","-54.43%","19.53M","98.5M","-78.97M","3","48"
"PDD","","135.75M","36.76%","23.5M","102.23M","-78.74M","22","20"
"C","","134.03M","-4.65%","20.46M","107.57M","-87.11M","7","13"
"LLY","","132.28M","-27.69%","6.53M","125.75M","-119.21M","0","2"
"TGT","","127.98M","18.26%","93.96M","28.4M","65.56M","6","16"
"MMM","","126.93M","85.3%","7.44M","115.31M","-107.87M","7","17"
"TSLA","","123.84M","-63.03%","64.89M","58.95M","5.93M","7","4"
"RSP","","122.6M","87.6%","48.95M","52.24M","-3.28M","11","102"
"T","","120.33M","103.45%","117.68M","0","117.68M","0","11"
"LIN","","119.23M","27.27%","107.08M","12.15M","94.93M","1","3"
"ABT","","114.54M","24.71%","96.55M","17.99M","78.57M","1","6"
"BAC","","114.03M","140.79%","0","109.66M","-109.66M","4","1"
"ABBV","","113.17M","-15.73%","99.24M","13.93M","85.32M","2","4"
"DIS","","112.88M","-23.16%","32.29M","19.0M","13.29M","8","7"
"MUB","","111.69M","19.41%","61.03M","23.92M","37.11M","7","83"
"SGEN","","111.58M","71.52%","20.82M","27.14M","-6.33M","9","116"
"LH","","110.35M","293.08%","962.29K","109.39M","-108.43M","1","5"
"KKR","","107.88M","215.73%","60.39M","34.05M","26.34M","5","14"
"MRK","","107.8M","-40.6%","0","107.8M","-107.8M","2","3"
"FCX","","105.58M","87.23%","47.96M","55.3M","-7.34M","3","13"
"ADI","","103.65M","90.31%","11.28M","90.8M","-79.52M","3","5"
"LOW","","102.54M","9.61%","85.57M","3.36M","82.21M","0","9"
"ATVI","","99.96M","57.27%","16.72M","66.01M","-49.29M","5","19"
"VWO","","96.43M","159.58%","32.62M","55.15M","-22.53M","4","63"
