"Symbol","Sentiment","TotalAmount","DailyAmount Change","AtAsk","AtBid","NetValue","DPTrades","BlockTrades"
"SPY","","4.94B","7.61%","2.24B","2.35B","-114.61M","476","392"
"QQQ","","2.2B","-0.46%","1.23B","748.67M","482.51M","225","276"
"IWM","","1.12B","26.35%","588.87M","432.23M","156.64M","46","75"
"TSLA","","979.01M","376.92%","724.09M","254.92M","469.17M","16","10"
"MBB","","588.71M","122.63%","13.39M","35.74M","-22.35M","6","45"
"META","","561.63M","111.32%","543.92M","17.71M","526.2M","9","2"
"TQQQ","","556.79M","28.71%","160.24M","202.45M","-42.21M","275","662"
"V","","534.38M","1239.55%","6.14M","528.24M","-522.1M","1","4"
"VCIT","","529.37M","60.9%","470.0M","22.82M","447.17M","2","114"
"VMW","","527.53M","87.99%","219.61M","282.88M","-63.27M","20","39"
"VOO","","470.36M","179.71%","84.99M","348.91M","-263.92M","60","84"
"AAPL","","362.88M","139.79%","296.46M","66.42M","230.04M","5","0"
"IVV","","308.93M","7.37%","144.16M","138.01M","6.15M","46","65"
"SQQQ","","290.97M","22.64%","90.24M","93.85M","-3.61M","87","450"
"MS","","282.93M","129.76%","22.66M","247.48M","-224.82M","15","10"
"PG","","276.13M","321.63%","249.73M","16.12M","233.61M","5","5"
"MUB","","258.27M","-22.48%","100.97M","59.81M","41.16M","28","219"
"BRK/B","","257.33M","23.68%","68.96M","172.79M","-103.83M","11","96"
"BIL","","249.15M","-26.59%","80.27M","89.22M","-8.95M","1","232"
"DG","","247.52M","232.14%","46.87M","148.35M","-101.48M","9","40"
"MSFT","","223.67M","144.05%","0","223.67M","-223.67M","2","1"
"GOVT","","222.96M","119.27%","150.56M","13.36M","137.2M","0","31"
"AMZN","","220.63M","-0.99%","0","220.63M","-220.63M","3","2"
"VFH","","218.64M","2251.17%","218.11M","0","218.11M","2","1"
"MRK","","207.79M","702.67%","57.38M","150.41M","-93.03M","0","5"
"NFLX","","180.98M","6.02%","19.85M","133.0M","-113.14M","12","24"
"AGG","","176.35M","-0.97%","61.43M","47.88M","13.55M","4","137"
"HUM","","162.59M","307.48%","2.58M","149.29M","-146.71M","4","16"
"IRM","","146.11M","8599.08%","93.76M","7.16M","86.6M","1","10"
"CVX","","145.56M","35.21%","3.28M","137.43M","-134.15M","0","4"
"C","","144.97M","59.2%","123.02M","8.85M","114.17M","5","10"
"UNH","","136.39M","121.66%","0","136.39M","-136.39M","0","6"
"NVDA","","132.87M","-18.31%","122.39M","10.48M","111.91M","6","0"
"VGIT","","130.04M","-11.34%","98.85M","4.16M","94.69M","3","58"
"PDD","","129.96M","20.07%","126.61M","0","126.61M","1","6"
"RCL","","122.77M","338.65%","2.46M","94.92M","-92.46M","7","24"
"BAC","","122.68M","78.79%","32.92M","89.76M","-56.84M","3","10"
"VTEB","","122.0M","-19.9%","23.85M","41.14M","-17.29M","4","146"
"ABBV","","119.79M","57.11%","91.53M","21.56M","69.97M","1","7"
"BND","","118.73M","3.6%","23.47M","33.36M","-9.89M","9","145"
"SMCI","","112.74M","4.07%","39.64M","53.9M","-14.26M","40","206"
"ELV","","112.1M","235.43%","36.27M","63.64M","-27.37M","2","34"
"UPS","","109.63M","32.53%","6.38M","94.07M","-87.69M","1","10"
"DIS","","108.18M","-13.76%","7.48M","100.7M","-93.22M","9","3"
"SUSA","","105.76M","254.73%","105.35M","408.22K","104.94M","0","2"
"VCLT","","101.72M","-13.36%","88.04M","11.1M","76.94M","1","12"
"AXP","","101.37M","-17.0%","1.14M","94.98M","-93.85M","0","10"
"RIVN","","100.28M","68.5%","29.74M","54.95M","-25.22M","42","83"
"BLV","","99.03M","1776.59%","1.45M","95.69M","-94.24M","2","10"
"PXD","","97.53M","-34.75%","37.99M","40.05M","-2.06M","10","26"
"OLK","","96.33M","-80.53%","18.13M","62.85M","-44.72M","0","40"
"VTV","","95.87M","-4.0%","19.96M","59.53M","-39.57M","23","54"
"USFR","","94.2M","-15.14%","50.15M","19.01M","31.13M","0","75"
"VTI","","93.8M","-6.51%","24.22M","33.06M","-8.84M","34","91"
"TMO","","93.75M","158.25%","8.3M","56.97M","-48.68M","0","15"
"EMB","","93.1M","44.28%","32.81M","52.72M","-19.91M","9","53"
"ABT","","92.07M","148.28%","26.33M","63.83M","-37.49M","7","6"
"IEFA","","92.0M","34.69%","35.84M","34.89M","945.87K","15","71"
"ASND","","89.51M","118.19%","0","88.21M","-88.21M","0","4"
"UAL","","87.81M","383.75%","30.24M","46.21M","-15.97M","66","82"
"TFI","","86.0M","27.39%","30.26M","10.26M","20.0M","2","21"
"HD","","84.43M","433.56%","0","81.49M","-81.49M","0","6"
"LOW","","82.49M","476.47%","8.1M","72.84M","-64.74M","3","10"
"SCHO","","79.43M","65.31%","1.79M","63.5M","-61.7M","0","23"
"ADI","","79.08M","7.84%","31.35M","3.72M","27.63M","4","14"
"HDB","","77.5M","122.45%","25.81M","16.48M","9.33M","1","4"
"QCOM","","77.33M","137.46%","30.53M","31.66M","-1.13M","7","7"
"XOM","","76.27M","-67.81%","51.67M","18.87M","32.8M","4","5"
"CVS","","74.7M","378.76%","55.71M","13.13M","42.57M","5","14"
"BSV","","72.25M","62.19%","6.53M","44.94M","-38.41M","1","48"
"FCX","","72.02M","91.91%","2.52M","64.34M","-61.83M","3","7"
"DVN","","71.47M","152.73%","23.76M","44.64M","-20.88M","17","30"
"LULU","","70.13M","-81.79%","29.87M","38.02M","-8.14M","10","28"
"VRTX","","69.41M","20.48%","10.17M","32.38M","-22.2M","0","14"
"ACWI","","68.75M","-28.44%","5.29M","8.4M","-3.11M","3","13"
"IWV","","67.16M","581.94%","1.06M","66.1M","-65.04M","0","5"
"PBR","","66.21M","85.04%","53.63M","11.15M","42.48M","5","5"
"WFC","","65.92M","207.53%","5.2M","60.72M","-55.52M","2","3"
"URI","","65.77M","223.17%","39.86M","13.68M","26.18M","10","31"
"CF","","65.18M","531.44%","16.86M","35.32M","-18.46M","1","14"
"SDY","","63.98M","558.29%","3.71M","53.24M","-49.53M","3","17"
"IGSB","","63.48M","-69.79%","50.21M","2.59M","47.63M","0","19"
"AMD","","63.45M","-62.35%","9.59M","53.86M","-44.26M","15","2"
"VICI","","63.41M","83.4%","0","62.92M","-62.92M","1","5"
"ORCL","","63.25M","-20.5%","58.43M","4.83M","53.6M","0","3"
"SHV","","62.94M","-6.42%","7.1M","37.12M","-30.03M","2","69"
"FBND","","62.78M","292.13%","3.39M","28.69M","-25.3M","1","10"
"AVTR","","62.2M","11.88%","13.46M","32.79M","-19.33M","11","20"
"USB","","60.28M","161.44%","38.52M","16.1M","22.42M","14","14"
"NEE","","60.22M","-18.26%","0","50.87M","-50.87M","3","5"
"CSCO","","59.37M","60.0%","2.27M","57.1M","-54.83M","4","6"
"EFA","","59.35M","-56.57%","33.96M","16.29M","17.66M","10","52"
"MSCI","","59.08M","1077.62%","31.91M","10.85M","21.06M","0","15"
"PEP","","59.08M","6.86%","22.23M","29.48M","-7.25M","6","3"
"RTX","","58.85M","195.26%","20.49M","19.16M","1.33M","11","7"
"ING","","58.49M","0%","57.18M","1.31M","55.87M","8","2"
"GS","","58.18M","48.74%","18.56M","35.49M","-16.93M","1","27"
"VZ","","57.62M","8.72%","52.94M","3.19M","49.76M","3","4"
"BKNG","","57.5M","294.36%","0","57.5M","-57.5M","0","1"
"ESTC","","57.43M","2104.58%","23.11M","21.1M","2.0M","7","21"
"CMCSA","","57.23M","75.12%","57.23M","0","57.23M","5","1"
"ARKK","","56.28M","86.84%","30.67M","12.86M","17.81M","17","50"
"DHR","","55.77M","81.94%","7.33M","24.54M","-17.21M","2","10"
"PRGO","","55.65M","1017.17%","0","55.65M","-55.65M","0","1"
"FICO","","55.17M","1046.01%","0","1.08M","-1.08M","0","5"
"SGEN","","55.06M","3.23%","5.38M","35.32M","-29.94M","2","25"
"TFLO","","54.98M","156.71%","11.18M","36.53M","-25.35M","0","32"
"USHY","","54.71M","104.68%","13.98M","2.27M","11.71M","0","14"
"BAX","","54.49M","-3.06%","12.33M","7.05M","5.29M","22","41"
"SNY","","54.11M","1052.87%","48.16M","5.95M","42.22M","9","3"
"BNDX","","53.88M","64.64%","42.46M","3.65M","38.81M","1","26"
"INTU","","53.77M","-30.99%","3.14M","45.29M","-42.15M","0","8"
"VWO","","52.65M","3.6%","16.33M","12.16M","4.17M","0","62"
"AON","","51.98M","15.32%","7.58M","44.4M","-36.82M","0","8"
"ALB","","51.66M","205.4%","23.53M","15.72M","7.81M","9","85"
"EW","","50.83M","98.91%","22.86M","18.64M","4.21M","4","22"
"EUFN","","50.63M","0%","49.27M","1.36M","47.91M","2","3"
"SPXL","","49.88M","-28.69%","15.8M","25.96M","-10.16M","40","45"
"UPRO","","49.87M","81.34%","13.56M","27.57M","-14.01M","12","34"
"IWD","","49.79M","-72.52%","19.73M","19.72M","11.09K","8","31"
"ICE","","49.5M","49.01%","33.72M","6.38M","27.35M","4","9"
"VEA","","49.45M","-49.71%","10.25M","8.5M","1.75M","2","78"
"COP","","49.45M","173.22%","3.08M","36.85M","-33.76M","1","7"
"IJR","","49.25M","4.78%","15.63M","21.51M","-5.88M","13","52"
"USMV","","49.07M","33.34%","6.02M","38.21M","-32.19M","7","22"
"SPYV","","48.8M","28.45%","43.39M","1.84M","41.55M","3","13"
"VDE","","48.58M","183.17%","38.66M","4.51M","34.15M","4","23"
"JPST","","48.57M","36.08%","29.98M","7.18M","22.8M","0","37"
"PPG","","48.07M","189.14%","442.03K","41.84M","-41.4M","3","9"
"EZU","","48.07M","192.41%","2.68M","41.9M","-39.22M","4","12"
"TMUS","","47.79M","-6.44%","10.04M","23.14M","-13.1M","7","16"
"JNJ","","47.71M","176.15%","42.66M","5.05M","37.61M","1","3"
"TCOM","","47.32M","76.48%","4.17M","38.15M","-33.98M","0","8"
"AVGO","","46.85M","-63.25%","8.97M","37.88M","-28.91M","4","2"
"XBI","","46.72M","-7.72%","14.59M","25.91M","-11.32M","22","50"
"DELL","","46.71M","-25.15%","3.61M","35.56M","-31.94M","8","20"
"QQQM","","46.52M","6.51%","30.05M","2.83M","27.22M","8","29"
"ROKU","","46.17M","186.43%","9.87M","26.41M","-16.54M","26","62"
"FANG","","45.46M","78.97%","37.73M","5.93M","31.8M","2","32"
