"Symbol","Sentiment","TotalAmount","DailyAmount Change","AtAsk","AtBid","NetValue","DPTrades","BlockTrades"
"SPY","","6.78B","31.81%","3.14B","3.16B","-15.82M","302","391"
"QQQ","","4.93B","98.74%","3.61B","933.56M","2.68B","243","327"
"IWM","","758.94M","5.7%","366.6M","330.23M","36.37M","27","43"
"LLY","","461.72M","22.86%","82.34M","373.89M","-291.55M","4","9"
"TQQQ","","414.84M","47.33%","111.37M","120.46M","-9.09M","221","595"
"MUB","","393.27M","169.76%","300.15M","65.5M","234.65M","14","77"
"KVUE","","372.16M","221.12%","120.49M","135.72M","-15.23M","109","266"
"AMZN","","364.34M","-6.46%","192.82M","171.52M","21.29M","4","4"
"BIL","","344.6M","1.72%","94.08M","61.85M","32.23M","0","257"
"TSLA","","342.43M","52.49%","310.68M","24.36M","286.31M","5","6"
"MRK","","340.3M","52.73%","170.49M","149.74M","20.75M","9","6"
"ORCL","","335.81M","24.13%","305.41M","13.57M","291.83M","12","11"
"MSFT","","331.95M","-45.48%","331.95M","0","331.95M","3","3"
"BRK/B","","327.38M","-7.38%","102.75M","211.23M","-108.47M","23","82"
"XOM","","316.23M","-30.02%","83.69M","227.74M","-144.05M","5","5"
"SQQQ","","271.73M","12.47%","86.54M","95.89M","-9.35M","105","427"
"CSGS","","260.53M","5229.82%","146.25M","105.17M","41.07M","29","124"
"RSP","","260.38M","106.88%","221.31M","20.64M","200.67M","11","62"
"META","","258.07M","-23.59%","68.05M","176.59M","-108.55M","3","4"
"CTVA","","256.37M","199.93%","44.8M","210.08M","-165.29M","3","17"
"LYV","","253.1M","706.51%","122.76M","120.29M","2.47M","25","42"
"JNJ","","242.28M","-12.59%","40.27M","202.0M","-161.73M","1","6"
"NVDA","","239.14M","-59.78%","129.75M","96.9M","32.85M","8","3"
"INTC","","230.47M","266.4%","68.23M","138.51M","-70.28M","12","14"
"IVV","","225.64M","-47.01%","143.87M","42.8M","101.08M","27","85"
"NKE","","211.63M","191.81%","127.51M","65.25M","62.26M","12","15"
"KO","","211.4M","474.73%","20.86M","165.21M","-144.35M","3","9"
"EFA","","208.95M","79.29%","48.4M","141.4M","-93.0M","9","72"
"CVX","","193.4M","-19.78%","0","193.4M","-193.4M","1","4"
"EFG","","190.3M","2519.77%","1.56M","182.69M","-181.14M","4","17"
"MELI","","170.36M","27.05%","74.98M","22.66M","52.32M","1","5"
"VTI","","169.71M","29.67%","37.2M","91.29M","-54.08M","33","105"
"AVGO","","168.1M","-27.49%","163.99M","4.11M","159.89M","2","8"
"PG","","167.96M","-0.55%","136.03M","31.93M","104.1M","1","3"
"CNI","","161.09M","182.54%","2.09M","156.59M","-154.51M","1","7"
"TXN","","160.51M","125.52%","7.22M","151.75M","-144.54M","6","7"
"LOW","","145.45M","14.57%","116.52M","26.33M","90.19M","0","10"
"ADI","","139.96M","121.29%","88.03M","14.74M","73.29M","3","17"
"PFE","","137.96M","-34.12%","11.64M","21.59M","-9.95M","1","8"
"JPM","","137.95M","73.31%","137.95M","0","137.95M","7","2"
