"Symbol","Sentiment","TotalAmount","DailyAmount Change","AtAsk","AtBid","NetValue","DPTrades","BlockTrades"
"SPY","","5.74B","4.28%","1.73B","3.29B","-1.56B","372","424"
"QQQ","","4.38B","59.36%","1.63B","2.42B","-794.87M","201","301"
"IWM","","1.07B","4.45%","519.39M","517.91M","1.48M","44","57"
"BIL","","940.85M","454.07%","371.84M","197.87M","173.97M","0","484"
"NVDA","","711.2M","107.06%","360.52M","350.68M","9.85M","6","3"
"TSLA","","601.84M","39.72%","154.71M","441.6M","-286.89M","12","16"
"TQQQ","","586.95M","22.89%","121.43M","301.36M","-179.93M","147","712"
"BSV","","555.68M","1429.08%","183.04M","326.97M","-143.94M","5","128"
"MSFT","","540.47M","256.85%","503.08M","37.39M","465.69M","7","0"
"MUB","","439.62M","57.19%","201.16M","92.45M","108.71M","21","296"
"QLD","","421.55M","4372.85%","210.53M","206.91M","3.62M","17","29"
"AMZN","","421.29M","31.44%","77.71M","311.79M","-234.08M","7","2"
"SQQQ","","407.83M","66.5%","129.62M","146.81M","-17.19M","77","641"
"VMW","","405.25M","-7.8%","149.93M","187.96M","-38.03M","6","31"
"AAPL","","371.33M","-29.53%","221.45M","149.89M","71.56M","3","2"
"CWB","","354.42M","4947.26%","1.57M","317.03M","-315.46M","17","29"
"IVV","","351.71M","-19.02%","176.75M","108.53M","68.22M","46","103"
"BND","","340.25M","189.73%","114.93M","166.13M","-51.19M","3","158"
"VTEB","","334.91M","92.78%","190.45M","51.46M","138.99M","10","231"
"VOO","","320.92M","12.13%","188.6M","68.22M","120.39M","54","127"
"BABA","","318.08M","456.78%","0","318.08M","-318.08M","3","1"
"AGG","","302.9M","107.73%","164.24M","65.44M","98.79M","11","180"
"UNH","","297.03M","337.72%","292.07M","4.96M","287.12M","1","4"
"XOM","","288.82M","19.01%","18.37M","270.45M","-252.08M","2","6"
"META","","272.15M","-33.3%","49.04M","223.11M","-174.08M","5","2"
"RY","","268.72M","2952.45%","69.52M","197.64M","-128.12M","1","4"
"GOOGL","","267.53M","105.21%","27.4M","240.13M","-212.73M","3","2"
"BRK/B","","263.29M","122.85%","145.72M","81.93M","63.79M","5","76"
"SSO","","246.8M","1053.41%","8.94M","12.29M","-3.35M","7","62"
"PDD","","246.12M","83.12%","6.53M","234.91M","-228.38M","6","8"
"AXP","","240.81M","113.62%","4.85M","215.46M","-210.61M","16","22"
"CVX","","227.87M","172.9%","11.46M","205.72M","-194.26M","4","6"
"MRK","","194.1M","192.8%","52.86M","138.13M","-85.27M","1","6"
"MS","","193.27M","8.79%","134.76M","35.74M","99.02M","8","5"
"MCD","","193.2M","596.22%","2.82M","184.41M","-181.59M","0","7"
"VTI","","188.7M","98.8%","45.71M","77.71M","-32.0M","34","136"
"SPXL","","182.08M","185.71%","115.44M","45.99M","69.45M","78","79"
"SHEL","","178.79M","633.02%","101.09M","21.22M","79.87M","8","16"
"VGIT","","176.27M","-11.78%","23.94M","11.45M","12.48M","0","61"
