"Symbol","Sentiment","TotalAmount","DailyAmount Change","AtAsk","AtBid","NetValue","DPTrades","BlockTrades"
"SPY","","4.46B","-24.82%","2.12B","1.05B","1.07B","258","310"
"QQQ","","3.0B","2.08%","1.79B","978.91M","815.14M","163","255"
"IWM","","765.88M","23.1%","226.69M","502.85M","-276.16M","33","55"
"HZNP","","672.55M","526.07%","314.57M","174.44M","140.14M","51","218"
"BIL","","548.71M","113.15%","152.62M","117.15M","35.48M","0","642"
"LLY","","446.31M","74.51%","242.93M","203.37M","39.56M","0","4"
"PXD","","406.86M","1172.09%","115.39M","289.92M","-174.53M","6","17"
"BRK/B","","354.91M","19.74%","259.39M","79.63M","179.76M","11","83"
"BKI","","328.49M","155.27%","30.92M","289.01M","-258.09M","19","12"
"TSLA","","309.57M","46.18%","213.47M","96.1M","117.36M","10","3"
"TQQQ","","309.4M","-21.03%","94.11M","74.42M","19.69M","193","459"
"ICE","","290.54M","2441.55%","281.81M","3.25M","278.56M","8","7"
"RSP","","278.22M","79.4%","24.35M","244.42M","-220.07M","21","63"
"XOM","","265.63M","-36.46%","0","265.63M","-265.63M","3","3"
"DELL","","262.94M","559.16%","91.76M","106.75M","-15.0M","167","267"
"AVGO","","259.51M","77.79%","18.79M","232.3M","-213.51M","1","11"
"VOO","","253.53M","6.46%","122.84M","38.76M","84.09M","34","97"
"MDB","","239.06M","495.14%","82.09M","103.16M","-21.07M","98","205"
"SQQQ","","236.12M","-18.33%","59.47M","91.87M","-32.4M","78","405"
"IVV","","221.09M","-25.81%","147.4M","44.62M","102.78M","27","75"
"DHR","","212.84M","57.47%","161.36M","44.11M","117.25M","2","7"
"TNET","","207.47M","153.01%","0","205.9M","-205.9M","0","4"
"AAPL","","206.64M","-54.94%","136.36M","70.29M","66.07M","2","0"
"SHV","","197.97M","221.33%","18.53M","114.98M","-96.45M","0","200"
"ORCL","","190.95M","2.45%","143.28M","32.57M","110.71M","0","13"
"AMZN","","176.49M","-36.5%","140.75M","0","140.75M","4","0"
"DIS","","172.63M","5.62%","13.11M","159.53M","-146.42M","8","7"
"CHTR","","170.39M","241.22%","150.17M","4.85M","145.33M","4","37"
"CVX","","162.77M","-3.34%","10.21M","152.56M","-142.34M","0","3"
"EFA","","161.23M","128.19%","76.7M","73.75M","2.94M","8","48"
"SMCI","","159.21M","-8.27%","70.82M","49.7M","21.12M","47","286"
"MSFT","","155.88M","-70.26%","155.88M","0","155.88M","2","1"
"TJX","","142.92M","6.51%","80.72M","55.61M","25.11M","2","7"
"VYM","","140.41M","55.22%","134.15M","2.4M","131.75M","3","18"
"BBJP","","137.78M","448.34%","54.57M","82.59M","-28.03M","0","5"
"PYPL","","135.85M","53.17%","123.42M","8.58M","114.84M","8","10"
"KVUE","","133.8M","-29.61%","31.22M","83.38M","-52.16M","11","54"
"DG","","132.3M","-5.24%","27.92M","73.88M","-45.96M","42","94"
"MU","","131.54M","96.31%","115.15M","11.5M","103.65M","7","5"
"ADP","","129.33M","268.93%","9.25M","117.63M","-108.39M","5","6"
"VTI","","124.06M","-2.08%","42.72M","35.31M","7.41M","28","90"
"SCHW","","118.96M","177.78%","15.6M","97.58M","-81.98M","6","11"
"BABA","","114.51M","-11.27%","91.02M","20.93M","70.09M","4","4"
"C","","113.62M","-47.99%","2.16M","55.05M","-52.89M","3","14"
"XP","","113.24M","1754.66%","3.5M","109.74M","-106.24M","4","6"
