"Symbol","Sentiment","TotalAmount","DailyAmount Change","AtAsk","AtBid","NetValue","DPTrades","BlockTrades"
"SPY","","10.31B","55.17%","3.52B","6.04B","-2.52B","253","440"
"QQQ","","3.06B","-2.25%","1.93B","925.38M","1.01B","144","235"
"IWM","","1.11B","-19.04%","194.23M","829.45M","-635.22M","62","83"
"AAPL","","716.25M","68.21%","208.61M","507.64M","-299.04M","3","3"
"IVV","","674.55M","22.17%","107.43M","92.61M","14.83M","32","133"
"META","","670.66M","171.25%","670.66M","0","670.66M","8","2"
"FIS","","646.48M","650.43%","2.89M","2.5M","385.45K","6","6"
"AMZN","","559.35M","4.64%","238.19M","321.15M","-82.96M","5","3"
"NVDA","","549.95M","-17.59%","397.73M","152.23M","245.5M","8","2"
"XOM","","547.65M","21.6%","9.79M","537.85M","-528.06M","6","6"
"BRK/B","","512.21M","94.83%","451.92M","38.45M","413.47M","18","97"
"ARM","","491.84M","2460.8%","30.45M","435.25M","-404.8M","16","110"
"AVGO","","451.95M","147.6%","5.86M","427.77M","-421.91M","6","5"
"VOO","","433.6M","38.98%","210.05M","144.28M","65.78M","40","149"
"PDD","","428.13M","331.96%","381.98M","46.15M","335.83M","6","7"
"TQQQ","","405.39M","-4.64%","132.39M","113.9M","18.49M","144","540"
"INTC","","380.44M","598.55%","331.46M","42.61M","288.85M","4","7"
"MSFT","","359.07M","10.7%","327.37M","31.7M","295.68M","3","1"
"APH","","326.06M","753.64%","307.46M","17.5M","289.96M","4","6"
"USFR","","318.56M","135.08%","259.02M","41.07M","217.95M","0","66"
"CVX","","307.11M","-16.79%","34.05M","263.64M","-229.59M","7","5"
"CAT","","292.54M","455.74%","279.32M","13.22M","266.09M","0","5"
"LULU","","279.5M","217.9%","95.18M","122.98M","-27.8M","34","206"
"ADBE","","277.37M","257.46%","190.8M","79.01M","111.79M","7","6"
"DIS","","272.29M","5.5%","12.62M","131.22M","-118.6M","3","5"
"WDC","","235.43M","1723.68%","229.88M","2.59M","227.29M","6","15"
"BIL","","231.4M","-51.04%","10.9M","129.18M","-118.28M","0","201"
"WFC","","227.59M","376.49%","169.44M","42.34M","127.1M","5","16"
"NFLX","","222.63M","96.14%","130.9M","76.35M","54.55M","9","6"
"AMD","","218.74M","38.22%","72.26M","129.93M","-57.67M","12","8"
"T","","214.66M","65.86%","207.39M","7.28M","200.11M","4","5"
"INTU","","206.91M","429.92%","0","191.3M","-191.3M","1","7"
"NVS","","202.18M","45.7%","5.3M","196.88M","-191.58M","4","2"
"PG","","202.03M","149.94%","0","202.03M","-202.03M","0","3"
"CARR","","195.54M","1843.56%","138.44M","5.99M","132.45M","13","61"
"IWD","","190.35M","-12.69%","96.48M","56.57M","39.91M","19","107"
"GOVT","","185.38M","-54.26%","34.17M","132.13M","-97.96M","0","56"
"MCD","","182.43M","55.98%","82.41M","100.02M","-17.6M","0","9"
"DG","","179.18M","116.64%","124.96M","32.05M","92.91M","14","53"
"IMGN","","178.9M","35.0%","7.34M","158.55M","-151.21M","4","43"
"ITW","","176.62M","3570.02%","0","167.2M","-167.2M","0","11"
"GOOGL","","172.27M","7.87%","108.77M","63.49M","45.28M","1","2"
"CI","","170.99M","47.58%","147.27M","3.69M","143.58M","1","20"
"EMB","","165.6M","21.56%","62.0M","62.52M","-515.69K","9","70"
"PNR","","163.59M","922.19%","160.15M","0","160.15M","0","10"
"IBM","","162.54M","296.26%","122.22M","40.32M","81.9M","1","4"
"BABA","","159.97M","-11.55%","84.9M","75.06M","9.84M","3","5"
"TWLO","","158.57M","2162.87%","3.07M","151.1M","-148.04M","4","32"
"CMCSA","","157.37M","103.64%","26.95M","109.67M","-82.73M","1","9"
"MS","","155.55M","571.85%","112.41M","9.38M","103.03M","3","8"
"MBLY","","155.47M","2622.47%","11.17M","143.88M","-132.71M","4","8"
"ZS","","150.89M","421.99%","130.17M","8.94M","121.23M","10","44"
"MRK","","149.33M","-24.92%","144.57M","4.76M","139.82M","2","7"
"UBER","","145.31M","-34.46%","97.37M","42.21M","55.17M","12","15"
"MUB","","144.66M","-3.21%","71.66M","48.3M","23.36M","9","99"
"XYL","","141.14M","710.77%","140.17M","0","140.17M","0","12"
"TSLA","","138.98M","-41.71%","87.73M","26.85M","60.88M","4","4"
"VTI","","138.31M","-20.48%","48.96M","24.75M","24.21M","29","148"
"NXPI","","136.36M","358.55%","120.04M","15.71M","104.33M","3","9"
"AXP","","135.82M","-3.26%","127.18M","1.52M","125.66M","0","6"
"VZ","","135.27M","175.35%","106.16M","24.9M","81.26M","4","4"
"HES","","133.5M","-20.08%","74.2M","45.31M","28.89M","13","29"
"OTIS","","133.15M","2128.08%","129.82M","967.61K","128.86M","0","10"
"AGG","","131.13M","-47.86%","33.61M","36.52M","-2.91M","4","160"
"AMGN","","130.18M","94.88%","124.45M","5.73M","118.73M","1","3"
"AMAT","","129.63M","69.76%","19.22M","107.25M","-88.02M","5","10"
"COIN","","126.93M","-8.26%","58.33M","52.3M","6.03M","37","158"
