"Symbol","Sentiment","TotalAmount","DailyAmount Change","AtAsk","AtBid","NetValue","DPTrades","BlockTrades"
"TSLA","","7.45B","53.6%","2.31B","2.54B","-233.41M","3534","8625"
"SPY","","5.33B","24.91%","1.82B","3.18B","-1.36B","176","373"
"NVDA","","3.51B","-22.0%","1.68B","923.37M","759.72M","481","3178"
"QQQ","","3.2B","80.2%","1.29B","1.65B","-356.06M","124","250"
"SHY","","1.18B","1642.13%","68.12M","1.04B","-974.41M","19","133"
"AMZN","","1.04B","-7.0%","337.56M","288.02M","49.54M","269","918"
"AAPL","","1.01B","-12.22%","426.8M","208.02M","218.78M","252","1127"
"MSFT","","997.65M","-32.04%","300.59M","306.31M","-5.72M","263","959"
"HYG","","857.97M","7.12%","294.27M","462.94M","-168.67M","13","361"
"IWM","","834.12M","-27.13%","413.27M","362.96M","50.31M","39","91"
"META","","767.1M","36.54%","332.1M","273.53M","58.57M","122","592"
"XOM","","692.03M","49.47%","210.54M","442.47M","-231.94M","59","112"
"TLT","","654.66M","147.38%","97.31M","457.84M","-360.54M","42","285"
"JMBS","","654.27M","939.54%","44.49M","607.18M","-562.69M","5","19"
"DIS","","584.15M","212.47%","469.62M","52.08M","417.55M","90","192"
"AMD","","521.37M","-20.82%","144.54M","173.86M","-29.31M","213","697"
"VTV","","520.27M","320.82%","472.05M","11.63M","460.43M","15","99"
"TLH","","517.4M","920.99%","36.03M","147.66M","-111.63M","11","46"
"GLD","","513.14M","246.52%","255.01M","214.81M","40.2M","36","127"
"MBB","","498.53M","441.59%","57.76M","430.76M","-373.0M","7","46"
"EMB","","493.01M","418.55%","378.12M","67.97M","310.15M","17","85"
"LQD","","438.0M","13.65%","175.29M","234.13M","-58.84M","20","175"
"TQQQ","","433.34M","39.25%","90.08M","131.09M","-41.02M","75","648"
"CVX","","403.2M","54.04%","51.04M","310.5M","-259.46M","17","124"
"UNH","","379.94M","283.87%","31.54M","334.23M","-302.69M","1","54"
"PDD","","361.87M","111.92%","94.23M","214.46M","-120.24M","123","200"
"BIL","","357.31M","-12.71%","149.45M","92.29M","57.16M","0","234"
"GOOG","","305.1M","4.23%","138.67M","96.0M","42.67M","56","235"
"SRE","","301.7M","636.78%","2.63M","297.83M","-295.2M","0","13"
"VOO","","270.03M","-12.79%","109.24M","99.64M","9.6M","34","120"
"SPTS","","267.92M","1016.74%","29.01M","223.79M","-194.78M","0","46"
"EEM","","267.56M","77.73%","140.62M","41.33M","99.29M","8","100"
"VTEB","","266.24M","115.12%","50.41M","164.01M","-113.61M","12","111"
"PG","","263.48M","230.76%","44.15M","8.97M","35.18M","18","67"
"ZS","","255.37M","596.43%","126.68M","73.79M","52.89M","53","295"
