"Symbol","Sentiment","TotalAmount","DailyAmount Change","AtAsk","AtBid","NetValue","DPTrades","BlockTrades"
"SPY","Bullish","6.72B","-41.52%","3.41B","3.06B","353.54M","229","341"
"QQQ","Bullish","4.77B","-27.11%","2.91B","1.51B","1.4B","265","386"
"IWM","Bearish","1.24B","-30.58%","423.44M","613.84M","-190.4M","48","79"
"BRK/B","Bullish","708.76M","-5.86%","542.25M","153.22M","389.03M","9","84"
"IVV","Bullish","665.07M","-11.71%","571.2M","57.42M","513.78M","25","103"
"BBEU","Bearish","604.99M","1062.17%","0","604.72M","-604.72M","2","5"
"ORCL","Bullish","577.45M","5.74%","507.4M","49.0M","458.41M","5","20"
"NVDA","Bullish","517.19M","-37.51%","490.45M","13.68M","476.77M","6","3"
"TQQQ","Bearish","460.86M","-17.89%","120.55M","132.47M","-11.92M","137","723"
"META","Bearish","435.41M","-15.59%","173.58M","250.08M","-76.5M","6","4"
"MSFT","Bullish","417.09M","-34.36%","363.07M","54.02M","309.04M","3","1"
"XOM","Bearish","384.86M","-61.64%","116.16M","268.7M","-152.53M","5","5"
"EMB","Bullish","371.61M","507.45%","331.81M","26.59M","305.23M","14","34"
"AAPL","Bearish","362.9M","-54.8%","36.82M","326.08M","-289.26M","2","1"
"CWB","Bullish","358.06M","3488.34%","249.71M","1.86M","247.85M","7","32"
"UPS","Bullish","288.13M","-34.53%","249.42M","2.66M","246.76M","1","16"
"CVX","Bullish","277.88M","-65.91%","277.88M","0","277.88M","0","4"
"LOW","Bearish","269.62M","-42.86%","0","266.8M","-266.8M","0","8"
"EWZ","Bearish","264.12M","150.61%","108.02M","131.78M","-23.75M","5","45"
"PYPL","Bullish","259.07M","106.69%","206.13M","29.42M","176.71M","8","19"
"SCHW","Bullish","246.6M","307.39%","186.02M","11.66M","174.36M","10","10"
"DG","Bullish","226.72M","-9.41%","139.48M","57.88M","81.6M","4","62"
"SQQQ","Bearish","212.94M","-28.78%","62.08M","64.55M","-2.46M","35","407"
"LLY","Bullish","210.88M","-58.84%","204.09M","0","204.09M","0","6"
"RSP","Bullish","210.74M","-32.43%","155.47M","23.44M","132.03M","27","92"
