"Symbol","Sentiment","TotalAmount","DailyAmount Change","AtAsk","AtBid","NetValue","DPTrades","BlockTrades"
"SPY","","5.96B","1.81%","3.84B","1.48B","2.36B","311","455"
"QQQ","","4.06B","37.27%","809.49M","2.89B","-2.09B","135","296"
"NVDA","","714.06M","-17.06%","384.54M","329.52M","55.02M","13","4"
"IVV","","684.53M","58.18%","530.64M","22.4M","508.24M","23","94"
"IWM","","600.94M","-20.19%","179.74M","385.21M","-205.46M","20","40"
"XOM","","441.81M","27.14%","427.89M","13.92M","413.97M","3","5"
"BRK/B","","430.71M","18.29%","99.78M","282.45M","-182.68M","13","88"
"BIL","","395.23M","28.24%","165.68M","47.19M","118.49M","0","395"
"LLY","","336.49M","-5.99%","299.93M","29.61M","270.32M","3","7"
"TSLA","","327.16M","100.26%","144.2M","182.96M","-38.76M","12","7"
"MUB","","317.03M","6.51%","246.2M","36.64M","209.55M","4","93"
"CVX","","294.69M","30.66%","66.41M","228.28M","-161.87M","0","9"
"TQQQ","","289.83M","-5.72%","68.81M","75.07M","-6.26M","123","457"
"MSFT","","286.5M","-31.77%","238.07M","0","238.07M","3","0"
"VOO","","262.76M","-29.67%","93.12M","121.4M","-28.28M","24","98"
"HZNP","","253.83M","113.72%","86.43M","80.52M","5.91M","18","100"
"DIS","","252.68M","56.35%","157.02M","10.57M","146.46M","8","9"
"SQQQ","","219.36M","-8.08%","47.93M","52.42M","-4.49M","35","370"
"ORCL","","216.08M","-20.86%","16.94M","179.95M","-163.01M","4","9"
"KO","","206.51M","107.54%","167.51M","34.18M","133.32M","0","10"
"META","","197.05M","-48.94%","92.33M","104.71M","-12.38M","4","2"
"EA","","194.91M","653.82%","6.39M","186.27M","-179.87M","12","14"
"ATVI","","190.54M","76.69%","185.18M","3.06M","182.12M","4","7"
"MGK","","180.84M","2234.0%","1.7M","150.35M","-148.64M","3","11"
"PYPL","","180.05M","65.34%","6.53M","140.44M","-133.91M","6","13"
"KVUE","","177.61M","-17.03%","70.11M","47.32M","22.79M","23","131"
"TWNK","","175.34M","2724.6%","49.05M","106.71M","-57.65M","44","54"
"DELL","","175.08M","160.89%","79.96M","86.09M","-6.14M","28","38"
"PG","","174.05M","6.42%","174.05M","0","174.05M","0","5"
"UPS","","167.76M","18.48%","140.57M","6.02M","134.55M","0","21"
"AMD","","165.2M","-16.17%","138.56M","15.88M","122.68M","14","8"
"VDE","","163.8M","2377.64%","159.8M","323.6K","159.48M","6","11"
"GILD","","160.94M","341.41%","9.57M","151.37M","-141.8M","10","4"
"MRK","","159.65M","-38.56%","9.92M","149.73M","-139.8M","3","3"
"AVDV","","148.27M","6270.45%","0","148.02M","-148.02M","2","3"
"AMZN","","145.85M","-64.17%","43.86M","82.76M","-38.9M","3","4"
"VUG","","144.78M","286.45%","78.35M","57.27M","21.08M","8","50"
"BABA","","143.96M","74.75%","35.24M","82.11M","-46.87M","4","7"
"BMY","","141.56M","138.92%","0","138.28M","-138.28M","2","6"
"OEF","","139.67M","3821.32%","109.27M","29.62M","79.66M","0","8"
"PFE","","124.87M","-23.84%","82.2M","38.21M","43.99M","0","8"
"NU","","116.8M","647.84%","51.67M","35.2M","16.46M","13","51"
"LMT","","115.48M","18.13%","2.92M","112.55M","-109.63M","2","9"
"FMX","","115.05M","4030.26%","114.64M","0","114.64M","1","2"
"DHR","","113.5M","-21.04%","18.9M","91.55M","-72.65M","0","9"
"ABT","","111.33M","-1.98%","18.01M","93.32M","-75.31M","1","9"
"AXP","","109.6M","32.24%","2.81M","100.89M","-98.07M","3","12"
"WFC","","109.34M","-17.86%","0","109.34M","-109.34M","3","6"
"TJX","","107.6M","-27.13%","3.0M","102.22M","-99.22M","1","9"
"MS","","105.83M","0.88%","0","105.83M","-105.83M","10","1"
"CMG","","105.23M","42.39%","105.23M","0","105.23M","0","3"
"PDD","","104.3M","89.26%","6.95M","95.4M","-88.45M","5","7"
"AAPL","","104.23M","-41.86%","104.23M","0","104.23M","2","1"
"IWB","","99.59M","162.68%","10.46M","84.75M","-74.29M","1","13"
"T","","99.13M","56.97%","14.1M","79.96M","-65.86M","0","9"
"RTX","","98.21M","73.21%","18.6M","62.36M","-43.77M","11","12"
"SHV","","96.6M","-17.81%","9.05M","57.47M","-48.43M","0","107"
"VTI","","96.5M","-28.92%","27.43M","15.73M","11.71M","17","106"
"SMCI","","95.82M","-9.22%","35.34M","45.43M","-10.09M","35","149"
"VTV","","92.43M","16.47%","72.06M","3.1M","68.96M","6","60"
"UNH","","90.44M","-10.73%","90.44M","0","90.44M","0","5"
"SYK","","89.24M","4.06%","87.11M","0","87.11M","0","6"
"BAC","","89.01M","-37.61%","3.99M","81.29M","-77.3M","1","3"
"MPC","","87.87M","85.4%","1.02M","68.77M","-67.75M","3","5"
"BK","","85.37M","88.19%","18.39M","64.22M","-45.83M","3","11"
"DG","","84.11M","-31.53%","15.15M","55.12M","-39.96M","7","49"
"NEE","","84.04M","37.12%","0","82.05M","-82.05M","3","8"
"LOW","","83.72M","-32.73%","81.37M","0","81.37M","1","7"
"NKE","","81.97M","-34.41%","26.57M","53.73M","-27.16M","4","5"
"SHW","","81.96M","90.74%","80.28M","0","80.28M","0","4"
"JPST","","81.64M","32.56%","13.69M","34.21M","-20.52M","1","85"
"INTC","","79.99M","-21.34%","7.52M","72.47M","-64.95M","6","3"
"RSP","","78.91M","-39.58%","58.85M","10.82M","48.03M","6","47"
"EL","","78.07M","383.89%","56.47M","8.21M","48.27M","1","23"
"FUTU","","77.69M","237.96%","43.39M","34.3M","9.09M","1","1"
"EMR","","76.77M","45.97%","70.46M","3.18M","67.28M","4","15"
"VMW","","76.7M","-27.11%","33.13M","36.61M","-3.48M","8","7"
"PULS","","76.6M","581.47%","5.95M","61.93M","-55.97M","2","33"
"MELI","","76.28M","-56.05%","18.18M","44.65M","-26.47M","0","14"
"TXN","","76.04M","-5.88%","67.61M","1.59M","66.02M","5","4"
"AGG","","75.89M","-46.15%","23.55M","8.7M","14.85M","1","116"
"D","","75.1M","-8.35%","10.95M","54.41M","-43.46M","5","26"
"LIN","","74.89M","-26.06%","70.53M","0","70.53M","0","6"
"BND","","73.35M","-46.91%","40.61M","3.09M","37.52M","1","67"
"CSX","","70.75M","-36.47%","32.06M","12.75M","19.31M","6","12"
"MDB","","69.94M","-13.6%","37.3M","11.13M","26.17M","3","27"
"C","","69.88M","-51.7%","2.81M","67.07M","-64.26M","7","7"
"KKR","","69.71M","52.71%","8.79M","35.48M","-26.7M","3","13"
"DTE","","69.56M","104.51%","64.36M","0","64.36M","0","12"
"GOOGL","","69.02M","-45.9%","0","69.02M","-69.02M","0","3"
"QCOM","","68.36M","-38.81%","40.66M","16.77M","23.89M","5","9"
"CMCSA","","68.35M","22.67%","25.64M","34.94M","-9.29M","3","8"
"EFA","","66.68M","-60.4%","32.3M","25.5M","6.8M","10","50"
"PLD","","66.42M","-34.0%","66.42M","0","66.42M","0","4"
"HCA","","65.1M","424.9%","65.1M","0","65.1M","0","7"
"MCD","","64.73M","-43.94%","64.73M","0","64.73M","1","5"
"TCOM","","64.47M","91.88%","1.73M","61.96M","-60.23M","7","4"
"SJM","","64.24M","542.16%","23.71M","11.89M","11.82M","15","70"
"GOVT","","63.55M","42.97%","53.63M","4.5M","49.13M","0","23"
"VCIT","","63.18M","10.74%","30.74M","22.9M","7.84M","0","27"
"CNC","","63.12M","30.83%","31.29M","16.69M","14.61M","6","31"
"UBER","","62.58M","-18.75%","15.65M","33.33M","-17.68M","7","14"
"TOTL","","62.37M","1318.32%","55.49M","1.63M","53.86M","3","20"
"EWZ","","61.89M","-31.9%","23.27M","35.99M","-12.72M","6","52"
"AON","","61.61M","31.38%","37.32M","22.6M","14.72M","1","7"
"HLT","","61.59M","-18.79%","2.8M","55.45M","-52.65M","0","12"
"ROK","","61.27M","45.55%","0","42.69M","-42.69M","0","12"
"VTEB","","61.06M","-27.09%","16.91M","13.45M","3.46M","0","81"
"FCX","","60.78M","15.07%","56.84M","3.11M","53.73M","1","7"
"IXUS","","60.28M","114.99%","2.16M","56.23M","-54.06M","0","15"
"SO","","60.13M","-12.47%","59.18M","945.2K","58.24M","1","8"
"EW","","60.08M","67.38%","30.7M","12.65M","18.05M","5","19"
"RETA","","59.94M","184.99%","5.41M","31.26M","-25.85M","3","40"
"WBD","","59.88M","17.1%","36.89M","17.92M","18.97M","14","29"
"TT","","59.73M","48.08%","47.79M","2.45M","45.34M","1","18"
"MMM","","59.45M","-4.23%","58.83M","0","58.83M","1","9"
"RMD","","58.64M","-0.31%","9.15M","36.26M","-27.11M","4","23"
"IQV","","58.56M","27.85%","38.14M","1.31M","36.83M","0","16"
"STX","","58.06M","-47.38%","30.53M","14.91M","15.62M","5","27"
"MDT","","57.68M","96.38%","54.89M","0","54.89M","1","10"
"BA","","57.23M","35.41%","29.14M","19.87M","9.27M","4","15"
"DUK","","56.13M","6.62%","52.54M","2.0M","50.54M","0","12"
"IEFA","","55.93M","-17.51%","12.84M","16.98M","-4.14M","2","59"
"GNL","","55.84M","820.03%","55.56M","279.5K","55.28M","0","14"
"SQ","","55.42M","-33.04%","41.63M","8.31M","33.32M","21","24"
"LYB","","55.22M","-12.34%","52.89M","0","52.89M","0","14"
"SRLN","","54.92M","190.84%","2.68M","40.2M","-37.52M","4","13"
"DXJ","","54.22M","422.86%","610.62K","52.41M","-51.8M","1","14"
"SOXL","","53.99M","32.31%","21.78M","19.35M","2.43M","21","80"
"CHTR","","53.88M","-6.82%","15.69M","24.22M","-8.53M","4","51"
"HPQ","","53.11M","-11.14%","36.73M","6.47M","30.26M","0","12"
"ROKU","","52.57M","-47.11%","19.39M","26.39M","-7.01M","30","83"
"LNW","","52.22M","287.36%","280.8K","51.93M","-51.65M","1","3"
"CLVT","","51.41M","1295.16%","22.0M","0","22.0M","2","11"
"FI","","51.39M","-28.69%","0","44.54M","-44.54M","0","7"
"XEL","","50.9M","138.12%","47.55M","0","47.55M","1","13"
"SGEN","","50.51M","20.45%","3.19M","10.51M","-7.31M","4","47"
"LVHD","","50.47M","9264.01%","0","50.19M","-50.19M","1","11"
"MMC","","49.81M","-29.98%","0","49.81M","-49.81M","0","6"
"QUAL","","49.18M","194.38%","18.3M","23.91M","-5.6M","2","33"
"ZTS","","49.15M","-20.93%","2.62M","0","2.62M","0","8"
"HUM","","48.89M","-58.31%","34.77M","10.13M","24.63M","1","11"
"PANW","","48.72M","23.95%","37.5M","8.44M","29.05M","1","16"
"INTU","","48.59M","-44.87%","32.64M","15.95M","16.69M","1","7"
"GEHC","","48.09M","222.17%","3.78M","42.2M","-38.42M","1","20"
"STT","","47.97M","31.93%","3.73M","36.22M","-32.49M","5","30"
"EMB","","47.94M","-40.67%","14.15M","28.72M","-14.57M","6","18"
"SPYG","","47.34M","-51.18%","41.38M","3.74M","37.64M","2","22"
"KHC","","46.96M","234.25%","31.88M","6.05M","25.82M","8","16"
"CBRE","","46.9M","46.87%","265.15K","41.85M","-41.59M","2","21"
"MO","","46.42M","-50.67%","2.9M","43.52M","-40.62M","1","6"
"ISRG","","46.15M","26.45%","41.36M","4.79M","36.56M","1","5"
"GDX","","46.06M","-36.72%","35.9M","7.26M","28.64M","14","27"
"KRE","","45.96M","36.41%","23.01M","20.42M","2.59M","14","28"
"KMB","","45.93M","-13.18%","41.38M","0","41.38M","1","14"
"BKLN","","45.9M","42.96%","32.51M","11.8M","20.71M","2","13"
"DRI","","45.42M","19.51%","373.94K","1.81M","-1.44M","2","14"
"EFX","","45.17M","2197.0%","4.3M","10.6M","-6.3M","1","17"
