"Symbol","Sentiment","TotalAmount","DailyAmount Change","AtAsk","AtBid","NetValue","DPTrades","BlockTrades"
"SPY","","6.71B","-4.93%","3.17B","2.74B","428.41M","177","419"
"QQQ","","3.54B","29.7%","1.67B","1.62B","52.77M","189","291"
"IVV","","1.46B","314.31%","353.17M","1.06B","-707.14M","28","100"
"NVDA","","1.33B","140.48%","430.63M","895.83M","-465.2M","19","1"
"AMZN","","1.28B","265.6%","1.0B","275.88M","726.38M","13","2"
"IWM","","1.11B","-36.55%","179.88M","823.91M","-644.04M","57","103"
"AAPL","","879.55M","84.28%","666.04M","213.52M","452.52M","10","2"
"VCIT","","802.25M","35.35%","59.44M","705.62M","-646.19M","5","69"
"MSFT","","773.54M","78.52%","773.54M","0","773.54M","14","0"
"TQQQ","","572.72M","59.55%","330.64M","96.99M","233.65M","112","583"
"GOVT","","552.81M","99.44%","6.84M","439.63M","-432.79M","1","250"
"PANW","","549.2M","376.34%","122.36M","421.77M","-299.41M","8","11"
"XOM","","503.23M","23.56%","266.38M","236.84M","29.54M","8","9"
"VTEB","","428.87M","513.25%","371.12M","43.53M","327.58M","5","54"
"AVGO","","405.05M","193.85%","388.33M","3.96M","384.37M","7","9"
"BIL","","363.3M","-41.11%","67.34M","210.85M","-143.51M","0","180"
"BND","","345.17M","41.09%","66.47M","228.42M","-161.94M","1","110"
"AMD","","329.43M","146.74%","177.64M","82.8M","94.84M","38","19"
"BRK/B","","309.47M","10.65%","272.83M","22.02M","250.81M","15","78"
"GOOGL","","306.28M","80.81%","231.54M","74.74M","156.8M","6","1"
"CERE","","302.49M","878.75%","158.44M","74.65M","83.79M","29","121"
"CVX","","262.85M","-30.22%","8.81M","243.1M","-234.29M","6","5"
"TMO","","257.45M","233.96%","188.06M","56.74M","131.33M","0","12"
"UBER","","253.74M","55.62%","230.79M","9.75M","221.04M","12","11"
"MRK","","252.54M","80.47%","124.35M","125.03M","-674.89K","3","12"
"VNQ","","232.68M","284.42%","219.29M","3.53M","215.76M","3","33"
"MA","","225.82M","360.63%","211.38M","10.32M","201.06M","0","11"
"RGEN","","225.69M","4286.45%","56.44M","138.94M","-82.5M","3","48"
"DG","","223.3M","585.06%","72.12M","105.26M","-33.13M","13","54"
"NEM","","222.57M","185.95%","58.5M","162.68M","-104.18M","7","20"
"CME","","221.95M","1014.02%","1.85M","211.34M","-209.49M","0","18"
"CI","","221.81M","211.94%","204.07M","1.81M","202.26M","1","14"
"GOOG","","207.92M","114.11%","100.71M","107.21M","-6.5M","5","6"
"SNOW","","207.09M","136.63%","58.38M","143.86M","-85.48M","4","28"
"KVUE","","203.18M","35.3%","56.81M","96.28M","-39.47M","27","117"
"RSP","","202.58M","7.23%","49.37M","124.57M","-75.21M","10","106"
"DIS","","201.23M","-25.61%","0","163.06M","-163.06M","4","13"
"BLK","","200.93M","419.45%","49.13M","149.04M","-99.91M","1","10"
"PGR","","198.13M","1034.08%","156.55M","39.62M","116.93M","1","13"
"LULU","","194.53M","281.0%","122.09M","59.43M","62.66M","12","41"
"FIS","","189.62M","144.3%","26.07M","161.63M","-135.56M","3","18"
"MUB","","189.2M","37.59%","109.1M","45.12M","63.99M","9","89"
"VGIT","","189.19M","84.69%","11.22M","162.56M","-151.34M","2","48"
"BABA","","187.86M","12.59%","39.98M","147.88M","-107.9M","2","5"
"VOO","","185.84M","-47.75%","39.12M","70.42M","-31.3M","39","154"
"META","","180.34M","-31.03%","105.91M","74.43M","31.47M","6","3"
"CRM","","179.43M","54.25%","63.17M","116.27M","-53.1M","2","5"
"TSLA","","177.43M","-32.54%","36.39M","141.04M","-104.64M","3","7"
"CNQ","","175.32M","124.05%","3.2M","151.37M","-148.17M","0","5"
"SQQQ","","170.03M","11.82%","47.8M","57.59M","-9.79M","9","280"
"VTI","","168.14M","-8.08%","49.9M","23.65M","26.25M","20","153"
"AGG","","168.1M","-34.38%","71.07M","28.48M","42.59M","1","176"
"IMGN","","167.53M","15.99%","84.76M","56.07M","28.69M","6","55"
"GS","","165.28M","-5.38%","159.23M","2.64M","156.59M","4","4"
"ORLY","","164.41M","656.23%","164.41M","0","164.41M","0","7"
"PXD","","163.9M","59.14%","16.12M","137.8M","-121.68M","13","21"
"MDB","","162.95M","19.19%","69.05M","58.92M","10.13M","6","166"
"OMFL","","162.17M","1504.4%","137.02M","24.6M","112.42M","4","7"
"IWD","","160.9M","-28.92%","73.11M","40.0M","33.11M","18","116"
"AMAT","","152.64M","163.69%","45.84M","99.13M","-53.28M","2","17"
"CCI","","152.19M","-9.43%","16.93M","114.72M","-97.79M","9","34"
"VCSH","","151.69M","14.15%","23.59M","30.48M","-6.89M","0","91"
"AXP","","150.41M","10.03%","122.04M","18.82M","103.22M","1","18"
"GILD","","149.19M","238.71%","105.74M","33.9M","71.84M","5","14"
"MRTX","","149.14M","943.78%","5.65M","143.49M","-137.84M","3","10"
"BSV","","146.68M","27.31%","21.6M","104.9M","-83.31M","1","70"
"SOXL","","145.96M","94.69%","92.23M","33.99M","58.25M","27","131"
"DELL","","144.05M","95.09%","110.07M","25.18M","84.89M","4","20"
"SYK","","143.15M","965.12%","73.28M","65.42M","7.86M","1","10"
"CSCO","","138.06M","155.15%","57.86M","12.89M","44.97M","4","11"
"MBB","","137.16M","177.08%","119.1M","7.97M","111.13M","2","42"
"CTAS","","133.91M","2288.97%","32.92M","94.43M","-61.52M","3","10"
"PRF","","130.51M","9457.11%","328.84K","129.91M","-129.58M","1","4"
"ADBE","","129.87M","70.23%","129.87M","0","129.87M","1","12"
"UPS","","125.16M","39.03%","4.93M","117.9M","-112.97M","1","11"
"NEE","","124.91M","118.73%","44.21M","58.05M","-13.84M","7","23"
"VIG","","124.14M","4.51%","67.59M","28.24M","39.35M","9","58"
"GUNR","","123.24M","3049.28%","79.19M","43.69M","35.5M","1","9"
"USFR","","121.27M","-6.74%","13.71M","68.0M","-54.28M","0","92"
"SPLK","","119.2M","174.19%","63.99M","44.67M","19.32M","11","40"
"MCD","","118.88M","-20.7%","104.5M","0","104.5M","0","8"
"MCHP","","116.46M","319.54%","105.92M","2.98M","102.94M","3","19"
"NFLX","","115.78M","-3.32%","36.29M","39.33M","-3.04M","4","17"
"COIN","","114.34M","-36.6%","52.19M","48.09M","4.1M","50","193"
"COST","","112.47M","-7.37%","75.81M","18.16M","57.65M","3","13"
"UNH","","112.43M","62.94%","98.24M","0","98.24M","0","9"
"REGN","","108.52M","319.9%","55.05M","44.11M","10.94M","2","18"
"IVOL","","106.33M","1275.79%","93.32M","12.6M","80.72M","3","4"
"MMC","","105.47M","-2.02%","86.73M","9.77M","76.96M","0","23"
"JPM","","102.58M","-14.69%","19.71M","82.87M","-63.17M","2","6"
"PEP","","101.65M","78.69%","101.65M","0","101.65M","1","11"
"PFE","","101.42M","34.14%","35.71M","32.3M","3.41M","1","9"
"VTV","","98.29M","-10.31%","39.47M","30.15M","9.32M","13","81"
