"Symbol","Sentiment","TotalAmount","DailyAmount Change","AtAsk","AtBid","NetValue","DPTrades","BlockTrades"
"SPY","","7.87B","23.02%","2.81B","4.65B","-1.84B","265","494"
"QQQ","","5.05B","69.61%","1.06B","3.71B","-2.65B","202","343"
"IWM","","1.47B","34.48%","409.23M","877.72M","-468.49M","60","98"
"TSLA","","726.58M","282.12%","317.87M","387.51M","-69.64M","17","12"
"XOM","","683.86M","22.88%","29.34M","654.52M","-625.18M","7","12"
"NVDA","","615.49M","119.32%","513.68M","85.13M","428.55M","8","2"
"AMD","","596.93M","156.74%","335.74M","254.7M","81.04M","24","6"
"BIL","","494.51M","-66.25%","78.45M","208.53M","-130.07M","2","396"
"TQQQ","","405.3M","-13.68%","112.18M","133.63M","-21.46M","127","597"
"BRK/B","","399.22M","13.71%","375.96M","14.4M","361.55M","28","73"
"IQV","","385.25M","1691.8%","1.41M","383.35M","-381.94M","2","9"
"USFR","","381.43M","288.59%","9.32M","324.28M","-314.96M","0","294"
"ROKU","","351.22M","1523.68%","162.31M","130.95M","31.37M","191","620"
"VTEB","","349.18M","2.3%","144.1M","134.52M","9.59M","18","148"
"AAPL","","345.44M","14.86%","68.78M","276.66M","-207.88M","6","1"
"GOOG","","345.3M","96.55%","248.98M","96.32M","152.66M","2","3"
"RTX","","345.21M","29.48%","66.61M","247.56M","-180.95M","2","18"
"AMZN","","305.05M","-9.37%","39.91M","250.94M","-211.03M","5","8"
"TJX","","271.25M","301.3%","250.16M","21.09M","229.06M","2","14"
"VCIT","","268.81M","42.87%","70.36M","180.92M","-110.56M","6","54"
"VOO","","264.22M","-13.79%","133.83M","44.35M","89.49M","38","161"
"MUB","","264.01M","-41.56%","71.5M","84.04M","-12.53M","14","213"
"IVV","","259.09M","-44.67%","118.51M","83.75M","34.76M","45","144"
"IEFA","","255.2M","36.21%","56.22M","168.24M","-112.01M","8","112"
"SQQQ","","253.93M","-12.04%","76.85M","99.5M","-22.64M","42","368"
"CVX","","247.73M","-35.83%","41.92M","205.81M","-163.89M","1","10"
"CB","","226.71M","177.96%","122.16M","26.15M","96.02M","3","25"
"MS","","226.41M","66.89%","97.84M","119.79M","-21.95M","3","17"
"AGG","","225.5M","-14.65%","124.62M","35.97M","88.66M","10","176"
"ADBE","","217.36M","118.02%","19.78M","197.58M","-177.79M","1","9"
"C","","213.75M","-6.98%","26.75M","166.56M","-139.8M","7","18"
"MSFT","","209.88M","16.98%","183.78M","26.1M","157.68M","4","1"
"SBUX","","200.79M","332.61%","56.48M","134.57M","-78.09M","10","16"
"GOOGL","","195.62M","2.44%","195.62M","0","195.62M","2","2"
"PENN","","193.77M","1634.13%","99.94M","88.04M","11.89M","8","11"
"META","","189.15M","-58.01%","144.27M","44.88M","99.39M","9","0"
"SCHD","","182.97M","106.13%","118.87M","47.94M","70.93M","14","70"
"JPM","","176.96M","45.02%","53.75M","104.57M","-50.82M","3","9"
"IJR","","172.56M","101.81%","120.18M","18.15M","102.02M","39","95"
"VUG","","170.08M","-2.69%","125.17M","29.85M","95.32M","9","75"
"QQQM","","170.03M","-12.08%","21.09M","81.72M","-60.63M","7","44"
"SMCI","","163.52M","182.41%","71.61M","68.56M","3.05M","64","253"
"OMFL","","161.05M","5213.37%","156.86M","4.19M","152.67M","2","5"
"EMB","","159.45M","5.14%","74.46M","61.66M","12.8M","11","71"
"EFA","","158.5M","-1.94%","97.54M","27.77M","69.78M","14","101"
"DIS","","153.1M","23.55%","6.93M","139.14M","-132.21M","2","11"
"EFAV","","151.45M","978.48%","1.69M","145.18M","-143.49M","2","9"
"BND","","146.6M","-5.03%","43.42M","50.28M","-6.86M","6","114"
"CFLT","","145.14M","2048.48%","21.62M","34.43M","-12.81M","34","86"
"VTI","","143.77M","-32.24%","30.82M","17.1M","13.72M","27","158"
