"Symbol","Sentiment","TotalAmount","DailyAmount Change","AtAsk","AtBid","NetValue","DPTrades","BlockTrades"
"SPY","","4.84B","-27.05%","2.4B","2.1B","299.27M","209","388"
"QQQ","","2.35B","-38.67%","1.36B","791.01M","571.97M","160","217"
"IWM","","1.87B","4.1%","961.38M","846.32M","115.06M","71","127"
"META","","870.94M","279.97%","51.68M","620.58M","-568.9M","8","5"
"MSFT","","575.23M","-22.4%","205.25M","86.17M","119.08M","4","3"
"VGLT","","452.09M","1378.81%","434.36M","8.4M","425.96M","4","35"
"BIL","","425.64M","16.82%","23.46M","222.53M","-199.07M","2","261"
"XOM","","378.04M","-10.77%","209.91M","158.02M","51.89M","2","8"
"BSV","","376.81M","568.1%","18.11M","338.4M","-320.29M","1","93"
"TQQQ","","356.32M","-25.33%","84.24M","87.53M","-3.29M","93","710"
"PANW","","283.86M","161.85%","126.13M","128.54M","-2.4M","48","89"
"CVX","","279.58M","-18.58%","10.18M","240.06M","-229.88M","9","9"
"NVDA","","277.53M","-33.37%","31.96M","245.57M","-213.62M","3","4"
"MRK","","263.29M","231.23%","209.78M","45.47M","164.3M","4","5"
"AGG","","254.16M","31.05%","171.65M","26.9M","144.75M","9","153"
"BRK/B","","251.81M","-35.13%","15.94M","227.02M","-211.09M","10","90"
"PG","","243.83M","86.46%","225.07M","18.76M","206.3M","2","7"
"GOOGL","","221.12M","39.24%","54.47M","166.64M","-112.17M","2","2"
"TSLA","","219.25M","-11.96%","115.19M","104.05M","11.14M","11","4"
"MUB","","216.34M","-38.8%","86.3M","61.87M","24.42M","19","168"
"VGIT","","210.48M","373.31%","19.03M","176.77M","-157.74M","1","61"
"KWEB","","208.0M","189.65%","64.46M","126.82M","-62.36M","24","61"
"V","","204.93M","-57.78%","204.93M","0","204.93M","0","3"
"VTI","","202.74M","10.09%","45.98M","26.57M","19.42M","21","144"
"VOO","","197.31M","-33.49%","87.4M","43.45M","43.95M","23","126"
"SQQQ","","196.43M","-17.48%","62.11M","66.21M","-4.1M","20","339"
"VCIT","","191.43M","1.59%","94.18M","86.14M","8.04M","6","40"
"FOX","","191.05M","6497.51%","0","191.05M","-191.05M","0","8"
"FOXA","","189.13M","3429.24%","0","188.81M","-188.81M","1","9"
"WFC","","183.2M","150.36%","10.56M","172.64M","-162.08M","2","5"
"INTC","","182.39M","94.26%","116.55M","46.71M","69.84M","17","8"
"AXP","","177.55M","93.18%","44.78M","84.99M","-40.22M","3","25"
"SRE","","175.67M","362.41%","76.42M","7.55M","68.87M","0","9"
"MCHI","","170.47M","644.24%","155.6M","12.86M","142.74M","7","15"
"DIS","","166.5M","-21.15%","0","138.6M","-138.6M","1","9"
"IVV","","163.96M","-68.61%","73.57M","34.75M","38.82M","21","111"
"MMC","","161.61M","324.67%","115.31M","26.53M","88.78M","2","19"
"NVS","","161.58M","0%","87.46M","68.4M","19.07M","26","7"
"EWZ","","159.93M","29.09%","58.97M","67.9M","-8.93M","10","38"
"ABBV","","159.88M","82.91%","154.1M","5.78M","148.32M","1","4"
"TJX","","158.92M","311.46%","0","134.85M","-134.85M","5","3"
"SHV","","157.43M","-0.24%","36.98M","47.13M","-10.14M","0","96"
"HRL","","156.84M","2075.67%","951.53K","153.87M","-152.92M","3","6"
"EFA","","156.78M","69.44%","83.59M","51.22M","32.38M","13","59"
"MGA","","153.98M","264.52%","149.92M","2.53M","147.39M","1","8"
"AMD","","148.48M","-36.38%","6.29M","142.19M","-135.89M","15","2"
"BABA","","146.33M","120.58%","82.77M","63.57M","19.2M","1","2"
"JNJ","","142.39M","503.7%","17.15M","125.23M","-108.08M","5","3"
"LYV","","137.8M","271.43%","122.9M","1.59M","121.31M","0","24"
"IWD","","136.98M","6.68%","45.85M","61.43M","-15.57M","20","81"
"MSTR","","136.56M","175.5%","43.88M","47.31M","-3.44M","6","51"
"BND","","135.36M","1.96%","34.84M","43.56M","-8.72M","2","111"
"MRVL","","133.84M","371.7%","46.87M","69.14M","-22.27M","18","25"
"PLTR","","133.24M","-12.5%","85.1M","36.23M","48.87M","33","76"
"ETR","","133.21M","271.17%","3.6M","119.13M","-115.53M","4","18"
"ENB","","131.44M","14.31%","777.56K","130.66M","-129.89M","0","2"
"C","","131.41M","-13.87%","2.34M","129.07M","-126.72M","5","9"
"DHR","","131.34M","387.66%","10.11M","117.19M","-107.08M","1","7"
"XLC","","130.03M","160.21%","10.47M","115.48M","-105.01M","7","17"
"VTV","","125.76M","35.39%","53.61M","41.5M","12.11M","6","96"
"USIG","","125.52M","1147.12%","122.83M","1.48M","121.35M","1","9"
"GVI","","120.49M","1258.4%","119.61M","618.64K","118.99M","2","5"
"WYNN","","117.19M","183.84%","58.74M","56.86M","1.88M","7","22"
"NFLX","","112.73M","67.74%","93.43M","10.95M","82.48M","3","9"
"VTEB","","111.03M","-66.7%","45.55M","33.29M","12.26M","11","121"
"KO","","110.83M","93.18%","11.32M","85.98M","-74.66M","4","5"
"DXCM","","109.85M","97.48%","41.64M","16.49M","25.15M","9","42"
"IEI","","109.04M","-19.7%","29.41M","40.66M","-11.25M","7","108"
"UPS","","106.93M","-27.51%","23.73M","74.68M","-50.95M","0","11"
"IAU","","106.79M","627.47%","2.87M","99.9M","-97.03M","1","54"
"RSP","","104.97M","-56.48%","42.51M","27.84M","14.67M","16","102"
"TMO","","103.74M","124.58%","72.66M","14.76M","57.91M","0","15"
"ELV","","99.76M","263.78%","81.5M","16.83M","64.67M","3","19"
"AMT","","97.58M","138.33%","43.54M","49.0M","-5.46M","1","12"
"ABCM","","95.93M","172.8%","39.81M","38.75M","1.06M","5","33"
"SQ","","95.9M","-4.44%","38.36M","48.78M","-10.42M","21","43"
"AVGO","","95.82M","54.14%","67.48M","28.34M","39.14M","2","9"
"CSCO","","95.62M","31.06%","47.15M","42.25M","4.89M","12","5"
"EMB","","95.52M","2.33%","41.57M","41.57M","64.5","8","43"
"EWJ","","93.53M","156.9%","13.08M","78.01M","-64.93M","1","16"
"AEP","","93.47M","311.58%","52.23M","25.68M","26.55M","12","19"
"BSX","","91.93M","152.72%","23.46M","63.6M","-40.14M","5","13"
"GILD","","91.76M","156.48%","8.48M","81.13M","-72.64M","5","6"
"BXSL","","89.91M","335.37%","0","89.91M","-89.91M","4","0"
"NEE","","89.11M","45.56%","3.95M","69.94M","-65.99M","3","5"
"QCOM","","86.63M","-40.22%","38.76M","34.93M","3.83M","4","17"
"GOVT","","85.3M","99.47%","9.89M","47.84M","-37.95M","3","54"
"HES","","84.7M","14.92%","30.86M","50.31M","-19.45M","13","10"
"CNC","","84.67M","147.45%","38.39M","43.47M","-5.09M","1","12"
"SHYG","","81.8M","1441.93%","0","79.55M","-79.55M","1","6"
"LLY","","81.47M","-53.96%","40.54M","21.77M","18.78M","1","6"
"IJH","","80.9M","64.54%","29.07M","41.13M","-12.07M","16","54"
"VIG","","80.75M","-10.48%","29.21M","33.2M","-3.99M","7","53"
"USHY","","77.11M","31.32%","38.43M","36.51M","1.92M","1","13"
"DG","","77.03M","165.74%","53.46M","18.54M","34.92M","7","29"
"ORLY","","77.0M","191.72%","3.72M","67.01M","-63.29M","0","12"
"ARKK","","76.92M","-8.75%","26.55M","22.08M","4.46M","23","107"
"PINS","","76.9M","-5.95%","2.22M","72.82M","-70.59M","7","14"
"BMY","","76.7M","-18.97%","8.39M","65.39M","-57.01M","2","8"
"AMZN","","75.67M","-61.66%","46.78M","14.24M","32.54M","2","3"
"VUG","","74.59M","-7.93%","24.07M","20.49M","3.58M","5","62"
"D","","74.15M","139.95%","6.67M","51.56M","-44.88M","10","15"
"ADI","","74.14M","107.87%","15.09M","55.75M","-40.67M","2","8"
"DE","","72.1M","262.24%","64.42M","0","64.42M","1","8"
"BA","","71.88M","-17.94%","22.65M","42.5M","-19.85M","18","17"
"RCL","","69.36M","117.21%","54.28M","8.4M","45.87M","11","31"
"PSX","","69.11M","257.19%","61.84M","3.3M","58.54M","4","11"
"UBER","","67.8M","-27.29%","35.87M","13.77M","22.09M","7","4"
"TGT","","67.21M","3.57%","15.06M","28.98M","-13.93M","16","23"
"USFR","","67.19M","-19.35%","14.75M","23.4M","-8.65M","0","86"
"USO","","66.07M","89.33%","27.82M","25.98M","1.84M","22","72"
"CVS","","65.32M","118.58%","17.42M","40.99M","-23.57M","4","8"
"CMG","","65.17M","330.43%","34.84M","30.33M","4.52M","2","4"
"BAC","","64.97M","14.0%","45.19M","19.78M","25.41M","5","5"
"ET","","64.42M","657.2%","4.93M","57.28M","-52.35M","3","9"
"HUM","","63.96M","246.3%","49.94M","1.75M","48.19M","3","14"
"IHI","","63.79M","291.21%","11.66M","16.21M","-4.55M","4","9"
"DOW","","63.65M","301.03%","54.36M","1.93M","52.43M","7","10"
"SCHD","","63.4M","-1.93%","31.14M","16.23M","14.9M","5","58"
"T","","63.38M","-22.77%","62.03M","0","62.03M","2","6"
"DUK","","63.06M","-21.39%","47.09M","15.97M","31.11M","4","7"
"PODD","","63.04M","-8.24%","62.16M","877.45K","61.29M","1","6"
"COST","","62.63M","17.51%","43.21M","16.16M","27.05M","7","4"
"KVUE","","62.62M","57.06%","16.07M","28.99M","-12.91M","3","21"
"SO","","62.04M","-30.35%","873.88K","54.23M","-53.36M","0","11"
"MTCH","","62.02M","-16.55%","24.24M","21.42M","2.82M","7","16"
"TER","","61.75M","275.07%","54.26M","7.23M","47.02M","0","8"
"IEFA","","60.69M","-58.19%","17.28M","16.38M","894.22K","4","89"
"NEM","","60.53M","-80.66%","5.92M","39.64M","-33.72M","7","24"
"JBL","","60.53M","337.32%","4.7M","3.39M","1.3M","1","25"
"LYB","","60.0M","127.33%","497.19K","59.22M","-58.72M","1","10"
"VNQ","","59.58M","69.37%","51.33M","3.29M","48.03M","5","27"
"IWB","","59.5M","87.52%","30.46M","18.49M","11.98M","1","60"
"GDX","","59.17M","26.21%","41.35M","11.97M","29.38M","11","43"
"INTU","","59.13M","31.56%","47.48M","10.12M","37.36M","2","6"
"CMCSA","","58.21M","-24.37%","0","33.74M","-33.74M","4","4"
"OLK","","56.39M","51.07%","24.15M","26.65M","-2.49M","2","21"
"JPST","","56.26M","5.53%","18.15M","14.98M","3.16M","2","61"
"SWN","","56.24M","441.41%","17.31M","23.78M","-6.48M","7","37"
"CME","","55.91M","107.19%","12.29M","36.44M","-24.15M","1","13"
"SMCI","","55.65M","-55.18%","27.88M","18.5M","9.38M","11","97"
"NOBL","","55.54M","403.76%","42.14M","6.34M","35.8M","3","25"
"DELL","","55.42M","-16.62%","2.61M","46.14M","-43.53M","7","28"
"TXN","","55.4M","-22.44%","36.86M","12.24M","24.62M","4","8"
"SOXL","","54.93M","-33.33%","15.51M","26.54M","-11.03M","26","103"
"ALV","","54.83M","411.34%","0","54.58M","-54.58M","1","3"
"AMAT","","54.8M","-9.79%","34.29M","16.45M","17.84M","7","10"
"AON","","53.96M","1.29%","53.96M","0","53.96M","0","6"
"GEHC","","53.92M","138.66%","5.92M","29.33M","-23.41M","1","13"
"ENPH","","53.71M","130.83%","15.98M","15.1M","881.76K","15","49"
"CCL","","53.68M","20.45%","16.54M","31.68M","-15.14M","8","51"
"GS","","53.58M","-68.04%","20.15M","32.19M","-12.03M","1","3"
"AZN","","53.47M","-11.65%","20.41M","33.07M","-12.66M","5","6"
"ACN","","53.45M","140.14%","37.01M","16.44M","20.57M","3","7"
"DHI","","53.19M","106.45%","1.38M","49.26M","-47.88M","2","11"
"ROST","","52.26M","81.66%","23.14M","8.85M","14.29M","3","21"
"LOW","","52.13M","48.72%","17.72M","20.31M","-2.59M","1","13"
"WMT","","51.14M","51.08%","2.37M","39.48M","-37.11M","5","4"
"EOG","","50.92M","69.93%","3.0M","20.28M","-17.28M","3","26"
"AI","","50.77M","767.25%","32.81M","17.37M","15.44M","7","11"
"FIXD","","50.51M","301.27%","9.78M","29.13M","-19.35M","2","13"
"VO","","50.09M","51.88%","20.01M","23.68M","-3.67M","1","37"
"VEA","","50.01M","-37.79%","15.06M","11.33M","3.73M","6","94"
"XBI","","49.28M","-9.14%","15.92M","19.41M","-3.49M","22","66"
"ZBH","","48.65M","-8.66%","18.94M","11.99M","6.95M","3","21"
"ORCL","","47.85M","-32.88%","32.34M","15.51M","16.83M","3","6"
"MU","","47.69M","9.74%","26.62M","17.58M","9.04M","1","7"
"MDB","","47.49M","-7.72%","15.9M","26.83M","-10.93M","4","33"
"AAPL","","47.41M","-93.64%","0","47.41M","-47.41M","0","1"
"PFE","","47.27M","-59.49%","35.58M","4.57M","31.01M","2","5"
"ABT","","47.22M","39.02%","14.51M","30.27M","-15.76M","3","6"
"AER","","47.16M","19.57%","37.41M","6.7M","30.71M","9","9"
"ADBE","","46.64M","-67.2%","15.34M","18.68M","-3.34M","0","9"
"MBB","","46.62M","21.36%","21.78M","9.43M","12.34M","8","46"
"VRTX","","46.16M","-4.5%","8.67M","18.07M","-9.4M","1","17"
"WDC","","45.77M","54.97%","29.82M","6.7M","23.11M","5","14"
"BURL","","45.7M","98.02%","2.41M","36.18M","-33.77M","2","12"
"SYK","","45.6M","147.21%","17.93M","22.29M","-4.36M","1","10"
"TMUS","","44.88M","-21.73%","27.15M","12.43M","14.72M","2","6"
"DASH","","44.78M","49.07%","2.81M","33.64M","-30.84M","7","17"
"DKNG","","44.73M","-35.59%","13.81M","25.32M","-11.51M","29","37"
"TDG","","44.51M","39.19%","28.64M","12.35M","16.29M","2","3"
"SBUX","","44.09M","-60.57%","25.83M","16.82M","9.01M","3","6"
"FANG","","43.93M","17.03%","4.3M","28.84M","-24.53M","8","20"
"VGSH","","43.59M","-63.27%","7.77M","12.3M","-4.54M","2","53"
"FLJP","","43.5M","135.17%","5.82M","0","5.82M","1","3"
"QUAL","","43.32M","-19.54%","15.12M","8.4M","6.72M","8","40"
"SHEL","","43.25M","320.71%","27.54M","3.79M","23.75M","4","18"
"PH","","42.86M","202.35%","11.68M","31.18M","-19.49M","1","6"
"SPXL","","42.76M","-62.22%","11.17M","12.47M","-1.3M","25","61"
"GE","","42.03M","78.77%","4.03M","31.05M","-27.02M","5","7"
"SCHW","","41.61M","24.51%","38.3M","1.21M","37.09M","2","10"
"RTX","","41.44M","-61.75%","0","20.66M","-20.66M","4","15"
"BNDX","","41.26M","45.55%","24.89M","6.25M","18.64M","1","35"
"DFUS","","41.13M","2534.46%","39.65M","0","39.65M","0","3"
"FCX","","40.85M","145.49%","3.35M","35.46M","-32.12M","2","12"
"FI","","40.78M","71.77%","27.25M","7.37M","19.88M","3","8"
"VB","","40.77M","-5.71%","30.84M","2.58M","28.26M","2","22"
"IEMG","","40.68M","-62.08%","9.34M","15.22M","-5.88M","3","61"
"PBR","","40.5M","159.12%","10.04M","30.46M","-20.43M","1","4"
"NSC","","40.44M","-32.15%","38.62M","622.38K","38.0M","0","8"
"AJG","","40.42M","-18.28%","524.73K","28.94M","-28.42M","0","9"
"PEP","","40.27M","-23.57%","27.54M","12.73M","14.81M","1","3"
"MA","","40.06M","-45.02%","0","40.06M","-40.06M","1","2"
"IJR","","39.99M","-62.55%","10.76M","16.28M","-5.51M","9","47"
"VZ","","39.94M","-9.07%","18.85M","19.48M","-632.11K","1","10"
"MCO","","39.93M","-9.78%","33.38M","637.84K","32.75M","3","5"
