"Symbol","Sentiment","TotalAmount","DailyAmount Change","AtAsk","AtBid","NetValue","DPTrades","BlockTrades"
"SPY","Bearish","4.97B","-19.71%","2.01B","2.4B","-391.84M","226","238"
"QQQ","Bearish","1.95B","-52.55%","753.63M","1.02B","-265.01M","159","223"
"JNJ","Bullish","1.06B","159.28%","729.7M","309.48M","420.23M","13","22"
"IVV","Bullish","815.99M","-24.71%","728.38M","53.19M","675.19M","32","78"
"AAPL","Bearish","781.0M","-25.91%","334.16M","446.84M","-112.68M","3","5"
"IJH","Bullish","753.8M","139.48%","269.35M","225.54M","43.81M","17","40"
"VOO","Bullish","628.81M","95.91%","530.43M","41.51M","488.92M","35","111"
"UNP","Bullish","626.34M","581.88%","272.91M","143.14M","129.77M","28","68"
"BBEU","Bullish","567.09M","544.51%","206.58M","138.72M","67.86M","1","14"
"XOM","Bearish","508.45M","18.67%","4.72M","75.71M","-70.99M","2","7"
"META","Bearish","440.26M","-51.18%","103.52M","310.41M","-206.89M","11","7"
"TQQQ","Bearish","415.09M","6.18%","118.08M","132.67M","-14.59M","237","578"
"DIS","Bearish","371.2M","185.38%","38.18M","327.95M","-289.77M","10","5"
"BRK/B","Bullish","368.66M","4.13%","288.13M","61.94M","226.19M","8","99"
"MSFT","Bullish","363.02M","-74.9%","325.63M","37.39M","288.25M","5","0"
"IWM","Bearish","356.41M","-60.46%","119.68M","213.24M","-93.56M","18","30"
"PG","Bullish","305.65M","10.74%","296.42M","9.24M","287.18M","0","7"
"SPXL","Bearish","278.54M","446.55%","14.13M","254.37M","-240.24M","23","49"
"PANW","Bullish","267.96M","-0.87%","86.13M","26.25M","59.87M","6","19"
"BIL","Bearish","236.36M","54.35%","52.38M","95.94M","-43.56M","0","175"
"MRK","Bullish","230.37M","1.86%","163.59M","53.28M","110.31M","1","6"
"GOOG","Bullish","208.5M","-38.65%","129.66M","78.84M","50.82M","2","1"
"CVX","Bearish","202.52M","-31.06%","3.16M","199.37M","-196.21M","7","1"
"CSX","Bearish","199.47M","52.64%","57.41M","89.2M","-31.78M","9","29"
"WFC","Bullish","199.32M","79.51%","105.48M","63.06M","42.42M","6","10"
"LMT","Bearish","188.49M","116.31%","0","170.08M","-170.08M","0","10"
"BA","Bearish","185.3M","48.8%","69.4M","83.3M","-13.9M","18","52"
"TMO","Bullish","182.79M","67.7%","59.86M","51.12M","8.74M","1","23"
"ATVI","Bullish","175.1M","12.71%","103.49M","44.81M","58.67M","13","22"
"SQQQ","Bearish","169.11M","-15.99%","48.08M","66.61M","-18.53M","48","339"
"DHR","Bullish","163.77M","-24.15%","118.61M","5.4M","113.21M","2","15"
"GOOGL","Bearish","158.52M","-79.61%","0","135.47M","-135.47M","1","4"
"BOND","Bearish","154.34M","1948.73%","267.78K","153.49M","-153.22M","2","4"
"HLT","Bearish","152.65M","123.01%","54.63M","65.44M","-10.81M","3","31"
"ABBV","Bearish","150.82M","-27.51%","6.77M","113.97M","-107.19M","2","10"
"SHW","Bullish","147.78M","72.63%","119.07M","3.54M","115.53M","6","19"
"TSLA","Bullish","147.39M","-78.12%","132.42M","14.97M","117.45M","3","2"
"SNAP","Bullish","144.75M","114.43%","108.72M","19.64M","89.08M","46","98"
"T","Bearish","143.51M","8.52%","24.26M","49.06M","-24.8M","3","18"
"LLY","Bearish","140.46M","-35.51%","30.09M","105.85M","-75.76M","0","4"
"LIN","Bearish","137.59M","8.51%","8.57M","125.21M","-116.64M","0","9"
"RSP","Bullish","132.26M","-29.53%","87.57M","21.54M","66.03M","28","73"
"MS","Bearish","126.85M","-27.12%","0","115.83M","-115.83M","2","8"
"IEMG","Bullish","126.85M","-66.31%","96.49M","14.47M","82.02M","1","69"
"AMZN","Bullish","124.36M","-92.71%","124.36M","0","124.36M","1","0"
"UBER","Bullish","123.64M","108.18%","76.95M","28.51M","48.44M","9","23"
"PPG","Bearish","122.49M","74.4%","50.09M","70.15M","-20.06M","3","10"
"C","Bearish","121.66M","-52.64%","31.29M","90.36M","-59.07M","5","9"
"PFE","Bullish","121.54M","-19.33%","100.6M","20.93M","79.67M","2","4"
"FI","Bullish","120.74M","67.46%","80.96M","29.47M","51.49M","2","20"
"BMO","Bearish","116.28M","75.16%","0","116.28M","-116.28M","2","0"
"HD","Bearish","112.74M","-33.75%","0","112.74M","-112.74M","0","7"
"ORCL","Bearish","109.75M","-46.63%","23.94M","85.8M","-61.86M","1","6"
