"Symbol","Sentiment","TotalAmount","DailyAmount Change","AtAsk","AtBid","NetValue","DPTrades","BlockTrades"
"TSLA","","6.5B","23.41%","2.14B","2.23B","-90.53M","3598","7769"
"SPY","","5.38B","10.38%","960.66M","4.08B","-3.12B","183","359"
"NVDA","","4.06B","-6.89%","2.11B","1.33B","783.2M","599","2426"
"MSFT","","3.2B","191.92%","293.38M","2.4B","-2.11B","352","1222"
"QQQ","","3.0B","50.34%","1.46B","1.21B","252.44M","158","246"
"AAPL","","1.93B","80.27%","215.57M","1.31B","-1.1B","295","1196"
"HYG","","1.13B","33.57%","441.63M","599.7M","-158.07M","37","364"
"AMZN","","1.12B","19.83%","253.54M","551.13M","-297.59M","278","863"
"META","","881.15M","48.01%","252.97M","422.66M","-169.7M","162","718"
"EXPE","","861.38M","11048.13%","8.92M","842.11M","-833.19M","28","13"
"IWM","","794.5M","-29.28%","193.79M","446.06M","-252.27M","37","103"
"AMD","","689.73M","19.77%","132.18M","357.33M","-225.15M","290","686"
"WPC","","632.47M","8946.11%","124.27M","500.56M","-376.29M","10","52"
"XOM","","582.29M","7.83%","468.82M","57.0M","411.82M","51","190"
"GM","","528.19M","936.13%","431.16M","76.25M","354.91M","63","124"
"IVV","","511.74M","149.88%","369.99M","97.16M","272.83M","32","89"
"TQQQ","","472.43M","44.06%","125.85M","113.5M","12.35M","150","835"
"LQD","","467.46M","43.57%","84.23M","335.39M","-251.16M","27","181"
"TLT","","437.46M","13.9%","182.78M","131.5M","51.29M","52","337"
"CVX","","425.03M","41.75%","283.13M","61.97M","221.15M","53","168"
"IEF","","420.38M","406.37%","28.62M","346.37M","-317.75M","18","182"
"NEE","","414.21M","889.37%","137.73M","266.86M","-129.14M","21","56"
"UNH","","409.2M","157.23%","21.8M","289.86M","-268.06M","5","80"
"BNDX","","401.46M","1376.37%","329.05M","64.88M","264.17M","10","27"
"AVGO","","364.67M","-50.24%","93.08M","247.49M","-154.41M","15","42"
"SPSB","","363.1M","10119.07%","8.77M","349.77M","-341.01M","0","16"
"JMBS","","350.82M","55.14%","6.66M","3.01M","3.66M","2","8"
"BAC","","349.65M","29.9%","43.15M","250.38M","-207.24M","33","246"
"GLD","","341.89M","51.7%","57.61M","193.0M","-135.39M","20","107"
"CG","","335.59M","3297.67%","332.4M","2.32M","330.08M","26","7"
