"Symbol","Sentiment","TotalAmount","DailyAmount Change","AtAsk","AtBid","NetValue","DPTrades","BlockTrades"
"SPY","","7.55B","-13.02%","3.0B","4.04B","-1.04B","404","350"
"QQQ","","2.59B","-2.9%","1.44B","906.04M","529.01M","207","289"
"IWM","","926.17M","16.4%","378.91M","385.47M","-6.55M","32","58"
"MUB","","647.53M","160.8%","222.84M","182.65M","40.18M","42","453"
"VTEB","","590.88M","304.71%","46.56M","296.41M","-249.85M","9","277"
"AGG","","501.17M","286.46%","217.82M","189.78M","28.05M","9","211"
"AMZN","","479.94M","12.27%","50.08M","297.42M","-247.34M","2","6"
"EMB","","455.85M","342.34%","74.58M","370.88M","-296.3M","10","55"
"VGIT","","441.66M","852.47%","420.16M","4.48M","415.68M","4","49"
"MSFT","","393.17M","-58.17%","250.91M","142.26M","108.64M","3","3"
"BRK/B","","380.0M","2.34%","259.77M","107.58M","152.19M","17","90"
"TQQQ","","373.82M","8.21%","95.35M","110.31M","-14.96M","167","547"
"VTI","","351.54M","187.25%","253.0M","49.88M","203.12M","48","169"
"AAPL","","339.41M","3.69%","41.5M","246.25M","-204.75M","1","3"
"GOVT","","321.32M","215.01%","10.27M","295.92M","-285.65M","0","70"
"DIS","","320.25M","151.83%","39.43M","273.74M","-234.31M","12","10"
"QUAL","","317.52M","1332.7%","174.94M","118.86M","56.08M","10","81"
"C","","310.09M","288.53%","4.99M","219.38M","-214.39M","13","11"
"SGEN","","305.77M","296.53%","158.81M","131.03M","27.78M","12","35"
"BIL","","296.72M","-20.47%","132.76M","51.78M","80.98M","0","243"
"LLY","","296.0M","81.9%","287.76M","8.25M","279.51M","1","5"
"IVV","","295.07M","-70.46%","146.63M","75.75M","70.87M","50","104"
"IGF","","290.84M","10176.69%","345.03K","290.25M","-289.9M","0","4"
"VGSH","","284.83M","845.34%","24.01M","238.81M","-214.8M","2","63"
"XOM","","283.02M","-11.76%","168.01M","115.01M","53.0M","1","6"
"JNK","","277.14M","105.11%","226.89M","19.24M","207.66M","9","38"
"USMV","","274.89M","521.67%","224.3M","13.66M","210.63M","9","56"
"EFA","","251.25M","52.93%","23.45M","217.1M","-193.65M","25","48"
"CVX","","238.4M","14.67%","207.74M","30.66M","177.08M","3","3"
"CRH","","236.86M","81.69%","230.29M","419.18K","229.88M","3","17"
"ORCL","","236.17M","79.07%","39.25M","196.92M","-157.67M","4","9"
"NVDA","","235.57M","-53.55%","197.92M","37.65M","160.27M","2","4"
"VOO","","234.36M","-35.11%","70.8M","73.16M","-2.36M","63","175"
"META","","234.15M","-62.59%","219.58M","14.58M","205.0M","3","3"
"SQQQ","","232.72M","-12.36%","72.68M","76.07M","-3.4M","59","388"
"VCIT","","231.22M","12.79%","133.99M","82.43M","51.56M","2","49"
"LIN","","206.11M","45.01%","30.46M","175.65M","-145.18M","3","5"
"BSV","","193.34M","140.09%","19.74M","103.06M","-83.32M","1","59"
"PG","","187.72M","30.8%","102.34M","85.39M","16.95M","2","5"
"PDD","","182.09M","69.25%","124.98M","39.73M","85.25M","10","8"
"SHYG","","175.08M","2405.23%","67.44M","106.88M","-39.44M","5","8"
"IEMG","","156.76M","-14.65%","24.91M","77.0M","-52.09M","4","83"
"IEFA","","155.0M","65.66%","88.3M","30.01M","58.29M","12","124"
"MRK","","154.38M","40.09%","8.48M","15.91M","-7.43M","2","2"
"IQV","","153.32M","152.56%","407.29K","124.56M","-124.15M","0","10"
"TGT","","153.22M","128.09%","16.6M","60.18M","-43.58M","11","12"
"EFG","","153.21M","1434.12%","80.23M","69.98M","10.25M","3","11"
"PFE","","153.01M","20.11%","2.84M","147.9M","-145.06M","2","5"
"ABBV","","152.33M","48.97%","124.34M","18.47M","105.87M","3","8"
"CM","","151.09M","163.61%","0","151.09M","-151.09M","0","3"
"BND","","148.89M","-59.2%","45.34M","37.99M","7.35M","7","152"
"MA","","144.49M","303.7%","0","71.99M","-71.99M","1","10"
"USB","","138.47M","492.35%","124.84M","3.93M","120.92M","5","13"
"SPTS","","132.4M","464.02%","13.39M","12.8M","595.55K","1","20"
"ATVI","","128.55M","-8.17%","44.28M","18.67M","25.61M","4","28"
"USHY","","124.77M","64.6%","54.2M","69.84M","-15.64M","2","17"
"SCHD","","124.69M","170.05%","93.5M","21.58M","71.93M","6","54"
"MCO","","121.4M","341.6%","0","112.07M","-112.07M","0","15"
"BKLN","","121.05M","-26.25%","8.35M","50.71M","-42.36M","2","30"
"LMT","","120.49M","109.19%","24.89M","95.6M","-70.71M","1","9"
"BABA","","120.03M","48.92%","98.43M","0","98.43M","1","3"
"OTIS","","119.55M","935.44%","9.0M","4.02M","4.98M","5","14"
"LOW","","116.02M","-7.16%","17.7M","90.29M","-72.59M","2","12"
"LULU","","114.48M","65.9%","32.25M","80.17M","-47.92M","4","15"
"SRE","","109.53M","185.89%","686.49K","107.56M","-106.88M","2","8"
"RSP","","108.45M","-31.29%","32.6M","39.32M","-6.71M","29","92"
"CCI","","108.37M","43.8%","5.09M","99.94M","-94.84M","3","9"
"MDLZ","","108.31M","630.38%","38.91M","23.94M","14.96M","2","8"
"ARKK","","108.06M","341.63%","27.56M","75.9M","-48.33M","10","46"
"RTX","","105.86M","-18.17%","22.91M","45.97M","-23.06M","8","22"
"CRM","","105.67M","181.25%","17.95M","65.52M","-47.57M","2","13"
"SNAP","","102.54M","404.89%","100.25M","1.97M","98.28M","9","10"
"HUM","","102.2M","-29.35%","2.0M","87.07M","-85.07M","1","19"
"UPS","","101.71M","9.55%","3.24M","91.01M","-87.77M","6","9"
"IQLT","","100.93M","1348.18%","24.98M","74.07M","-49.09M","2","9"
"DHR","","96.72M","-21.4%","0","96.72M","-96.72M","0","4"
"T","","96.41M","37.31%","78.68M","11.58M","67.09M","1","9"
"MS","","95.83M","-2.77%","69.47M","24.37M","45.1M","4","5"
"BA","","95.74M","78.75%","1.21M","94.53M","-93.32M","3","3"
"SPGI","","95.51M","1494.99%","78.84M","3.93M","74.91M","0","11"
"TMUS","","95.28M","7.34%","10.39M","17.59M","-7.19M","2","8"
"RIVN","","95.11M","264.84%","36.81M","51.06M","-14.25M","35","47"
"XBI","","93.65M","19.53%","48.94M","32.19M","16.75M","26","54"
"IWD","","92.88M","-65.95%","11.17M","69.03M","-57.86M","9","35"
"ICPT","","91.94M","9810.66%","27.38M","31.84M","-4.47M","18","55"
"MMC","","90.2M","40.18%","87.29M","0","87.29M","0","5"
"KVUE","","89.48M","87.92%","6.83M","68.64M","-61.81M","18","33"
"SPTI","","88.28M","202.63%","3.41M","8.6M","-5.19M","2","18"
"VCLT","","87.9M","42.1%","2.7M","74.31M","-71.61M","2","9"
"TLH","","87.5M","294.79%","83.28M","731.59K","82.54M","2","9"
"JEPI","","86.55M","181.27%","33.19M","41.28M","-8.09M","3","70"
"VTV","","85.55M","19.43%","29.52M","22.2M","7.32M","24","77"
"SHV","","83.79M","28.47%","36.51M","21.14M","15.37M","0","73"
