"Symbol","Sentiment","TotalAmount","DailyAmount Change","AtAsk","AtBid","NetValue","DPTrades","BlockTrades"
"SPY","","12.24B","98.8%","6.5B","4.11B","2.39B","383","411"
"QQQ","","7.96B","130.14%","6.92B","737.12M","6.18B","213","272"
"XOM","","2.94B","667.67%","1.92B","881.22M","1.04B","20","21"
"ABNB","","2.88B","10972.79%","2.87B","7.73M","2.86B","81","8"
"IWM","","2.75B","306.94%","1.68B","1.01B","678.38M","85","75"
"BX","","2.46B","28856.66%","1.98B","444.28M","1.53B","53","20"
"LLY","","1.88B","493.3%","0","1.88B","-1.88B","8","3"
"MSFT","","1.6B","366.0%","1.04B","515.19M","525.26M","13","3"
"BRK/B","","1.46B","292.98%","23.85M","1.42B","-1.39B","56","89"
"NVDA","","1.42B","88.25%","954.41M","418.33M","536.09M","16","8"
"PG","","1.3B","648.98%","602.52M","692.69M","-90.17M","4","11"
"PFE","","1.14B","781.73%","1.09B","51.13M","1.04B","11","5"
"AAPL","","1.14B","183.79%","838.62M","298.32M","540.29M","9","3"
"AMZN","","1.1B","269.61%","879.62M","171.98M","707.64M","19","4"
"CVX","","1.09B","266.62%","136.89M","906.65M","-769.76M","1","19"
"ORCL","","1.03B","273.82%","6.94M","1.02B","-1.02B","11","20"
"WMT","","916.9M","1706.74%","292.82M","624.08M","-331.26M","9","9"
"MS","","914.03M","605.97%","3.87M","910.16M","-906.29M","9","21"
"KO","","874.75M","664.61%","592.7M","13.4M","579.31M","3","8"
"META","","814.6M","244.39%","512.48M","11.7M","500.78M","12","5"
"MRK","","805.9M","350.01%","438.68M","367.21M","71.47M","9","5"
"DHR","","781.67M","598.3%","567.68M","213.99M","353.69M","1","25"
"MO","","688.18M","835.44%","15.53M","670.88M","-655.35M","9","17"
"XP","","606.01M","8404.59%","302.19M","301.96M","231.81K","4","16"
"ABBV","","587.17M","455.91%","4.8M","582.38M","-577.58M","6","6"
"ABT","","585.32M","545.82%","0","585.32M","-585.32M","0","14"
"TSLA","","583.53M","196.82%","486.4M","97.13M","389.26M","13","5"
"IVV","","577.81M","32.97%","31.3M","504.16M","-472.86M","31","47"
"AXP","","555.54M","529.34%","2.91M","552.63M","-549.71M","8","24"
"BK","","525.64M","934.32%","0","522.67M","-522.67M","16","22"
"DIS","","496.85M","161.28%","86.01M","56.69M","29.32M","9","14"
"WELL","","473.86M","668.47%","98.74M","375.12M","-276.38M","1","27"
"IWD","","462.25M","900.63%","25.64M","424.83M","-399.18M","9","42"
"AVGO","","440.55M","415.75%","12.62M","420.75M","-408.14M","7","17"
"BKNG","","434.71M","1033.42%","15.93M","418.78M","-402.85M","1","9"
"VST","","433.45M","6124.16%","640.2K","431.39M","-430.75M","27","12"
"TQQQ","","431.65M","66.46%","104.36M","152.34M","-47.97M","226","636"
"TJX","","429.98M","249.41%","268.91M","158.43M","110.48M","4","19"
"REGN","","423.5M","2951.88%","14.33M","409.17M","-394.84M","2","26"
"INTC","","404.25M","235.32%","145.17M","242.57M","-97.4M","5","23"
"PZZA","","400.08M","2319.14%","3.74M","390.85M","-387.11M","0","45"
"SYK","","399.41M","378.08%","7.97M","391.43M","-383.46M","2","13"
"HON","","396.56M","1272.47%","5.71M","385.45M","-379.74M","2","17"
"DUK","","396.48M","422.58%","2.68M","393.8M","-391.12M","1","15"
"T","","393.1M","377.96%","362.56M","19.78M","342.78M","16","9"
"NWL","","392.73M","31167.29%","386.62M","1.84M","384.77M","37","23"
"GDDY","","390.4M","3761.6%","16.61M","369.61M","-353.0M","20","19"
"MTN","","382.35M","12195.95%","28.85M","353.04M","-324.19M","22","12"
"ZTS","","380.14M","581.83%","371.71M","1.56M","370.15M","5","11"
"LNC","","371.19M","74388.96%","369.47M","1.73M","367.74M","18","39"
"C","","370.96M","40.28%","2.61M","368.35M","-365.74M","15","14"
"LIN","","361.98M","214.01%","0","356.92M","-356.92M","2","11"
"UNP","","361.2M","2952.74%","0","353.61M","-353.61M","1","12"
"EXPE","","353.02M","2078.92%","95.36M","255.39M","-160.03M","3","19"
"TMUS","","335.15M","494.44%","258.07M","70.27M","187.79M","3","36"
"FI","","332.36M","434.83%","324.8M","0","324.8M","8","20"
"FNF","","330.33M","9783.71%","1.15M","327.38M","-326.23M","24","12"
"GLPI","","322.84M","2127.79%","315.83M","468.24K","315.36M","30","8"
"PCG","","319.49M","545.49%","49.47M","267.79M","-218.32M","30","29"
"ADBE","","315.19M","830.65%","145.65M","131.61M","14.04M","12","31"
"HUM","","314.74M","200.88%","236.29M","72.78M","163.51M","0","27"
"MCK","","313.79M","516.47%","1.21M","304.31M","-303.1M","1","28"
"GOOG","","310.07M","801.44%","111.89M","198.18M","-86.29M","3","2"
"CTVA","","305.77M","369.1%","0","305.77M","-305.77M","1","21"
"DG","","300.48M","131.56%","211.67M","79.5M","132.16M","10","55"
"BLK","","296.88M","2254.38%","0","296.88M","-296.88M","1","27"
"KR","","292.85M","2449.92%","291.34M","333.61K","291.01M","9","6"
"CATY","","292.58M","16890.73%","292.58M","0","292.58M","34","3"
"KEYS","","290.24M","562.15%","285.07M","1.94M","283.13M","5","35"
"BAC","","286.84M","128.32%","12.25M","245.22M","-232.98M","5","12"
