"Symbol","Sentiment","TotalAmount","DailyAmount Change","AtAsk","AtBid","NetValue","DPTrades","BlockTrades"
"SPY","","3.21B","-32.33%","2.34B","605.31M","1.74B","341","352"
"QQQ","","2.01B","-6.54%","1.08B","718.65M","363.5M","182","227"
"LULU","","1.38B","3066.97%","1.31B","44.11M","1.27B","35","53"
"HUBB","","1.11B","10490.18%","302.75K","1.1B","-1.1B","35","11"
"VCIT","","1.1B","1606.37%","77.4M","984.78M","-907.38M","11","88"
"OGN","","1.01B","16641.4%","1.0B","3.91M","1.0B","15","40"
"IWM","","914.0M","12.83%","215.28M","624.54M","-409.26M","88","110"
"MBB","","764.2M","760.99%","14.69M","604.82M","-590.13M","9","52"
"ONTO","","564.25M","23066.33%","564.25M","0","564.25M","0","29"
"AMZN","","525.0M","334.96%","262.72M","262.28M","440.53K","2","1"
"OLK","","494.75M","0%","120.39M","298.21M","-177.82M","16","167"
"VCSH","","482.05M","782.28%","26.68M","445.55M","-418.88M","4","36"
"TQQQ","","468.65M","18.1%","137.04M","187.8M","-50.76M","198","542"
"VMW","","464.55M","144.25%","238.07M","134.75M","103.32M","54","50"
"VGIT","","436.17M","750.65%","101.2M","318.96M","-217.76M","5","37"
"GOVT","","306.77M","409.49%","172.36M","8.37M","163.98M","1","58"
"VMBS","","255.0M","965.77%","21.74M","231.96M","-210.22M","4","14"
"IVV","","253.96M","-9.02%","76.19M","138.38M","-62.19M","37","84"
"BIL","","234.29M","-32.81%","63.46M","31.61M","31.84M","0","250"
"NVDA","","224.7M","78.89%","171.24M","53.46M","117.78M","8","0"
"PZA","","219.72M","4713.9%","202.71M","2.31M","200.4M","5","12"
"SQQQ","","209.61M","-11.96%","69.83M","68.46M","1.37M","56","368"
"VGLT","","204.56M","287.81%","128.94M","36.92M","92.02M","1","26"
"NFLX","","202.04M","35.86%","149.94M","46.74M","103.2M","5","16"
"TFI","","191.78M","804.16%","184.82M","4.42M","180.4M","3","18"
"AGG","","182.56M","-28.23%","32.33M","98.46M","-66.12M","3","119"
