"Symbol","Sentiment","TotalAmount","DailyAmount Change","AtAsk","AtBid","NetValue","DPTrades","BlockTrades"
"SPY","Bullish","8.12B","6.23%","5.14B","2.75B","2.39B","241","263"
"QQQ","Bullish","4.3B","26.81%","2.32B","1.74B","585.31M","263","278"
"BSV","Bearish","2.76B","6309.67%","77.4M","2.21B","-2.13B","9","108"
"ATVI","Bearish","1.39B","319.52%","206.74M","1.17B","-960.17M","26","21"
"IWM","Bullish","1.19B","-9.01%","855.63M","319.83M","535.8M","62","46"
"TTD","Bullish","691.61M","3203.98%","672.01M","8.31M","663.7M","20","31"
"TSLA","Bullish","677.32M","114.12%","642.02M","35.3M","606.72M","8","0"
"UNH","Bullish","522.11M","231.73%","441.5M","80.61M","360.89M","5","10"
"C","Bearish","481.0M","150.6%","19.4M","446.54M","-427.13M","18","16"
"AMZN","Bullish","416.39M","78.78%","363.28M","33.46M","329.82M","4","1"
"TQQQ","Bullish","413.38M","3.44%","131.96M","129.91M","2.05M","272","547"
"PANW","Bullish","394.72M","102.92%","40.2M","28.34M","11.86M","3","24"
"SHV","Bearish","390.79M","335.84%","5.96M","312.31M","-306.34M","0","161"
"XOM","Bearish","379.05M","23.96%","117.45M","261.6M","-144.15M","8","2"
"NVDA","Bullish","375.98M","-26.93%","191.73M","172.34M","19.39M","10","2"
"BIL","Bearish","368.5M","69.6%","29.26M","168.7M","-139.44M","1","184"
"PG","Bearish","368.37M","30.84%","54.89M","313.48M","-258.59M","11","2"
"COIN","Bearish","313.3M","16.89%","107.94M","166.83M","-58.89M","288","372"
"JPM","Bullish","303.7M","76.0%","225.84M","36.37M","189.47M","7","3"
"MRK","Bearish","298.54M","16.17%","125.86M","172.69M","-46.83M","1","5"
"IWD","Bearish","295.25M","535.84%","14.79M","266.7M","-251.91M","17","26"
"MMC","Bearish","293.94M","417.93%","88.92M","205.02M","-116.1M","2","5"
"BRK/B","Bearish","264.19M","-23.29%","40.47M","213.7M","-173.22M","23","60"
"HUM","Bullish","231.8M","90.45%","119.35M","85.11M","34.25M","9","43"
"CPA","Bullish","228.75M","5249.33%","178.1M","35.65M","142.45M","16","29"
"LLY","Bullish","222.78M","6.73%","174.87M","47.91M","126.96M","4","4"
"AAPL","Bullish","209.14M","-55.1%","165.58M","43.55M","122.03M","2","1"
"SQQQ","Bearish","200.49M","-11.92%","60.36M","70.98M","-10.63M","81","378"
"META","Bearish","200.16M","-48.07%","47.65M","142.87M","-95.22M","6","1"
"NFLX","Bullish","189.88M","72.39%","177.5M","12.39M","165.11M","4","4"
"VOO","Bullish","188.44M","-28.99%","100.69M","43.26M","57.43M","49","102"
"CVX","Bullish","183.61M","-18.2%","165.76M","12.5M","153.26M","1","6"
"BND","Bullish","178.32M","34.55%","139.81M","11.97M","127.83M","3","71"
"AGG","Bullish","177.67M","30.4%","142.77M","12.75M","130.03M","10","61"
"ABBV","Bearish","166.6M","8.1%","19.65M","137.7M","-118.05M","0","9"
"TMUS","Bullish","166.56M","628.79%","80.62M","78.8M","1.82M","7","5"
"PDD","Bullish","164.72M","124.23%","159.7M","5.02M","154.69M","5","7"
"ORCL","Bullish","148.06M","-6.46%","99.34M","26.15M","73.18M","2","5"
"AMD","Bullish","144.01M","-3.83%","90.48M","51.11M","39.37M","24","7"
"PGR","Bearish","143.34M","54.9%","47.63M","68.62M","-20.99M","27","15"
"MTCH","Bearish","143.23M","809.28%","2.34M","136.5M","-134.16M","10","6"
"IVV","Bearish","135.42M","-66.77%","46.96M","56.12M","-9.16M","25","81"
"VTI","Bearish","133.42M","-25.61%","19.25M","73.69M","-54.45M","31","110"
"UBER","Bearish","133.38M","132.69%","24.97M","44.2M","-19.23M","11","15"
"SYK","Bullish","130.66M","85.73%","61.48M","55.56M","5.92M","2","10"
"MSFT","Bullish","124.47M","-51.31%","124.47M","0","124.47M","3","0"
"DHR","Bullish","122.21M","-16.99%","84.08M","33.54M","50.54M","4","5"
"ACWI","Bullish","120.89M","123.66%","118.26M","2.64M","115.62M","0","10"
"O","Bearish","120.43M","370.24%","30.98M","89.01M","-58.03M","7","4"
"SMCI","Bearish","118.98M","40.94%","40.52M","60.45M","-19.94M","47","178"
"RSP","Bullish","117.79M","-46.77%","50.92M","33.7M","17.21M","23","90"
"GOOGL","Bearish","117.38M","8.0%","0","117.38M","-117.38M","1","0"
"EFA","Bullish","115.85M","3.86%","52.47M","50.61M","1.86M","8","57"
"IEI","Bullish","114.63M","65.71%","64.85M","15.31M","49.54M","3","68"
"ZTS","Bearish","113.76M","119.86%","8.74M","82.21M","-73.47M","2","13"
"ON","Bullish","113.41M","144.02%","102.26M","6.32M","95.94M","18","20"
"BABA","Bullish","112.18M","7.48%","87.59M","15.98M","71.61M","14","5"
"INTC","Bearish","111.59M","-11.52%","2.76M","108.83M","-106.06M","1","2"
"BLK","Bullish","109.05M","381.15%","109.05M","0","109.05M","3","4"
"FCX","Bearish","108.17M","-1.97%","23.2M","84.11M","-60.92M","6","7"
"RIVN","Bullish","105.78M","-46.19%","56.04M","44.01M","12.03M","77","68"
"TSM","Bullish","104.48M","111.16%","54.66M","49.83M","4.83M","1","1"
"PLD","Bullish","104.07M","16.15%","100.34M","2.35M","97.99M","1","5"
"VFH","Bullish","103.28M","8430.58%","70.99M","16.44M","54.55M","11","39"
"GOOG","Bearish","100.63M","-50.58%","0","100.63M","-100.63M","2","0"
"GDX","Bullish","99.84M","23.89%","69.9M","23.04M","46.87M","27","23"
"CI","Bearish","99.14M","73.83%","3.45M","93.52M","-90.08M","3","8"
"PFE","Bullish","98.75M","24.56%","98.75M","0","98.75M","1","3"
"DIS","Bullish","98.61M","-32.22%","88.73M","9.88M","78.85M","8","3"
"T","Bearish","98.25M","9.09%","8.93M","76.97M","-68.04M","5","11"
"NXPI","Bearish","96.11M","324.92%","6.49M","82.27M","-75.78M","7","14"
"TJX","Bullish","95.78M","-43.07%","91.16M","0","91.16M","0","6"
"LI","Bullish","94.96M","371.17%","77.25M","16.14M","61.11M","14","12"
"KRE","Bullish","94.56M","144.34%","38.03M","37.49M","531.14K","31","40"
"SQ","Bearish","91.6M","15.07%","21.13M","65.41M","-44.28M","15","14"
"ABT","Bearish","91.56M","-21.3%","14.12M","77.44M","-63.32M","1","3"
"PEP","Bearish","91.39M","170.48%","0","91.39M","-91.39M","0","3"
"ANGL","Bullish","90.99M","449.62%","90.67M","0","90.67M","2","7"
"SNAP","Bullish","90.94M","25.16%","82.92M","4.25M","78.68M","11","27"
"TGT","Bearish","90.54M","7.13%","4.05M","82.96M","-78.91M","9","10"
"DUK","Bearish","88.13M","92.29%","3.45M","83.89M","-80.44M","1","6"
"VDC","Bearish","87.73M","1060.08%","28.02M","54.65M","-26.63M","5","30"
"MS","Bearish","86.79M","-33.47%","16.68M","70.1M","-53.42M","5","4"
"ELV","Bearish","86.44M","-2.29%","26.46M","33.39M","-6.93M","17","40"
"TNA","Bullish","85.17M","84.66%","36.83M","34.62M","2.21M","68","81"
"VCR","Bearish","84.95M","2800.91%","11.53M","70.85M","-59.32M","3","24"
"WFC","Bearish","84.69M","-28.64%","9.45M","21.0M","-11.55M","2","7"
"VIG","Bearish","83.6M","-42.45%","14.31M","53.88M","-39.57M","9","33"
"XLC","Bullish","83.0M","133.75%","75.79M","4.24M","71.55M","0","17"
"VIS","Bearish","82.14M","3108.85%","23.37M","54.13M","-30.76M","2","22"
"MU","Bullish","81.88M","51.63%","42.14M","38.65M","3.49M","2","5"
"CB","Bullish","81.57M","109.94%","40.51M","30.7M","9.8M","6","23"
"ABNB","Bullish","81.33M","75.7%","42.4M","29.84M","12.57M","14","19"
"CNC","Bearish","81.14M","103.82%","993.6K","79.78M","-78.79M","5","8"
"SNPS","Bearish","80.95M","77.95%","0","69.08M","-69.08M","2","13"
"UPS","Bearish","80.44M","-43.79%","12.52M","62.27M","-49.74M","1","4"
"AXP","Bearish","79.06M","4.69%","2.79M","76.27M","-73.48M","3","7"
"MAR","Bullish","77.78M","316.27%","39.41M","37.59M","1.82M","4","9"
"BKNG","Bullish","76.47M","-17.34%","60.27M","13.35M","46.91M","1","7"
"VOX","Bullish","76.28M","1330.93%","74.16M","677.01K","73.49M","4","31"
"CME","Bearish","75.9M","153.95%","15.35M","44.86M","-29.51M","5","15"
