"Symbol","Sentiment","TotalAmount","DailyAmount Change","AtAsk","AtBid","NetValue","DPTrades","BlockTrades"
"SPY","","10.16B","49.95%","3.93B","5.9B","-1.98B","327","352"
"TSLA","","6.54B","2.42%","2.19B","2.43B","-232.16M","5017","7964"
"QQQ","","5.35B","38.92%","3.48B","1.64B","1.84B","302","304"
"NVDA","","4.18B","61.21%","1.44B","1.88B","-439.75M","1266","4292"
"AMD","","2.87B","175.53%","1.03B","1.06B","-32.6M","2243","3596"
"AAPL","","1.59B","12.43%","940.15M","284.8M","655.35M","594","1076"
"MSFT","","1.13B","-4.69%","503.69M","326.26M","177.43M","442","851"
"META","","1.05B","-48.45%","457.66M","392.73M","64.93M","318","1066"
"LQD","","861.54M","5.2%","656.93M","143.51M","513.42M","49","203"
"IWM","","837.41M","-13.83%","548.85M","265.99M","282.86M","38","46"
"JNJ","","835.03M","53.24%","297.7M","351.35M","-53.64M","73","241"
"AMZN","","830.86M","-3.07%","404.88M","196.47M","208.41M","443","779"
"HYG","","792.49M","21.15%","247.94M","452.79M","-204.86M","51","272"
"TQQQ","","594.35M","44.19%","199.0M","160.54M","38.46M","321","886"
"XOM","","475.0M","-22.19%","251.94M","149.71M","102.23M","86","110"
"VOO","","445.21M","132.85%","332.6M","57.63M","274.97M","57","123"
"GOOGL","","413.86M","-28.63%","169.0M","189.0M","-20.01M","169","203"
"EEM","","367.82M","3.32%","76.2M","193.59M","-117.39M","14","93"
"CSCO","","367.62M","406.59%","27.85M","328.29M","-300.45M","16","45"
"SQQQ","","363.19M","66.34%","132.31M","130.22M","2.09M","89","486"
"ABBV","","342.23M","-14.46%","286.72M","41.35M","245.37M","11","69"
"DIA","","339.41M","152.79%","66.55M","249.0M","-182.44M","36","67"
"BIL","","337.94M","14.23%","60.89M","52.6M","8.29M","0","298"
"TLT","","324.44M","31.67%","190.25M","78.95M","111.3M","72","200"
"BRK/B","","321.48M","11.55%","22.47M","281.68M","-259.21M","10","99"
"VGK","","320.68M","987.74%","315.23M","1.47M","313.76M","4","9"
"UNH","","320.67M","228.3%","277.62M","23.57M","254.05M","22","61"
"GOOG","","314.33M","-2.39%","109.5M","145.48M","-35.98M","144","192"
"VEA","","311.83M","492.85%","155.07M","135.98M","19.09M","10","91"
"AGG","","287.38M","83.59%","77.08M","173.96M","-96.89M","7","118"
"VTI","","284.65M","94.04%","185.9M","32.53M","153.37M","41","131"
"DIS","","280.53M","-10.61%","44.76M","183.27M","-138.51M","114","194"
"IEMG","","277.78M","91.29%","123.1M","141.71M","-18.61M","3","52"
"PFE","","270.94M","-14.75%","64.45M","169.9M","-105.45M","44","84"
"MRK","","268.14M","-5.62%","16.38M","240.78M","-224.4M","50","48"
"CVX","","259.71M","-41.77%","187.14M","35.81M","151.32M","41","123"
"XLV","","257.24M","140.51%","33.65M","201.43M","-167.78M","27","72"
"LIN","","256.58M","23.21%","11.86M","243.25M","-231.39M","4","27"
"RSP","","255.15M","132.87%","165.15M","59.03M","106.12M","31","92"
