"Symbol","Sentiment","TotalAmount","DailyAmount Change","AtAsk","AtBid","NetValue","DPTrades","BlockTrades"
"SPY","","11.51B","-23.04%","7.78B","3.32B","4.46B","362","491"
"IWM","","3.03B","-4.3%","814.28M","2.08B","-1.26B","133","152"
"QQQ","","3.02B","-49.39%","1.32B","1.42B","-97.85M","188","252"
"IVV","","811.43M","-46.67%","509.85M","222.83M","287.02M","60","130"
"AAPL","","641.03M","-58.39%","0","641.03M","-641.03M","4","2"
"JPST","","536.99M","223.7%","16.43M","496.72M","-480.29M","1","80"
"VOO","","535.17M","52.51%","278.43M","166.26M","112.17M","61","170"
"EFA","","502.8M","67.94%","225.7M","221.0M","4.7M","14","65"
"XOM","","465.77M","-52.16%","107.6M","358.17M","-250.56M","1","4"
"BRK/B","","450.04M","-34.91%","47.65M","386.48M","-338.83M","25","105"
"ARGX","","437.02M","1689.72%","157.96M","209.94M","-51.98M","40","130"
"BIL","","385.19M","4.28%","66.16M","105.39M","-39.23M","2","405"
"FDX","","348.55M","484.9%","61.98M","210.81M","-148.83M","32","182"
"EWJ","","313.67M","414.59%","76.92M","228.72M","-151.8M","12","25"
"PG","","312.17M","146.24%","0","308.17M","-308.17M","0","8"
"AVGO","","291.52M","-27.95%","244.72M","40.42M","204.3M","3","5"
"AXP","","291.41M","10.61%","7.76M","283.65M","-275.89M","1","12"
"IJS","","277.57M","2641.96%","190.0M","78.1M","111.91M","7","27"
"MU","","261.53M","51.7%","10.58M","217.02M","-206.44M","9","15"
"GWW","","252.16M","1278.05%","165.0M","4.09M","160.91M","2","3"
"ABBV","","246.4M","-16.64%","28.99M","217.41M","-188.42M","1","6"
"VTI","","245.7M","14.8%","79.1M","62.11M","16.99M","41","231"
"EWZ","","239.99M","-8.86%","153.84M","68.54M","85.29M","9","57"
"CVX","","227.12M","-65.83%","4.55M","222.57M","-218.02M","4","2"
"SHYG","","226.2M","686.82%","216.48M","8.51M","207.97M","3","10"
"DIS","","222.24M","-35.82%","43.34M","173.19M","-129.85M","4","3"
"JPM","","208.49M","-5.87%","168.38M","31.86M","136.52M","9","2"
"COIN","","184.42M","55.93%","86.52M","68.91M","17.61M","52","210"
"RSP","","184.27M","-69.37%","81.41M","74.47M","6.95M","32","99"
"X","","179.1M","-54.54%","34.3M","127.11M","-92.81M","17","37"
"AGG","","177.86M","-57.11%","79.1M","36.4M","42.69M","10","154"
"AMGN","","176.41M","-44.93%","32.38M","144.04M","-111.66M","2","11"
"IJR","","166.96M","3.7%","57.1M","85.75M","-28.64M","35","65"
"BSV","","166.95M","67.37%","81.39M","68.6M","12.78M","1","50"
"ABT","","166.28M","-6.88%","120.08M","39.71M","80.37M","0","7"
"BKLN","","166.24M","9.25%","55.18M","91.66M","-36.49M","0","61"
"WFC","","163.0M","-47.96%","159.43M","0","159.43M","4","3"
"IBM","","160.78M","111.33%","0","160.78M","-160.78M","0","3"
"UPS","","159.51M","-50.8%","0","150.24M","-150.24M","0","5"
"UNH","","159.42M","-71.6%","14.12M","102.38M","-88.26M","4","4"
"MRVL","","157.95M","149.33%","1.1M","156.86M","-155.76M","5","5"
"IEFA","","157.46M","54.8%","28.05M","81.34M","-53.29M","15","119"
"QSR","","156.99M","264.65%","156.38M","0","156.38M","0","4"
"MDYV","","153.52M","191.87%","147.82M","2.75M","145.08M","6","15"
"AMZN","","147.46M","-77.61%","65.39M","82.07M","-16.67M","2","3"
"DHR","","146.77M","-48.42%","9.4M","118.35M","-108.95M","1","10"
"SPXL","","145.28M","99.84%","43.09M","38.42M","4.67M","93","196"
"MDY","","142.04M","108.73%","7.04M","134.49M","-127.46M","3","8"
