"Symbol","Sentiment","TotalAmount","DailyAmount Change","AtAsk","AtBid","NetValue","DPTrades","BlockTrades"
"SPY","","5.71B","-63.54%","2.58B","2.52B","57.45M","141","366"
"QQQ","","3.79B","-36.35%","1.71B","1.88B","-169.96M","144","255"
"IWM","","2.85B","-7.3%","889.0M","1.9B","-1.01B","118","111"
"NVDA","","1.42B","87.79%","30.11M","1.39B","-1.36B","9","0"
"IVV","","867.78M","-46.38%","621.88M","168.11M","453.77M","47","124"
"MSFT","","641.94M","-68.38%","0","641.94M","-641.94M","5","3"
"AGG","","632.13M","91.46%","331.28M","225.34M","105.93M","10","189"
"X","","629.98M","115.94%","530.3M","47.96M","482.34M","46","124"
"TSLA","","578.57M","30.28%","379.53M","174.19M","205.34M","10","5"
"STIP","","535.56M","1750.75%","525.88M","4.07M","521.82M","0","19"
"VOO","","492.81M","11.52%","224.52M","165.27M","59.25M","36","166"
"XOM","","470.26M","-51.9%","309.24M","147.49M","161.76M","2","9"
"AMZN","","467.27M","-27.36%","311.42M","155.85M","155.57M","4","3"
"JPM","","424.92M","101.73%","0","379.43M","-379.43M","5","7"
"IJR","","419.47M","311.76%","100.76M","294.23M","-193.46M","28","82"
"EWZ","","402.82M","105.9%","335.37M","54.34M","281.03M","16","87"
"SNAP","","391.89M","344.69%","6.08M","348.24M","-342.16M","14","43"
"QUAL","","388.0M","1185.74%","12.52M","59.17M","-46.65M","14","43"
"AVGO","","363.5M","-14.9%","295.02M","68.48M","226.54M","3","7"
"BRK/B","","350.31M","-49.48%","294.83M","14.64M","280.2M","5","75"
"RSP","","325.39M","-42.17%","222.24M","46.44M","175.8M","24","172"
"ADBE","","317.03M","17.47%","223.99M","47.97M","176.02M","7","16"
"PANW","","313.48M","91.75%","126.35M","148.6M","-22.26M","2","9"
"HD","","312.37M","88.71%","264.8M","47.57M","217.23M","1","5"
"NEM","","311.71M","208.03%","302.7M","7.63M","295.07M","4","14"
"EFA","","307.52M","21.35%","52.66M","108.9M","-56.24M","6","104"
"FLJP","","307.11M","4998.78%","333.94K","305.43M","-305.09M","1","15"
"TMO","","302.21M","6.34%","0","299.95M","-299.95M","2","8"
"CVX","","296.09M","-54.93%","58.55M","237.55M","-179.0M","10","6"
"CCI","","295.71M","126.69%","289.96M","1.2M","288.76M","3","16"
"UNH","","282.85M","-43.52%","261.32M","7.87M","253.45M","5","2"
"INTC","","278.74M","139.11%","29.71M","249.03M","-219.33M","3","6"
"UBER","","272.66M","-78.65%","150.59M","115.94M","34.64M","12","6"
"RTX","","266.73M","255.01%","115.22M","149.68M","-34.46M","3","5"
"AXP","","264.72M","6.2%","17.89M","245.15M","-227.25M","4","7"
"MS","","264.62M","69.24%","133.26M","131.36M","1.89M","3","7"
"BIL","","262.27M","-29.38%","105.49M","50.6M","54.9M","0","288"
"MUB","","258.59M","31.51%","24.23M","166.67M","-142.44M","1","152"
"VTI","","248.44M","23.14%","139.11M","22.95M","116.16M","32","207"
"AFRM","","247.48M","166.82%","79.78M","103.64M","-23.87M","218","402"
"META","","240.9M","-67.24%","73.12M","167.78M","-94.67M","2","3"
"MU","","227.97M","91.29%","24.13M","199.22M","-175.08M","14","12"
"BKLN","","226.66M","94.15%","127.56M","59.4M","68.16M","2","72"
"TSM","","225.06M","332.11%","206.37M","6.22M","200.15M","2","6"
