"Symbol","Sentiment","TotalAmount","DailyAmount Change","AtAsk","AtBid","NetValue","DPTrades","BlockTrades"
"SPY","","8.07B","9.5%","2.42B","5.21B","-2.79B","363","422"
"QQQ","","3.92B","47.74%","2.31B","1.37B","933.94M","163","204"
"IWM","","1.08B","28.14%","273.09M","800.72M","-527.63M","40","27"
"BRK/B","","562.26M","82.79%","409.03M","106.79M","302.25M","13","131"
"MUB","","501.26M","10.52%","220.89M","186.82M","34.07M","23","206"
"XOM","","453.13M","36.29%","378.16M","70.03M","308.14M","7","7"
"TQQQ","","443.32M","9.19%","145.69M","135.6M","10.09M","193","641"
"LLY","","424.99M","97.84%","0","391.9M","-391.9M","1","10"
"MSFT","","423.51M","-10.78%","24.81M","271.73M","-246.92M","4","2"
"PFE","","417.13M","178.41%","5.68M","201.82M","-196.14M","2","8"
"VONG","","363.93M","4684.8%","224.04M","118.61M","105.44M","21","28"
"VTV","","353.03M","410.16%","227.63M","103.13M","124.5M","37","94"
"VOO","","352.78M","55.88%","262.24M","55.38M","206.86M","69","77"
"EFA","","337.07M","102.4%","34.31M","177.68M","-143.37M","3","43"
"META","","332.92M","-22.63%","177.04M","140.86M","36.18M","10","2"
"SQQQ","","315.83M","8.68%","130.15M","102.82M","27.33M","75","507"
"PG","","305.6M","38.8%","305.6M","0","305.6M","0","4"
"AMZN","","295.76M","19.77%","178.15M","102.3M","75.85M","7","3"
"CRH","","290.75M","11.7%","10.56M","280.19M","-269.64M","4","10"
"CVX","","288.79M","25.4%","288.79M","0","288.79M","0","7"
"MRK","","262.46M","68.8%","262.46M","0","262.46M","4","4"
"BIL","","256.3M","-14.5%","44.76M","65.12M","-20.36M","1","235"
"MMC","","255.66M","329.86%","109.49M","129.2M","-19.71M","1","17"
"IVV","","253.79M","-50.68%","96.13M","80.12M","16.01M","48","123"
"ABBV","","249.5M","106.64%","3.41M","242.16M","-238.75M","2","7"
"NVDA","","243.42M","-32.41%","132.05M","94.4M","37.65M","4","5"
"VTEB","","241.74M","-30.01%","164.22M","34.12M","130.1M","9","131"
"UPS","","215.47M","29.99%","5.12M","205.82M","-200.7M","1","12"
"MDY","","211.63M","355.19%","204.77M","525.51K","204.25M","13","3"
"DHR","","196.81M","96.75%","0","196.81M","-196.81M","2","9"
"LIN","","192.75M","9.97%","0","190.76M","-190.76M","0","7"
"ORCL","","178.26M","43.07%","4.65M","26.46M","-21.8M","3","9"
"BND","","170.66M","-59.23%","49.73M","18.85M","30.88M","3","149"
"TJX","","165.18M","20.62%","4.42M","160.75M","-156.33M","0","7"
"SHV","","164.63M","113.74%","35.85M","81.1M","-45.25M","0","123"
"AGG","","164.07M","-47.42%","45.31M","23.93M","21.38M","5","190"
"AXP","","161.92M","12.35%","110.44M","50.39M","60.05M","1","13"
"PLD","","157.07M","81.31%","157.07M","0","157.07M","1","8"
"KVUE","","152.96M","25.63%","17.97M","122.36M","-104.39M","4","29"
"GOOG","","152.71M","117.75%","52.74M","99.97M","-47.23M","2","2"
"IWB","","152.69M","61.64%","72.76M","67.41M","5.34M","5","36"
"WFC","","149.5M","246.92%","142.65M","5.24M","137.41M","4","4"
"AAPL","","149.18M","-26.07%","32.53M","116.65M","-84.12M","3","1"
"IEFA","","148.5M","2.0%","43.24M","73.55M","-30.31M","12","89"
"DIS","","145.36M","-7.35%","3.24M","130.04M","-126.8M","9","5"
"TSLA","","144.5M","36.81%","50.37M","94.13M","-43.76M","8","4"
"SNY","","144.32M","923.05%","120.01M","19.03M","100.97M","11","4"
"ABT","","143.12M","74.18%","3.3M","139.82M","-136.52M","0","6"
"VTI","","139.28M","-31.7%","44.71M","51.02M","-6.31M","34","137"
"IEMG","","136.19M","20.85%","34.88M","86.06M","-51.18M","3","54"
"SPTL","","135.81M","46.9%","58.51M","68.93M","-10.42M","3","30"
"C","","128.27M","-7.32%","113.4M","14.87M","98.53M","4","10"
"HD","","126.4M","373.33%","100.03M","26.36M","73.67M","0","7"
"BX","","125.26M","84.89%","5.08M","110.07M","-104.99M","9","8"
"PDBC","","124.55M","752.65%","72.96M","49.51M","23.45M","3","21"
"HUM","","123.95M","59.83%","18.98M","95.7M","-76.72M","1","19"
"MU","","123.81M","-32.47%","19.07M","38.0M","-18.93M","12","10"
"NFLX","","123.27M","171.23%","18.64M","92.93M","-74.28M","5","4"
"VV","","119.57M","879.89%","15.28M","1.12M","14.16M","2","13"
"LOW","","115.26M","-14.09%","1.52M","112.34M","-110.82M","1","7"
"ATVI","","113.39M","35.01%","20.04M","59.57M","-39.54M","8","23"
"HPQ","","109.42M","129.09%","3.81M","101.18M","-97.38M","2","20"
"MS","","107.11M","16.89%","3.91M","103.2M","-99.28M","2","6"
"RSP","","104.28M","-48.52%","82.47M","2.9M","79.56M","11","52"
"USFR","","103.04M","-28.79%","71.87M","8.85M","63.02M","0","59"
"DG","","101.18M","36.99%","67.08M","24.96M","42.12M","7","33"
"SYK","","99.55M","24.42%","3.02M","96.53M","-93.51M","3","5"
"JNK","","99.47M","-30.19%","19.25M","61.77M","-42.52M","6","42"
"AVGO","","98.33M","99.04%","86.8M","11.53M","75.26M","6","2"
"VGIT","","96.52M","-58.35%","56.35M","4.97M","51.39M","0","32"
"T","","95.65M","53.39%","0","95.65M","-95.65M","6","1"
"JPM","","94.86M","108.58%","34.58M","60.28M","-25.7M","5","4"
"GOOGL","","93.49M","-9.59%","0","93.49M","-93.49M","2","0"
