"Symbol","Sentiment","TotalAmount","DailyAmount Change","AtAsk","AtBid","NetValue","DPTrades","BlockTrades"
"TSLA","Bearish","7.79B","-9.62%","2.7B","2.94B","-245.05M","5454","10231"
"SPY","Bearish","2.86B","-63.05%","1.08B","1.51B","-426.38M","84","162"
"NVDA","Bearish","1.52B","-57.71%","573.05M","601.94M","-28.88M","388","1584"
"AAPL","Bearish","822.26M","-58.8%","205.08M","216.99M","-11.91M","336","1126"
"QQQ","Bearish","660.21M","-81.44%","167.26M","388.44M","-221.19M","56","116"
"MSFT","Bullish","647.36M","-46.4%","268.39M","163.48M","104.9M","195","500"
"AMZN","Bearish","476.9M","-51.49%","86.27M","181.08M","-94.81M","230","711"
"IWM","Bearish","391.84M","-52.65%","118.48M","262.7M","-144.22M","20","23"
"META","Bearish","369.03M","-61.88%","93.9M","145.89M","-51.98M","102","427"
"LQD","Bearish","368.54M","-39.28%","123.41M","205.45M","-82.04M","15","95"
"AMD","Bullish","359.73M","-54.55%","115.95M","115.53M","418.11K","223","536"
"BIL","Bullish","291.68M","36.1%","99.93M","81.08M","18.86M","1","268"
"XLP","Bearish","263.63M","171.93%","76.85M","172.85M","-96.0M","7","44"
"JPM","Bearish","250.67M","37.13%","31.71M","194.47M","-162.76M","49","101"
"XOM","Bullish","245.78M","-45.06%","176.22M","43.59M","132.63M","32","87"
"EFA","Bullish","234.79M","-18.17%","159.92M","61.01M","98.91M","5","74"
"VGT","Bearish","234.76M","980.56%","5.39M","228.85M","-223.46M","1","10"
"HYG","Bullish","229.62M","-70.71%","111.27M","64.05M","47.22M","11","74"
"BRK/B","Bullish","228.86M","-38.36%","211.18M","12.85M","198.33M","16","43"
"USFR","Bearish","198.16M","252.37%","18.35M","164.72M","-146.37M","0","49"
"MU","Bearish","197.3M","-26.78%","44.83M","142.14M","-97.32M","32","48"
"VOO","Bullish","195.26M","-14.42%","111.96M","19.23M","92.73M","27","81"
"PG","Bullish","184.88M","-43.49%","171.31M","7.04M","164.27M","18","23"
"IJK","Bullish","172.75M","20135.09%","117.83M","32.04M","85.79M","10","45"
"INTU","Bullish","172.09M","77.28%","142.84M","26.54M","116.3M","7","13"
"TQQQ","Bullish","171.57M","-64.91%","51.03M","46.02M","5.02M","44","287"
"KVUE","Bullish","170.95M","1326.81%","166.96M","2.83M","164.13M","2","7"
"GOOG","Bullish","169.16M","-53.03%","106.34M","33.21M","73.13M","43","100"
"UNH","Bullish","159.3M","-10.15%","140.84M","5.97M","134.87M","11","31"
"VTI","Bearish","157.14M","-11.85%","42.84M","59.98M","-17.14M","14","98"
"LLY","Bullish","155.55M","-50.4%","109.89M","31.08M","78.81M","18","35"
"EFX","Bullish","154.46M","490.66%","142.66M","0","142.66M","1","7"
"XLY","Bearish","149.71M","411.79%","23.74M","116.8M","-93.06M","8","34"
"AXP","Bearish","145.12M","-3.07%","528.01K","141.38M","-140.85M","1","18"
"DIA","Bearish","140.7M","66.18%","27.68M","80.26M","-52.58M","10","67"
"NFLX","Bullish","133.06M","-60.83%","56.29M","55.98M","309.66K","21","148"
"CVX","Bullish","132.71M","-49.76%","82.51M","23.93M","58.58M","22","124"
"EMB","Bullish","126.59M","87.97%","94.01M","23.14M","70.87M","8","36"
"IEF","Bearish","124.62M","6.22%","23.43M","80.74M","-57.31M","8","78"
"ASML","Bullish","123.82M","21.97%","119.69M","4.12M","115.57M","1","7"
"SHV","Bullish","123.27M","-0.5%","60.41M","27.27M","33.14M","0","113"
"SHY","Bearish","121.83M","115.96%","35.7M","60.56M","-24.86M","2","49"
"TGT","Bullish","115.48M","-37.56%","68.03M","31.91M","36.12M","30","86"
"TLT","Bearish","111.57M","-50.01%","40.53M","43.27M","-2.73M","16","98"
"EEM","Bullish","110.06M","-17.28%","60.98M","37.01M","23.96M","2","44"
"DIS","Bearish","109.88M","-55.56%","30.04M","66.24M","-36.2M","22","58"
"SUSA","Bullish","108.99M","-1.43%","108.99M","0","108.99M","0","1"
"IWB","Bullish","104.11M","273.86%","88.62M","14.42M","74.2M","2","9"
"COIN","Bearish","102.94M","-5.0%","40.09M","42.7M","-2.61M","67","178"
"IVV","Bearish","100.48M","-79.61%","33.92M","40.56M","-6.65M","14","48"
"FIS","Bearish","100.08M","31.58%","20.39M","32.96M","-12.58M","27","82"
"MRK","Bullish","95.05M","-63.03%","84.09M","8.22M","75.87M","6","22"
"PFE","Bullish","94.81M","-61.3%","59.05M","27.88M","31.17M","9","45"
"GLD","Bearish","93.8M","-32.38%","15.84M","61.28M","-45.44M","12","76"
"GOOGL","Bullish","93.29M","-80.34%","42.68M","16.7M","25.98M","52","96"
"RIVN","Bullish","92.17M","249.01%","45.72M","33.38M","12.34M","54","72"
"IJR","Bearish","91.63M","57.83%","25.35M","47.73M","-22.38M","8","47"
"VZ","Bearish","89.23M","0.01%","16.06M","54.99M","-38.93M","20","59"
"LIN","Bearish","85.6M","-42.1%","1.73M","78.51M","-76.78M","0","13"
"UPS","Bearish","85.52M","-40.07%","4.88M","72.03M","-67.16M","18","26"
"MINT","Bearish","84.83M","695.82%","11.67M","66.26M","-54.59M","2","32"
"CCL","Bearish","83.65M","-13.36%","18.69M","55.63M","-36.94M","37","71"
"WFC","Bullish","82.04M","-55.77%","75.64M","4.62M","71.03M","8","24"
"IYM","Bearish","81.57M","9830.54%","4.73M","75.46M","-70.73M","9","14"
"BAC","Bullish","81.03M","-58.84%","37.81M","18.78M","19.04M","15","129"
"IVE","Bullish","79.02M","946.76%","63.11M","4.26M","58.85M","1","36"
"MO","Bullish","78.72M","-3.89%","66.46M","2.78M","63.68M","10","23"
"XLI","Bullish","78.27M","43.79%","40.29M","15.39M","24.9M","16","52"
"XLF","Bearish","78.15M","-32.25%","21.93M","46.73M","-24.79M","7","46"
"IEFA","Bullish","77.99M","-6.82%","47.93M","16.88M","31.05M","3","46"
"ABBV","Bullish","77.93M","-64.67%","63.05M","8.2M","54.86M","4","29"
"VCIT","Bearish","75.85M","-7.43%","24.79M","45.77M","-20.97M","2","24"
"C","Bearish","75.65M","-53.82%","5.64M","56.69M","-51.04M","17","38"
"BABA","Bearish","75.39M","-52.17%","21.7M","32.45M","-10.75M","47","70"
"ORCL","Bearish","73.82M","-73.32%","5.81M","60.47M","-54.66M","12","31"
"BND","Bullish","73.13M","-34.22%","44.18M","5.93M","38.26M","5","53"
"CSCO","Bullish","72.09M","29.57%","59.78M","5.04M","54.73M","4","28"
"SQQQ","Bullish","71.87M","-75.85%","20.56M","19.42M","1.14M","11","138"
"DHR","Bearish","71.76M","-69.21%","2.28M","62.52M","-60.24M","1","22"
"XLV","Bullish","70.91M","-23.05%","34.6M","31.03M","3.57M","5","32"
"GS","Bullish","70.88M","-17.95%","61.03M","4.57M","56.46M","5","29"
"GE","Bearish","70.83M","34.68%","3.09M","63.44M","-60.35M","7","21"
"RSP","Bullish","70.13M","-69.86%","42.1M","7.17M","34.93M","8","48"
"XLK","Bullish","70.04M","-3.22%","30.93M","15.35M","15.58M","13","36"
"AGG","Bullish","68.77M","-49.59%","22.57M","17.33M","5.24M","6","74"
"JNK","Bullish","68.68M","31.49%","42.98M","1.51M","41.47M","2","21"
"USHY","Bullish","68.25M","32.12%","52.11M","13.09M","39.01M","3","11"
"LOW","Bearish","67.37M","-53.15%","1.06M","62.99M","-61.92M","3","17"
"PYPL","Bearish","66.8M","-40.28%","15.33M","36.23M","-20.9M","20","80"
"MS","Bearish","64.37M","-58.78%","3.87M","53.32M","-49.45M","9","38"
"ACWI","Bullish","64.17M","17.39%","38.47M","17.73M","20.74M","2","22"
"CRM","Bullish","63.31M","-30.86%","48.42M","8.03M","40.39M","7","36"
"ABNB","Bearish","61.75M","12.01%","17.44M","27.7M","-10.26M","16","73"
"LRCX","Bearish","61.34M","-13.73%","3.49M","7.24M","-3.75M","2","11"
"ABT","Bearish","60.53M","-59.35%","1.17M","59.01M","-57.85M","0","12"
"ALB","Bullish","60.3M","31.74%","9.36M","7.14M","2.22M","3","35"
"AZN","Bullish","58.61M","322.18%","38.8M","9.22M","29.58M","22","42"
"IEMG","Bearish","58.45M","-8.84%","19.94M","34.24M","-14.3M","3","36"
"XLE","Bearish","57.75M","-53.3%","20.65M","21.18M","-530.84K","10","41"
"VTV","Bullish","57.53M","12.07%","33.82M","10.19M","23.63M","10","52"
"HCA","Bearish","57.0M","110.37%","0","52.03M","-52.03M","0","12"
"ROP","Bullish","55.75M","-32.12%","55.27M","0","55.27M","0","5"
"COST","Bullish","55.34M","-59.13%","37.99M","6.81M","31.19M","4","20"
"NKE","Bullish","55.05M","-47.95%","27.0M","13.89M","13.11M","20","67"
"ESGU","Bullish","54.94M","-32.44%","49.81M","1.63M","48.18M","1","15"
"IWN","Bearish","54.91M","161.4%","2.53M","46.4M","-43.87M","19","17"
"IUSV","Bullish","54.82M","324.44%","41.17M","9.79M","31.37M","1","29"
"VUG","Bullish","54.6M","-31.61%","18.59M","17.54M","1.05M","7","47"
"TMO","Bearish","52.99M","-23.9%","2.92M","47.06M","-44.14M","1","12"
"GDX","Bullish","52.93M","10.2%","42.97M","4.03M","38.94M","3","33"
"T","Bearish","52.86M","-50.38%","7.83M","9.52M","-1.7M","4","39"
"STZ","Bullish","51.79M","-25.84%","40.74M","4.69M","36.05M","2","27"
"MUB","Bearish","51.09M","31.01%","2.98M","36.57M","-33.59M","4","32"
"ABC","Bearish","50.46M","79.66%","16.37M","28.21M","-11.84M","1","11"
"PLD","Bullish","50.07M","-71.62%","48.48M","402.98K","48.07M","2","11"
"HLT","Bearish","49.74M","-33.14%","18.62M","28.09M","-9.47M","2","14"
"AIG","Bearish","49.49M","244.65%","21.21M","27.71M","-6.51M","5","14"
"EWZ","Bearish","49.45M","-26.0%","9.45M","38.47M","-29.02M","4","18"
"PGR","Bearish","48.58M","168.17%","435.11K","46.65M","-46.22M","0","12"
"VEA","Bullish","48.49M","17.82%","10.7M","10.37M","323.86K","0","58"
"CVS","Bearish","47.85M","-38.09%","9.62M","32.43M","-22.81M","11","23"
"VGSH","Bearish","47.13M","-6.52%","2.77M","35.4M","-32.62M","0","39"
"SNOW","Bullish","47.06M","-74.07%","39.94M","4.7M","35.24M","8","27"
"FCX","Bearish","46.55M","-48.42%","3.96M","37.56M","-33.6M","4","16"
"JNJ","Bullish","45.87M","-63.88%","21.27M","18.95M","2.32M","3","28"
"BA","Bearish","45.35M","-64.42%","13.6M","16.59M","-2.99M","9","68"
"COP","Bullish","44.98M","24.32%","38.23M","1.98M","36.25M","6","19"
"MRVL","Bullish","43.92M","16.55%","38.81M","1.99M","36.82M","4","24"
"SYK","Bearish","43.69M","-52.98%","4.7M","37.78M","-33.09M","2","17"
"TJX","Bullish","43.61M","-57.83%","41.27M","2.08M","39.19M","2","6"
"IWD","Bearish","42.97M","-6.2%","9.61M","21.41M","-11.8M","6","32"
"ZROZ","Bullish","42.57M","1654.37%","41.45M","1.12M","40.32M","1","5"
"JCI","Bullish","42.21M","18.78%","23.47M","5.11M","18.36M","2","10"
"VXUS","Bullish","41.85M","24.71%","27.6M","1.34M","26.27M","2","15"
"BNDX","Bearish","41.61M","-25.47%","11.25M","20.2M","-8.95M","0","40"
"DE","Bullish","41.56M","9.7%","36.93M","1.88M","35.05M","0","13"
"VIG","Bearish","41.26M","35.86%","8.32M","25.05M","-16.73M","3","23"
"GIS","Bullish","41.02M","-18.07%","32.78M","4.4M","28.38M","2","15"
"ATVI","Bearish","40.96M","-59.8%","6.51M","23.32M","-16.82M","8","26"
"IT","Bearish","40.74M","9.0%","7.87M","32.87M","-25.0M","0","3"
"SOXL","Bearish","40.29M","-57.73%","13.93M","20.19M","-6.27M","26","58"
"FIXD","Bearish","40.1M","112.22%","3.22M","35.51M","-32.29M","5","8"
"ICE","Bearish","39.9M","13.65%","3.62M","33.96M","-30.34M","2","8"
"IJJ","Bullish","39.22M","1108.55%","27.17M","9.88M","17.29M","0","16"
"RCL","Bullish","39.18M","-59.75%","20.47M","16.61M","3.85M","5","23"
"V","Bullish","38.9M","-66.95%","19.18M","12.96M","6.22M","14","33"
"AJG","Bullish","38.65M","-32.21%","21.36M","16.57M","4.79M","1","7"
"FDX","Bearish","38.22M","-42.28%","1.9M","28.69M","-26.79M","3","23"
"TNA","Bullish","38.16M","-13.02%","23.27M","10.87M","12.39M","21","42"
"ACAD","Bullish","38.15M","599.24%","37.89M","0","37.89M","0","5"
"ADBE","Bullish","37.87M","-63.88%","22.69M","11.32M","11.37M","6","27"
"FTSM","Bearish","37.48M","-30.99%","2.62M","33.69M","-31.08M","0","10"
"VT","Bearish","37.07M","111.8%","3.56M","8.62M","-5.06M","3","17"
"BLK","Bearish","36.91M","-47.08%","0","36.91M","-36.91M","0","5"
"IEI","Bearish","36.02M","-13.98%","9.16M","15.92M","-6.76M","2","30"
"VNQ","Bullish","35.92M","-27.98%","18.46M","13.96M","4.51M","11","17"
"F","Bearish","35.28M","-68.21%","5.07M","26.86M","-21.79M","3","31"
"AMT","Bullish","35.22M","-26.76%","30.64M","3.9M","26.74M","2","10"
"CI","Bullish","35.13M","33.74%","30.22M","724.71K","29.49M","2","10"
"DG","Bearish","34.64M","-76.65%","5.07M","26.48M","-21.41M","7","16"
"EW","Bearish","34.33M","5.17%","7.91M","23.02M","-15.11M","1","18"
"KO","Bullish","34.11M","-62.4%","20.57M","4.89M","15.68M","11","36"
"HD","Bearish","33.97M","-67.37%","2.78M","23.6M","-20.82M","1","36"
"BSX","Bearish","33.94M","-26.72%","1.85M","31.17M","-29.31M","3","7"
"MDLZ","Bullish","33.76M","-6.82%","5.28M","3.02M","2.26M","6","13"
"SCHW","Bullish","33.35M","-64.64%","20.31M","7.19M","13.12M","16","34"
"ICLR","Bullish","33.19M","336.07%","7.81M","0","7.81M","0","15"
"BIDU","Bearish","33.09M","31.25%","15.17M","15.79M","-618.89K","5","24"
"LI","Bearish","32.97M","328.8%","6.56M","23.94M","-17.38M","8","16"
"MMC","Bearish","32.94M","-58.68%","968.74K","31.06M","-30.1M","1","12"
"IXUS","Bullish","32.8M","93.98%","23.64M","7.98M","15.66M","1","13"
"MDB","Bullish","32.79M","-48.47%","24.36M","4.94M","19.41M","4","21"
"ARW","Bullish","32.57M","924.14%","31.58M","992.86K","30.59M","0","5"
"SO","Bullish","32.47M","-63.49%","29.21M","1.68M","27.53M","1","14"
"HUM","Bullish","32.4M","-54.3%","25.31M","4.82M","20.49M","1","13"
"SCHX","Bullish","32.21M","-60.5%","23.84M","4.83M","19.01M","0","25"
"VWO","Bullish","32.18M","-22.12%","10.84M","4.25M","6.59M","3","36"
"KMB","Bearish","32.13M","-38.93%","912.71K","28.58M","-27.67M","1","10"
"CHD","Bearish","32.05M","-24.2%","2.64M","15.94M","-13.3M","2","25"
"SQ","Bearish","32.03M","-45.15%","5.55M","21.75M","-16.2M","9","20"
"MARA","Bullish","31.83M","36.61%","16.69M","11.38M","5.31M","33","42"
"MCO","Bullish","31.78M","-35.12%","27.86M","3.54M","24.31M","1","7"
"BNS","Bullish","31.71M","128.72%","30.13M","0","30.13M","1","4"
"NUS","Bearish","31.64M","274.52%","0","31.64M","-31.64M","5","2"
"SPLG","Bearish","31.47M","-33.7%","5.06M","18.88M","-13.82M","2","19"
"KMI","Bearish","31.43M","-8.82%","9.12M","21.75M","-12.63M","1","16"
"IAU","Bullish","31.09M","32.69%","9.75M","9.48M","276.51K","2","17"
"GT","","31.09M","863.62%","0","0","0","0","3"
"SMH","Bearish","30.61M","-39.13%","7.93M","11.29M","-3.36M","7","28"
"YUM","Bearish","30.49M","-37.97%","763.56K","28.95M","-28.19M","0","10"
"SCHG","Bearish","30.46M","52.83%","12.15M","15.88M","-3.73M","9","14"
"JPST","Bearish","30.32M","-49.35%","2.77M","10.73M","-7.96M","0","50"
"SHOP","Bearish","30.28M","-6.39%","10.8M","10.87M","-68.69K","38","41"
"HSY","Bullish","30.23M","153.19%","28.43M","1.08M","27.34M","0","9"
"ELV","Bullish","30.08M","-57.5%","7.77M","3.24M","4.52M","1","24"
"IWP","Bullish","29.93M","21.29%","14.76M","13.63M","1.14M","2","8"
"MSTR","Bullish","29.92M","34.06%","12.93M","11.87M","1.07M","2","38"
"SMCI","Bearish","29.88M","-38.98%","8.79M","14.72M","-5.93M","13","66"
"CTVA","Bearish","29.81M","-53.34%","1.26M","1.31M","-50.27K","3","20"
"SHW","Bearish","29.75M","-58.4%","577.13K","27.18M","-26.61M","1","17"
"GXC","Bullish","29.48M","1.18%","29.22M","0","29.22M","0","2"
"TAP","Bullish","29.13M","-17.73%","17.68M","2.18M","15.51M","4","22"
"ON","Bearish","29.11M","-36.05%","11.57M","13.47M","-1.9M","19","34"
"A","Bearish","28.93M","-50.28%","1.51M","26.83M","-25.33M","1","8"
"MTB","Bullish","28.76M","5.71%","28.76M","0","28.76M","0","2"
"VAW","Bullish","28.73M","1677.44%","25.28M","3.46M","21.82M","0","4"
"SPDN","Bearish","28.71M","43.13%","4.83M","23.56M","-18.73M","0","18"
"BBY","Bearish","28.68M","149.27%","1.02M","27.35M","-26.33M","2","4"
"XLU","Bearish","28.63M","-41.95%","2.05M","20.45M","-18.4M","2","23"
"CMG","Bearish","28.21M","-62.52%","0","28.21M","-28.21M","0","1"
"FI","Bullish","28.05M","-66.84%","23.67M","0","23.67M","1","15"
"DTE","Bullish","28.01M","-28.89%","11.83M","5.69M","6.14M","1","15"
"ZBH","Bearish","27.93M","-26.98%","1.4M","26.53M","-25.13M","1","5"
"NOW","Bullish","27.78M","22.28%","1.19M","0","1.19M","0","5"
"AZO","Bullish","27.67M","300.83%","21.79M","5.88M","15.91M","0","3"
"VCLT","Bearish","27.67M","79.17%","699.61K","26.97M","-26.27M","4","4"
"XLC","Bearish","27.61M","68.86%","4.91M","15.09M","-10.18M","2","22"
"ARKK","Bullish","27.46M","-8.2%","12.94M","9.22M","3.72M","15","36"
"LMT","Bearish","27.45M","-66.06%","1.65M","21.17M","-19.51M","2","11"
"EL","Bullish","27.45M","86.04%","24.51M","455.36K","24.05M","1","10"
