"Symbol","Sentiment","TotalAmount","DailyAmount Change","AtAsk","AtBid","NetValue","DPTrades","BlockTrades"
"SPY","","8.3B","8.36%","1.76B","6.11B","-4.35B","155","370"
"QQQ","","3.71B","17.69%","515.35M","2.75B","-2.24B","116","204"
"IWM","","1.6B","22.94%","925.2M","614.08M","311.12M","61","118"
"AAPL","","875.09M","48.26%","192.56M","682.53M","-489.97M","8","4"
"AMZN","","823.58M","12.55%","163.81M","659.77M","-495.96M","6","6"
"IVV","","772.62M","-20.67%","533.45M","158.39M","375.06M","31","123"
"XOM","","753.66M","49.69%","361.16M","359.26M","1.91M","14","12"
"SGEN","","703.4M","1052.77%","220.96M","397.92M","-176.96M","4","138"
"MSFT","","694.28M","58.2%","119.0M","575.28M","-456.28M","5","4"
"AVGO","","539.35M","75.79%","52.69M","451.01M","-398.32M","11","9"
"META","","516.91M","13.35%","49.68M","443.22M","-393.55M","7","3"
"DIS","","466.91M","102.8%","285.68M","169.89M","115.79M","9","6"
"BRK/B","","408.8M","30.96%","348.57M","34.38M","314.19M","17","75"
"TQQQ","","396.37M","-6.69%","106.76M","102.69M","4.07M","85","673"
"JPM","","394.57M","295.77%","8.95M","335.04M","-326.09M","12","8"
"AMD","","390.64M","101.04%","301.36M","74.84M","226.52M","17","7"
"QUAL","","357.83M","610.94%","14.2M","321.96M","-307.76M","8","54"
"BIL","","350.47M","26.17%","25.41M","157.64M","-132.23M","0","222"
"TSLA","","345.14M","78.57%","233.71M","18.35M","215.37M","3","12"
"NVDA","","339.19M","-61.28%","31.85M","307.35M","-275.5M","9","4"
"IJS","","327.33M","6295.93%","57.55M","228.38M","-170.83M","5","27"
"IJH","","323.92M","454.31%","12.14M","280.69M","-268.55M","17","47"
"USHY","","322.61M","697.61%","36.74M","285.0M","-248.26M","0","16"
"JNK","","302.38M","856.78%","210.53M","76.89M","133.64M","8","53"
"VOO","","293.72M","-18.28%","74.79M","121.25M","-46.46M","61","168"
"AGG","","286.98M","-3.52%","81.96M","132.72M","-50.76M","8","184"
"VTI","","282.27M","79.37%","126.49M","89.88M","36.62M","27","159"
"GOVT","","276.77M","-29.71%","8.54M","265.62M","-257.08M","0","31"
"ORCL","","256.1M","326.93%","116.78M","60.55M","56.22M","20","34"
"CVX","","251.06M","-25.74%","12.85M","238.22M","-225.37M","4","4"
"V","","231.33M","166.22%","125.68M","105.65M","20.03M","2","8"
"WFC","","222.62M","62.71%","182.15M","34.46M","147.69M","0","12"
"LIN","","219.23M","461.51%","23.24M","143.05M","-119.81M","2","25"
"CRH","","208.58M","897.21%","205.09M","674.24K","204.42M","0","5"
"EMB","","190.99M","22.8%","87.07M","91.78M","-4.71M","9","38"
"COST","","182.71M","79.03%","37.08M","129.2M","-92.12M","5","10"
"PFE","","181.83M","73.34%","19.71M","142.75M","-123.04M","5","17"
"EFA","","178.5M","21.87%","106.08M","61.71M","44.37M","3","84"
"MMC","","169.51M","175.43%","9.01M","141.73M","-132.72M","1","15"
"BBEU","","166.83M","2236.53%","166.83M","0","166.83M","1","1"
"AXP","","162.58M","45.16%","144.9M","11.65M","133.24M","1","9"
"SCHD","","161.46M","58.22%","116.38M","21.9M","94.48M","2","58"
"PDD","","159.45M","-41.03%","138.59M","17.02M","121.57M","2","5"
"BIV","","158.7M","142.16%","2.43M","149.36M","-146.92M","0","29"
"IMGN","","157.5M","18.2%","79.95M","55.78M","24.17M","2","38"
"QCOM","","155.49M","38.24%","7.61M","129.41M","-121.8M","4","6"
"UBER","","150.97M","-29.16%","35.82M","68.8M","-32.98M","9","27"
"SPTI","","148.84M","786.83%","107.36M","16.66M","90.7M","0","27"
"MRK","","148.65M","-18.2%","31.31M","99.14M","-67.84M","0","4"
"GOOGL","","146.96M","-21.46%","146.96M","0","146.96M","0","3"
"TLH","","144.92M","211.89%","64.22M","50.17M","14.04M","3","29"
"PANW","","144.74M","-27.53%","93.91M","47.13M","46.78M","6","18"
"INTC","","140.45M","-19.24%","71.72M","60.01M","11.71M","5","5"
"BA","","136.76M","3.07%","70.15M","61.32M","8.83M","6","16"
"UNH","","131.17M","6.03%","24.56M","106.61M","-82.06M","0","5"
"ABBV","","130.75M","17.64%","65.3M","61.62M","3.69M","2","8"
"EWZ","","129.99M","192.74%","99.67M","12.75M","86.92M","1","56"
"UPS","","129.27M","50.26%","0","129.27M","-129.27M","1","3"
"JCI","","126.48M","162.72%","21.86M","87.05M","-65.2M","16","42"
"MA","","125.18M","4.1%","0","120.04M","-120.04M","1","4"
"CRM","","124.1M","20.54%","2.42M","61.96M","-59.54M","1","8"
"IWD","","123.45M","-59.48%","79.35M","9.97M","69.38M","10","81"
"BAC","","123.44M","165.71%","43.82M","76.92M","-33.1M","7","9"
"MUB","","122.09M","-31.53%","58.94M","28.26M","30.69M","8","108"
"SHW","","118.36M","79.0%","44.97M","70.13M","-25.16M","0","12"
"LYV","","117.91M","177.21%","91.92M","22.6M","69.32M","2","10"
"ICE","","117.31M","166.64%","73.65M","6.65M","67.0M","2","16"
"BWX","","117.22M","1026.59%","2.8M","40.25M","-37.45M","4","14"
"RSP","","116.31M","0.89%","37.96M","48.34M","-10.38M","15","90"
"SOXL","","116.19M","10.86%","38.67M","50.95M","-12.28M","43","239"
"DUK","","115.47M","32.21%","53.44M","48.65M","4.79M","9","15"
"TMUS","","115.15M","82.74%","12.57M","87.89M","-75.32M","2","20"
"SPTL","","114.87M","248.58%","109.89M","1.87M","108.02M","2","30"
"T","","114.49M","-15.63%","6.93M","101.5M","-94.57M","1","13"
"SCHE","","113.93M","1466.72%","110.01M","0","110.01M","2","9"
"ECL","","110.82M","621.99%","107.9M","631.58K","107.26M","6","6"
"TEAM","","110.01M","522.6%","91.56M","6.07M","85.49M","4","12"
"PGR","","107.32M","22.01%","3.47M","102.21M","-98.73M","1","8"
"LLY","","106.76M","20.5%","101.77M","4.99M","96.78M","1","4"
"FNDE","","105.5M","8325.85%","94.64M","10.58M","84.06M","2","4"
"PPG","","104.11M","366.14%","0","101.65M","-101.65M","2","16"
"CNC","","103.63M","339.04%","52.57M","14.71M","37.86M","5","23"
"C","","103.45M","-20.76%","31.36M","54.36M","-23.0M","6","7"
"ELV","","102.72M","139.87%","92.02M","0","92.02M","0","13"
"OXY","","101.64M","230.71%","19.43M","26.74M","-7.31M","17","75"
"SCHF","","100.48M","212.0%","92.28M","2.3M","89.98M","0","27"
"FIS","","100.38M","-58.33%","1.7M","94.35M","-92.65M","2","13"
"KO","","97.96M","-9.26%","26.99M","70.97M","-43.98M","2","2"
"PYPL","","97.31M","124.17%","40.1M","54.44M","-14.34M","8","12"
"COIN","","93.82M","-20.76%","36.55M","38.62M","-2.07M","25","145"
"CERE","","93.81M","-35.25%","12.26M","77.62M","-65.36M","8","18"
"VIG","","89.62M","-28.06%","66.18M","2.88M","63.31M","9","46"
"KLAC","","88.2M","120.48%","67.26M","20.94M","46.31M","0","12"
"USFR","","88.16M","-38.74%","10.84M","49.81M","-38.98M","1","70"
"Z","","87.56M","818.49%","23.68M","31.85M","-8.16M","4","20"
"DLTR","","87.3M","522.73%","82.37M","1.06M","81.31M","1","11"
