"Symbol","Sentiment","TotalAmount","DailyAmount Change","AtAsk","AtBid","NetValue","DPTrades","BlockTrades"
"SPY","","7.49B","35.55%","3.4B","3.67B","-265.92M","418","463"
"QQQ","","3.51B","-11.26%","788.23M","2.42B","-1.63B","247","289"
"BIL","","1.66B","158.52%","850.2M","564.57M","285.62M","0","384"
"IWM","","1.6B","7.41%","894.73M","425.82M","468.9M","40","71"
"AAPL","","579.42M","100.59%","496.99M","82.43M","414.56M","5","0"
"BRK/B","","448.6M","59.29%","115.06M","315.99M","-200.93M","15","121"
"TQQQ","","421.35M","-24.61%","128.17M","140.95M","-12.79M","148","697"
"PG","","412.63M","169.23%","0","412.63M","-412.63M","1","11"
"VTEB","","404.8M","29.43%","219.58M","55.2M","164.38M","7","180"
"RTX","","395.74M","2.8%","339.78M","48.31M","291.47M","2","6"
"CVX","","378.77M","11.63%","66.95M","287.27M","-220.31M","8","19"
"VTV","","365.38M","176.53%","30.04M","300.84M","-270.8M","24","102"
"MUB","","361.22M","-22.17%","108.08M","112.9M","-4.82M","30","209"
"SQQQ","","354.46M","13.35%","105.27M","127.93M","-22.66M","60","515"
"XOM","","342.23M","-26.36%","22.34M","319.9M","-297.56M","5","3"
"EFA","","338.1M","102.4%","103.77M","114.15M","-10.38M","15","64"
"SYK","","320.64M","185.17%","302.84M","4.86M","297.98M","0","10"
"VOO","","306.96M","-20.6%","52.57M","182.49M","-129.92M","73","117"
"AMZN","","295.79M","-12.16%","212.63M","58.08M","154.55M","3","5"
"GOOG","","275.23M","191.6%","16.01M","209.93M","-193.92M","5","3"
"VNQ","","269.41M","382.48%","3.63M","257.25M","-253.62M","29","34"
"CHTR","","267.36M","702.4%","219.18M","23.75M","195.43M","1","43"
"VDE","","258.93M","1875.04%","18.92M","174.7M","-155.79M","20","37"
"BMO","","248.15M","363.8%","248.15M","0","248.15M","2","3"
"AGG","","241.62M","-20.37%","119.18M","63.99M","55.19M","7","147"
"VHT","","234.75M","1742.59%","15.65M","103.47M","-87.81M","3","42"
"IVV","","234.29M","-2.58%","81.57M","60.49M","21.09M","67","128"
"VFH","","231.41M","3111.44%","10.95M","216.45M","-205.5M","9","40"
"VGT","","226.26M","843.62%","144.24M","80.62M","63.62M","6","26"
"VOX","","225.28M","2030.62%","50.58M","56.75M","-6.17M","4","25"
"VDC","","222.52M","7420.76%","5.96M","213.24M","-207.28M","6","33"
"VIS","","217.98M","3387.72%","6.87M","210.76M","-203.89M","4","24"
