"Symbol","Sentiment","TotalAmount","DailyAmount Change","AtAsk","AtBid","NetValue","DPTrades","BlockTrades"
"SPY","","6.89B","-5.5%","4.49B","1.83B","2.67B","393","511"
"QQQ","","4.48B","102.02%","2.96B","1.26B","1.7B","277","326"
"IWM","","1.74B","58.74%","1.09B","481.05M","607.21M","121","141"
"IVV","","1.53B","101.63%","1.24B","239.68M","998.71M","37","107"
"META","","682.33M","137.38%","423.51M","258.83M","164.68M","7","1"
"SUSA","","551.27M","26889.92%","548.65M","1.48M","547.17M","0","10"
"AAPL","","524.79M","12.52%","74.19M","450.61M","-376.42M","4","2"
"BRK/B","","465.98M","64.19%","79.27M","373.13M","-293.86M","7","75"
"IWD","","416.67M","139.96%","9.02M","375.11M","-366.09M","24","62"
"PG","","317.44M","31.89%","259.47M","57.97M","201.5M","1","4"
"VOO","","300.39M","-42.15%","154.68M","62.17M","92.5M","59","163"
"XOM","","291.15M","-20.91%","286.31M","0","286.31M","4","6"
"CVS","","288.67M","-34.2%","264.09M","16.02M","248.07M","7","8"
"CYTK","","287.87M","24.3%","74.59M","133.63M","-59.04M","46","201"
"TSLA","","273.51M","20.32%","114.98M","124.31M","-9.33M","9","6"
"IJR","","270.17M","205.73%","128.19M","91.31M","36.89M","45","115"
"AMZN","","262.15M","-56.28%","0","262.15M","-262.15M","2","1"
"PULS","","260.78M","1070.88%","61.92M","194.07M","-132.16M","0","14"
"IEMG","","260.37M","191.84%","111.68M","129.96M","-18.28M","7","61"
"SMCI","","258.05M","32.82%","181.77M","60.18M","121.59M","32","220"
"COIN","","240.42M","89.53%","110.42M","103.72M","6.7M","125","237"
"BIL","","239.79M","-15.8%","42.94M","59.92M","-16.98M","0","228"
"CVX","","229.72M","-16.82%","205.39M","11.2M","194.19M","3","7"
"MSFT","","227.45M","-54.65%","227.45M","0","227.45M","3","0"
"EFA","","216.43M","16.06%","20.81M","185.68M","-164.88M","14","60"
"JPM","","207.31M","55.37%","82.24M","125.07M","-42.83M","6","0"
"AVGO","","204.97M","149.95%","0","204.97M","-204.97M","4","2"
"QQQM","","199.66M","259.35%","85.97M","106.79M","-20.82M","12","32"
"BA","","195.65M","118.87%","34.62M","156.63M","-122.01M","11","21"
"MUB","","195.22M","13.68%","29.73M","120.32M","-90.6M","7","94"
"T","","179.64M","208.54%","19.11M","58.8M","-39.68M","1","14"
"VGT","","170.0M","685.82%","118.88M","43.83M","75.05M","2","29"
"AGG","","164.85M","-11.18%","78.15M","26.95M","51.2M","6","145"
"VFH","","163.49M","3893.95%","0","268.04K","-268.04K","0","2"
"KMX","","162.61M","2661.96%","1.37M","159.78M","-158.41M","5","8"
"INTC","","159.85M","409.41%","13.97M","133.53M","-119.57M","10","2"
"MS","","155.46M","112.58%","65.09M","90.37M","-25.28M","3","7"
"VTI","","153.46M","-25.49%","30.94M","34.23M","-3.28M","40","143"
"USFR","","152.25M","137.42%","24.27M","56.02M","-31.74M","0","108"
"MSCI","","150.55M","763.95%","76.73M","67.26M","9.47M","1","14"
"RSP","","146.84M","-25.5%","44.17M","68.59M","-24.42M","31","92"
"MARA","","143.5M","15.82%","48.64M","86.46M","-37.82M","210","105"
"EXR","","143.12M","1086.79%","4.46M","16.5M","-12.04M","1","27"
"PDD","","143.02M","35.89%","4.1M","138.93M","-134.83M","0","3"
"IDYA","","141.83M","722.1%","141.83M","0","141.83M","1","1"
"BBJP","","140.53M","254.64%","26.21M","111.43M","-85.22M","2","16"
"AXP","","132.88M","290.98%","121.09M","1.33M","119.76M","5","10"
"C","","132.43M","101.12%","106.79M","25.64M","81.15M","8","11"
"GUNR","","128.43M","8146.5%","63.14M","65.02M","-1.87M","4","6"
"UNH","","123.88M","155.64%","0","74.59M","-74.59M","0","10"
"CSCO","","117.73M","90.55%","80.73M","34.84M","45.9M","3","5"
"BILS","","117.72M","1078.2%","1.58M","110.31M","-108.73M","0","20"
"VWO","","117.19M","34.41%","16.01M","89.69M","-73.67M","2","63"
"VEA","","115.24M","18.43%","22.76M","71.3M","-48.54M","0","77"
"GOOG","","114.94M","-22.02%","114.94M","0","114.94M","1","0"
"WSO","","114.32M","3761.58%","114.32M","0","114.32M","0","5"
