"Symbol","Sentiment","TotalAmount","DailyAmount Change","AtAsk","AtBid","NetValue","DPTrades","BlockTrades"
"SPY","","2.88B","-54.73%","312.35M","2.34B","-2.02B","91","191"
"QQQ","","1.26B","-66.18%","201.21M","971.17M","-769.96M","61","102"
"IWM","","666.17M","2.46%","506.06M","146.47M","359.58M","19","31"
"NVDA","","664.05M","-29.55%","196.94M","467.1M","-270.16M","5","4"
"IVV","","423.41M","6.88%","34.79M","371.99M","-337.2M","20","47"
"AAPL","","355.57M","93.62%","66.63M","219.26M","-152.63M","5","2"
"XOM","","314.59M","-13.83%","295.15M","19.44M","275.71M","2","4"
"C","","304.35M","58.75%","254.73M","48.49M","206.24M","5","16"
"LLY","","296.2M","-13.72%","121.36M","169.22M","-47.85M","5","2"
"JPM","","293.68M","536.89%","97.3M","190.33M","-93.03M","1","4"
"ORCL","","260.5M","-2.93%","4.24M","256.26M","-252.03M","2","3"
"BRK/B","","255.47M","-33.31%","9.72M","60.31M","-50.59M","6","44"
"BMY","","243.66M","133.03%","0","241.57M","-241.57M","4","6"
"INTC","","240.61M","91.75%","0","229.86M","-229.86M","12","4"
"MRK","","234.62M","-0.27%","0","234.62M","-234.62M","0","6"
"HUM","","228.79M","117.7%","166.08M","62.09M","104.0M","2","10"
"LOW","","207.33M","65.34%","205.36M","0","205.36M","1","5"
"MSFT","","204.59M","-47.9%","30.97M","173.62M","-142.65M","3","0"
"AVGO","","193.91M","131.83%","111.26M","82.66M","28.6M","4","5"
"CVX","","192.75M","-15.78%","192.75M","0","192.75M","0","3"
"FIS","","186.73M","254.83%","116.65M","68.14M","48.51M","1","10"
"DG","","182.43M","98.98%","162.75M","6.63M","156.12M","1","38"
"MS","","178.61M","63.66%","131.98M","46.63M","85.35M","0","8"
"PG","","167.18M","5.44%","125.02M","0","125.02M","0","4"
"META","","162.63M","-44.87%","15.16M","147.47M","-132.3M","3","1"
"HPQ","","162.42M","149.68%","0","162.42M","-162.42M","0","10"
"GOOGL","","151.08M","11.61%","0","151.08M","-151.08M","4","0"
"AGG","","149.71M","91.54%","93.42M","38.32M","55.1M","2","45"
"GS","","144.18M","143.48%","3.05M","141.13M","-138.08M","2","4"
"CMI","","142.67M","222.61%","3.14M","138.64M","-135.5M","0","12"
"DHR","","139.56M","28.3%","72.61M","66.96M","5.65M","0","5"
"AMZN","","134.02M","-62.54%","0","134.02M","-134.02M","6","0"
"EWZ","","131.08M","41.26%","126.25M","4.83M","121.42M","1","24"
"PEG","","128.37M","333.8%","123.41M","867.41K","122.54M","0","11"
"LIN","","124.88M","25.65%","124.88M","0","124.88M","0","4"
"TJX","","124.12M","1.76%","50.93M","10.17M","40.76M","0","6"
"NFLX","","123.8M","204.91%","21.6M","66.57M","-44.96M","2","24"
"UPS","","122.57M","-13.11%","83.63M","12.78M","70.85M","1","17"
"TQQQ","","121.51M","-64.09%","23.76M","25.22M","-1.46M","35","231"
"LYB","","117.41M","99.56%","1.11M","115.96M","-114.85M","0","6"
"FICO","","113.21M","174.05%","101.46M","11.75M","89.72M","0","4"
"MO","","111.22M","57.2%","0","106.2M","-106.2M","5","4"
"SQQQ","","111.01M","-48.85%","31.09M","32.6M","-1.51M","7","189"
"BIL","","107.64M","-70.86%","28.54M","28.48M","57.79K","0","95"
"WFC","","97.04M","-18.63%","97.04M","0","97.04M","4","1"
"MUB","","96.49M","-66.29%","45.32M","29.85M","15.46M","4","63"
"PM","","92.43M","111.56%","92.43M","0","92.43M","0","5"
"PFE","","90.32M","-34.24%","90.32M","0","90.32M","2","1"
"PYPL","","88.98M","-14.79%","40.48M","44.72M","-4.24M","7","2"
"BND","","87.46M","-4.92%","7.49M","40.08M","-32.59M","0","69"
"KO","","86.8M","-48.82%","4.63M","29.71M","-25.09M","1","3"
"FI","","85.46M","32.18%","0","83.31M","-83.31M","0","5"
"MMM","","83.82M","71.66%","63.33M","17.37M","45.96M","1","17"
"GOVT","","83.49M","53.49%","45.47M","30.37M","15.11M","0","33"
"BABA","","82.59M","14.91%","2.31M","80.28M","-77.97M","3","2"
"AKAM","","81.75M","144.84%","35.03M","35.71M","-681.85K","6","26"
"DLR","","80.96M","644.51%","43.81M","37.15M","6.66M","1","6"
"ISRG","","79.37M","44.02%","0","79.37M","-79.37M","6","0"
"CME","","76.3M","586.81%","0","76.3M","-76.3M","0","6"
"BF/B","","76.22M","299.05%","70.18M","6.05M","64.13M","0","7"
"DIS","","74.78M","-61.59%","66.43M","8.35M","58.08M","3","2"
"RBLX","","72.55M","175.83%","1.19M","67.58M","-66.39M","4","19"
"IEMG","","72.47M","46.91%","9.52M","49.28M","-39.76M","0","90"
"HLT","","71.54M","-9.14%","979.59K","6.17M","-5.19M","0","9"
