"Symbol","Sentiment","TotalAmount","DailyAmount Change","AtAsk","AtBid","NetValue","DPTrades","BlockTrades"
"SPY","Bearish","5.64B","-27.53%","1.03B","4.22B","-3.2B","194","232"
"QQQ","Bearish","3.38B","0.26%","1.33B","1.84B","-511.82M","197","280"
"VUG","Bearish","1.02B","1493.28%","20.41M","988.5M","-968.1M","7","45"
"AAPL","Bullish","998.56M","182.94%","559.93M","438.63M","121.31M","3","1"
"MSFT","Bullish","952.39M","455.14%","868.78M","83.61M","785.18M","5","0"
"SCHO","Bullish","906.05M","5256.73%","898.27M","4.35M","893.91M","1","13"
"IWM","Bearish","879.18M","-7.87%","146.13M","654.16M","-508.03M","37","53"
"VGIT","Bullish","790.9M","3678.45%","784.47M","883.35K","783.59M","1","17"
"LSI","Bullish","725.71M","1128.63%","479.61M","246.11M","233.5M","12","2"
"VCIT","Bullish","682.47M","766.29%","346.44M","331.72M","14.72M","1","19"
"VGLT","Bearish","591.49M","2140.64%","1.54M","587.99M","-586.45M","6","7"
"EXR","Bullish","569.22M","285.56%","425.34M","137.88M","287.45M","12","18"
"ATVI","Bearish","523.62M","-3.49%","169.55M","273.76M","-104.21M","57","87"
"CHTR","Bullish","481.22M","1495.84%","426.72M","52.16M","374.56M","4","20"
"BND","Bearish","461.28M","159.91%","98.82M","337.43M","-238.61M","5","82"
"RSP","Bullish","460.87M","158.96%","300.63M","129.58M","171.05M","30","94"
"TQQQ","Bullish","426.17M","-0.99%","127.78M","115.41M","12.37M","181","638"
"VCSH","Bearish","413.31M","262.53%","128.54M","144.13M","-15.59M","0","131"
"GOVT","Bearish","386.99M","1348.73%","20.42M","356.48M","-336.06M","6","48"
"TSLA","Bullish","374.9M","-36.72%","234.37M","132.28M","102.09M","8","3"
"ACWI","Bullish","370.01M","68.73%","271.4M","98.62M","172.78M","5","4"
"IEFA","Bearish","343.42M","622.66%","68.21M","264.77M","-196.56M","4","49"
"XOM","Bearish","325.3M","-17.36%","74.29M","251.01M","-176.71M","5","5"
"VTV","Bearish","320.12M","326.72%","13.5M","290.06M","-276.57M","13","72"
"VGT","Bullish","307.1M","335.61%","298.97M","4.51M","294.46M","4","14"
"VOO","Bullish","296.11M","78.33%","158.03M","36.79M","121.24M","32","144"
"KBWB","Bullish","283.31M","5472.57%","278.99M","3.89M","275.1M","2","8"
"JIRE","Bearish","279.38M","2612.06%","66.61M","211.71M","-145.1M","2","3"
"IVV","Bearish","264.9M","-55.98%","78.45M","109.18M","-30.73M","23","114"
"PG","Bearish","255.98M","0.66%","0","251.53M","-251.53M","2","4"
"META","Bullish","242.09M","-18.34%","121.13M","120.97M","159.08K","4","1"
"BIL","Bullish","236.91M","8.02%","100.46M","52.04M","48.42M","0","199"
"MS","Bullish","235.26M","69.4%","149.7M","83.88M","65.83M","9","9"
"BRK/B","Bullish","234.37M","-22.96%","190.29M","30.05M","160.24M","21","77"
"CVNA","Bullish","231.44M","364.08%","114.03M","99.63M","14.41M","276","312"
"AGG","Bearish","229.77M","118.52%","98.21M","101.73M","-3.52M","11","92"
"SQQQ","Bearish","225.44M","12.24%","68.32M","80.72M","-12.4M","58","386"
"CSCO","Bullish","223.49M","408.29%","7.82M","0","7.82M","0","3"
"GS","Bearish","220.34M","294.12%","60.76M","114.68M","-53.92M","11","34"
"JPM","Bullish","212.82M","-8.52%","115.56M","97.27M","18.29M","6","5"
