"Symbol","Sentiment","TotalAmount","DailyAmount Change","AtAsk","AtBid","NetValue","DPTrades","BlockTrades"
"SPY","Bearish","6.9B","9.1%","2.31B","4.3B","-1.99B","214","284"
"TSLA","Bearish","6.03B","-15.02%","1.96B","2.02B","-56.38M","3258","8695"
"QQQ","Bullish","4.1B","21.96%","2.48B","1.33B","1.15B","191","227"
"NVDA","Bearish","2.17B","-27.53%","749.84M","821.45M","-71.61M","473","2319"
"META","Bearish","1.71B","-16.82%","304.02M","984.15M","-680.14M","301","1261"
"MSFT","Bearish","1.15B","-38.58%","427.62M","462.72M","-35.1M","371","758"
"AAPL","Bullish","1.1B","-34.75%","446.0M","332.88M","113.12M","410","1017"
"XOM","Bullish","910.01M","70.42%","685.96M","143.64M","542.32M","120","218"
"CVX","Bearish","852.03M","194.57%","39.0M","721.84M","-682.84M","60","139"
"AMD","Bearish","825.5M","6.13%","189.71M","305.99M","-116.28M","387","1072"
"IWM","Bearish","823.54M","22.35%","92.25M","723.12M","-630.87M","29","29"
"LQD","Bullish","794.51M","16.69%","373.5M","293.03M","80.47M","26","273"
"AMZN","Bearish","790.52M","-7.56%","174.72M","341.42M","-166.7M","346","994"
"HYG","Bullish","701.83M","8.39%","316.62M","232.22M","84.4M","20","190"
"ABBV","Bullish","673.83M","134.82%","581.66M","76.99M","504.67M","6","66"
"IVV","Bearish","607.31M","3.68%","96.25M","438.82M","-342.57M","31","135"
"INTC","Bullish","592.26M","280.24%","534.53M","24.21M","510.32M","67","103"
"JNJ","Bearish","540.66M","-31.49%","179.6M","241.01M","-61.4M","120","335"
"PG","Bullish","511.1M","37.93%","485.36M","12.7M","472.66M","13","65"
"PFE","Bullish","501.21M","158.33%","397.5M","68.11M","329.39M","35","100"
"MMM","Bullish","490.27M","385.36%","482.31M","5.36M","476.95M","3","37"
"TGT","Bearish","444.87M","311.79%","8.65M","415.62M","-406.97M","26","34"
"GOOGL","Bearish","437.2M","-47.42%","89.6M","186.86M","-97.26M","129","453"
"PEP","Bearish","406.88M","152.14%","9.74M","385.99M","-376.25M","8","34"
"DIS","Bullish","386.96M","16.87%","270.91M","55.1M","215.81M","108","253"
"FXI","Bearish","386.77M","466.82%","43.66M","324.39M","-280.74M","14","27"
"TQQQ","Bearish","374.02M","-11.63%","98.84M","109.97M","-11.13M","141","594"
"NFLX","Bearish","358.27M","38.04%","78.75M","236.57M","-157.82M","43","295"
"ROKU","Bearish","348.23M","167.9%","141.79M","156.57M","-14.79M","212","570"
"LLY","Bullish","337.05M","70.89%","305.41M","28.36M","277.06M","5","48"
"DHR","Bullish","329.97M","18.23%","273.53M","15.64M","257.89M","7","88"
"FRT","Bearish","312.39M","7853.9%","3.49M","308.9M","-305.41M","3","6"
"C","Bearish","299.81M","55.01%","18.03M","257.95M","-239.93M","25","54"
"DRI","Bearish","290.03M","1229.29%","979.15K","285.49M","-284.51M","2","23"
"QCOM","Bearish","289.46M","113.28%","33.43M","230.45M","-197.02M","60","87"
"BRK/B","Bearish","288.97M","-1.1%","5.53M","268.87M","-263.35M","27","67"
"ATVI","Bullish","281.53M","112.64%","150.1M","97.62M","52.48M","19","129"
"LMT","Bearish","271.34M","111.76%","41.98M","215.63M","-173.65M","0","28"
"ED","Bullish","271.13M","708.66%","228.33M","42.47M","185.86M","0","18"
"SO","Bullish","270.31M","213.05%","266.83M","2.82M","264.01M","2","20"
"BABA","Bearish","269.71M","-13.11%","82.79M","108.54M","-25.75M","109","280"
"MRK","Bearish","264.1M","-6.69%","4.58M","241.84M","-237.26M","11","68"
"LIN","Bearish","261.31M","44.78%","9.1M","39.6M","-30.5M","1","32"
