"Time","Symbol","Type","Price","Size","Value","Filled","Sector","Mcap Proportion"
"06-06 17:33:33.584","TMUS","Darkpool","128.54","50.0K","6.43M","AtBid","Communication Services","50000"
"06-06 17:32:34.251","NEX","Darkpool","8.3","37.55K","311.63K","AtBid","Energy","37546"
"06-06 17:29:31.471","QQQ","Darkpool","354.84","50.0K","17.74M","AtBid","Financial","0"
"06-06 17:00:00.642","GEHC","Darkpool","82.93","6.17K","511.76K","AtAsk","N/A","6171"
"06-06 17:00:00.522","NCLH","Darkpool","16.75","25.3K","423.77K","AtBid","Consumer Cyclical","25300"
"06-06 17:00:00.515","NCLH","Darkpool","16.75","234.7K","3.93M","AtBid","Consumer Cyclical","234700"
"06-06 17:00:00.512","FISV","Darkpool","114.23","4.43K","505.58K","AtBid","Technology","4426"
"06-06 16:56:47.548","TSLA","Darkpool","223.5","4.1K","916.35K","AtAsk","Consumer Cyclical","4100"
"06-06 16:52:17.175","QS","Darkpool","7.29","146.43K","1.07M","AtAsk","Consumer Cyclical","146430"
"06-06 16:52:17.153","TWLO","Darkpool","68.02","30.47K","2.07M","AtBid","Communication Services","30466"
"06-06 16:52:17.057","BMY","Darkpool","65.48","57.01K","3.73M","AtBid","Healthcare","57006"
"06-06 16:52:17.023","AMZN","Darkpool","126.61","15.73K","1.99M","AtAsk","Consumer Cyclical","15733"
"06-06 16:52:17.018","URI","Darkpool","371.16","11.03K","4.09M","AtBid","Industrials","11027"
"06-06 16:52:17.009","AAPL","Darkpool","179.21","215.8K","38.67M","AtAsk","Technology","215797"
"06-06 16:52:16.999","LUMN","Darkpool","1.8","815.52K","1.47M","AtBid","Communication Services","815523"
"06-06 16:52:16.960","ARRY","Darkpool","22.74","79.08K","1.8M","AtBid","N/A","79084"
"06-06 16:52:16.859","AMD","Darkpool","124.23","123.94K","15.4M","AtBid","Technology","123944"
"06-06 16:52:16.857","UBER","Darkpool","40.25","129.97K","5.23M","AtBid","Technology","129968"
"06-06 16:52:16.849","PATH","Darkpool","19.46","137.04K","2.67M","AtBid","N/A","137045"
"06-06 16:52:16.839","ZS","Darkpool","152.99","8.9K","1.36M","AtBid","Technology","8899"
"06-06 16:52:16.838","ESTC","Darkpool","71.44","125.61K","8.97M","AtBid","Technology","125611"
"06-06 16:52:16.829","CRM","Darkpool","212.85","21.48K","4.57M","AtAsk","Technology","21483"
"06-06 16:52:16.811","AA","Darkpool","34.55","67.03K","2.32M","AtBid","Basic Materials","67026"
"06-06 16:52:16.810","SCHW","Darkpool","54.61","50.56K","2.76M","AtAsk","Financial","50562"
"06-06 16:52:16.805","MPW","Darkpool","8.98","133.57K","1.2M","AtBid","Real Estate","133574"
"06-06 16:52:16.800","ENPH","Darkpool","182.61","29.11K","5.32M","AtBid","Technology","29112"
"06-06 16:52:16.787","KO","Darkpool","60.31","31.12K","1.88M","AtBid","Consumer Defensive","31117"
"06-06 16:52:16.786","META","Darkpool","271.12","7.91K","2.15M","AtBid","Communication Services","7913"
"06-06 16:52:16.778","IONS","Darkpool","43.33","23.33K","1.01M","AtAsk","Healthcare","23331"
"06-06 16:52:16.778","CVS","Darkpool","70.51","37.17K","2.62M","AtBid","Healthcare","37173"
"06-06 16:49:53.585","QQQM","Darkpool","145.58","1.81K","264.23K","AtBid","N/A","1815"
"06-06 16:46:58.178","NYCB","Darkpool","10.87","34.18K","371.58K","AtAsk","Financial","34184"
"06-06 16:46:58.177","PDD","Darkpool","72.81","621.15K","45.23M","AtAsk","Consumer Cyclical","621152"
"06-06 16:46:58.172","WBD","Darkpool","12.1","249.23K","3.02M","AtBid","N/A","249229"
"06-06 16:46:58.170","NVO","Darkpool","160.76","4.84K","777.44K","AtBid","Healthcare","4836"
"06-06 16:46:58.144","CLDX","Darkpool","34.97","33.34K","1.17M","AtBid","Healthcare","33344"
"06-06 16:46:58.143","UVXY","Darkpool","2.31","180.52K","417.01K","AtBid","Financial","180523"
"06-06 16:46:57.069","TXN","Darkpool","170.36","13.59K","2.32M","AtAsk","Technology","13593"
"06-06 16:46:57.069","PLTR","Darkpool","15.46","95.22K","1.47M","AtAsk","Technology","95219"
"06-06 16:46:56.145","DOW","Darkpool","52.59","78.81K","4.14M","AtAsk","Basic Materials","78811"
"06-06 16:46:56.091","MSFT","Darkpool","333.68","92.17K","30.75M","AtAsk","Technology","92167"
"06-06 16:46:55.757","AMD","Darkpool","124.23","30.52K","3.79M","AtBid","Technology","30516"
"06-06 16:46:55.530","GILD","Darkpool","76.2","37.3K","2.84M","AtBid","Healthcare","37302"
"06-06 16:46:55.519","LYB","Darkpool","89","35.4K","3.15M","AtBid","Basic Materials","35397"
"06-06 16:46:55.509","ALGN","Darkpool","304.68","1.94K","590.17K","AtBid","Healthcare","1937"
"06-06 16:46:55.491","HCA","Darkpool","271.19","4.73K","1.28M","AtBid","Healthcare","4727"
"06-06 16:46:55.274","EPAM","Darkpool","208.77","13.0K","2.71M","AtAsk","Technology","13000"
"06-06 16:46:55.105","IT","Darkpool","339.38","2.56K","868.47K","AtBid","Technology","2559"
"06-06 16:46:55.101","GOOG","Darkpool","127.91","194.12K","24.83M","AtAsk","Communication Services","194120"
"06-06 16:46:54.517","LCID","Darkpool","6.9","424.49K","2.93M","AtAsk","Consumer Cyclical","424492"
"06-06 16:46:54.512","DOW","Darkpool","52.59","22.16K","1.17M","AtAsk","Basic Materials","22163"
"06-06 16:46:54.021","SPLG","Darkpool","50.32","6.79K","341.42K","AtBid","N/A","6785"
"06-06 16:46:53.987","BA","Darkpool","207.29","24.69K","5.12M","AtAsk","Industrials","24690"
"06-06 16:46:52.529","BKNG","Darkpool","2708.1","1.47K","3.99M","NoMatch","Consumer Cyclical","1474"
"06-06 16:46:52.499","C","Darkpool","47.22","14.19K","670.1K","AtAsk","Financial","14191"
"06-06 16:46:51.256","RMD","Darkpool","221.99","2.96K","656.65K","AtBid","Healthcare","2958"
"06-06 16:46:51.247","PYPL","Darkpool","65.02","34.42K","2.24M","AtBid","Financial","34420"
"06-06 16:46:51.209","SBUX","Darkpool","98.22","237.37K","23.31M","AtBid","Consumer Cyclical","237365"
"06-06 16:46:51.172","AVGO","Darkpool","790","6.37K","5.03M","AtAsk","Technology","6370"
"06-06 16:46:51.152","PD","Darkpool","22.92","19.69K","451.27K","AtBid","Technology","19689"
"06-06 16:46:51.098","ROKU","Darkpool","62.98","5.16K","324.98K","AtBid","Communication Services","5160"
"06-06 16:46:51.078","NFLX","Darkpool","399.29","1.34K","535.45K","AtAsk","Communication Services","1341"
"06-06 16:46:51.062","SQ","Darkpool","65.98","65.25K","4.31M","AtBid","Technology","65250"
"06-06 16:46:51.048","UNH","Darkpool","487.57","25.92K","12.64M","AtBid","Healthcare","25917"
"06-06 16:46:50.300","BMY","Darkpool","65.48","53.51K","3.5M","AtBid","Healthcare","53510"
