"Time","Symbol","Type","Price","Size","Value","Filled","Sector","Mcap Proportion"
"07-21 17:34:31.953","TMF","Darkpool","7.53","98.8K","743.96K","AtBid","N/A","98800"
"07-21 17:34:12.575","BABA","Darkpool","92.17","135.7K","12.51M","AtAsk","Consumer Cyclical","0.00530078125"
"07-21 17:34:12.570","BABA","Darkpool","92.17","1.33M","122.51M","AtAsk","Consumer Cyclical","0.051921875"
"07-21 17:34:12.527","VKTX","Darkpool","15.36","465.8K","7.15M","AtAsk","Healthcare","0.6846979273849773"
"07-21 17:34:12.521","ASML","Darkpool","693.36","53.9K","37.37M","AtAsk","Technology","0.013659333975366212"
"07-21 17:34:12.519","SNAP","Darkpool","12.74","135.6K","1.73M","AtBid","Communication Services","0.010935483870967742"
"07-21 17:34:12.513","RDFN","Darkpool","14.04","93.8K","1.32M","AtAsk","Real Estate","0.08940144872283645"
"07-21 17:34:12.496","PBR","Darkpool","13.93","821.2K","11.44M","AtBid","Energy","0.019552380952380953"
"07-21 17:34:12.496","NEXT","Darkpool","6.25","93.1K","581.88K","AtBid","Energy","0.06888642249352571"
"07-21 17:34:12.491","RWT","Darkpool","6.81","140.1K","954.08K","AtBid","Real Estate","0.12482181040627227"
"07-21 17:20:59.306","CRM","Darkpool","228.06","18.64K","4.25M","AtBid","Technology","0.0019268017901623755"
"07-21 17:20:58.558","MRK","Darkpool","110.39","37.03K","4.09M","AtBid","Healthcare","0.0014635573122529645"
"07-21 17:20:57.353","FDX","Darkpool","259.67","48.1K","12.49M","AtBid","Industrials","0.020015812908326745"
"07-21 17:20:57.282","ENPH","Darkpool","177.48","9.64K","1.71M","AtAsk","Technology","0.0072388676128257124"
"07-21 17:20:57.113","MU","Darkpool","65.65","199.85K","13.12M","AtBid","Technology","0.01833467889908257"
"07-21 17:20:56.886","DDOG","Darkpool","109.87","30.0K","3.3M","AtBid","Technology","0.011383903160930445"
"07-21 17:20:56.855","PFE","Darkpool","37.4","66.97K","2.5M","AtAsk","Healthcare","0.0011938324420677363"
"07-21 17:20:56.756","AMZN","Darkpool","130","152.66K","19.85M","AtBid","Consumer Cyclical","0.0016486501079913606"
"07-21 17:14:54.101","TMF","Darkpool","7.53","98.8K","743.96K","AtBid","N/A","98800"
"07-21 17:14:52.875","SNAP","Darkpool","12.74","135.6K","1.73M","AtBid","Communication Services","0.010935483870967742"
"07-21 17:14:52.870","RWT","Darkpool","6.81","140.1K","954.08K","AtBid","Real Estate","0.12482181040627227"
"07-21 17:14:52.864","PBR","Darkpool","13.93","821.2K","11.44M","AtBid","Energy","0.019552380952380953"
"07-21 17:14:52.825","NEXT","Darkpool","6.25","93.1K","581.88K","AtBid","Energy","0.06888642249352571"
"07-21 17:14:52.818","VKTX","Darkpool","15.36","465.8K","7.15M","AtAsk","Healthcare","0.6846979273849773"
"07-21 17:14:52.812","ASML","Darkpool","693.36","53.9K","37.37M","AtAsk","Technology","0.013659333975366212"
"07-21 17:14:52.766","BABA","Darkpool","92.17","1.46M","135.02M","AtAsk","Consumer Cyclical","0.05722265625"
"07-21 17:00:26.517","AAPL","Darkpool","191.94","2.83M","542.45M","AtBid","Technology","0.017989471674092934"
"07-21 17:00:01.799","AAPL","Darkpool","191.94","4.7M","902.12M","AtBid","Technology","0.02991725015913431"
"07-21 16:57:18.094","ALLY","Darkpool","28.7","325.0K","9.33M","AtAsk","Financial","0.10951610729208788"
"07-21 16:54:09.032","IWM","Darkpool","194.46","20.0K","3.89M","AtAsk","Financial","0"
"07-21 16:53:34.028","IWM","Darkpool","194.46","10.0K","1.94M","AtAsk","Financial","0"
"07-21 16:53:25.866","SPY","Darkpool","452.18","535.39K","242.09M","AtAsk","Financial","0"
"07-21 16:53:03.853","PFE","Darkpool","37.4","70.4K","2.63M","AtAsk","Healthcare","0.0012549019607843138"
"07-21 16:52:51.509","LULU","Darkpool","382.96","5.72K","2.19M","AtBid","Consumer Cyclical","0.005364275668073137"
"07-21 16:52:51.507","META","Darkpool","294.26","107.99K","31.78M","AtAsk","Communication Services","0.004908590909090909"
"07-21 16:52:51.423","ASML","Darkpool","693.36","3.97K","2.75M","AtAsk","Technology","0.0010063865375842668"
"07-21 16:52:51.404","ELS","Darkpool","72","67.66K","4.87M","AtAsk","Real Estate","0.03823462929475588"
"07-21 16:52:51.397","GEHC","Darkpool","82.63","13.49K","1.12M","AtAsk","N/A","13495"
"07-21 16:52:51.389","INFY","Darkpool","16.3","171.56K","2.8M","AtBid","Technology","0.004819129213483146"
"07-21 16:52:51.372","SNAP","Darkpool","12.74","115.0K","1.47M","AtBid","Communication Services","0.009274354838709677"
"07-21 16:52:51.352","MRNA","Darkpool","126.43","14.36K","1.82M","AtBid","Healthcare","0.0041393324494148846"
"07-21 16:52:51.336","GOOG","Darkpool","120.31","164.44K","19.78M","AtBid","Communication Services","0.003218082191780822"
