"Time","Symbol","Type","Price","Size","Value","Filled","Sector","Mcap Proportion"
"07-19 17:38:46.553","FDX","Darkpool","260.26","82.0K","21.34M","AtAsk","Industrials","0.03412259165244892"
"07-19 17:38:14.393","EXR","Darkpool","148.96","3.37K","501.4K","AtBid","Real Estate","0.0040583554376657826"
"07-19 17:26:41.087","DFS","Darkpool","121.85","4.31K","525.17K","AtAsk","Financial","0.0017098425040663308"
"07-19 17:26:41.062","DFS","Darkpool","121.85","4.25K","517.5K","AtAsk","Financial","0.0016848494465822985"
"07-19 17:23:17.065","DFS","Darkpool","121.85","14.86K","1.81M","AtAsk","Financial","0.005895187844646328"
"07-19 17:19:19.380","DFS","Darkpool","121.85","3.3K","402.11K","AtAsk","Financial","0.0013091601539254969"
"07-19 17:17:05.331","NKLA","Darkpool","2.59","1.97M","5.11M","AtBid","Consumer Cyclical","0.6082160680179902"
"07-19 17:14:19.168","BAC","Darkpool","31.53","134.81K","4.25M","AtAsk","Financial","0.0016936055276381909"
"07-19 17:14:19.037","NFLX","Darkpool","477.59","4.9K","2.34M","AtAsk","Communication Services","0.0011162790697674418"
"07-19 17:10:27.501","JPST","Darkpool","50.13","30.12K","1.51M","AtAsk","N/A","30124"
"07-19 17:10:26.786","NAVI","Darkpool","19.55","145.7K","2.85M","AtAsk","Financial","0.11709394840472555"
"07-19 17:10:26.785","JD","Darkpool","36.41","697.0K","25.38M","AtBid","Consumer Cyclical","0.054453125"
"07-19 17:10:26.770","UFPT","Darkpool","202.25","13.0K","2.63M","AtAsk","Consumer Cyclical","0.18335684062059238"
"07-19 17:10:26.770","SG","Darkpool","15.4","48.1K","740.74K","AtBid","Financial","0.050573020712858796"
"07-19 17:10:26.769","COMP","Darkpool","3.76","257.0K","966.32K","AtAsk","N/A","257000"
"07-19 17:10:26.767","UNIT","Darkpool","5.26","147.2K","774.27K","AtAsk","Real Estate","0.0638002773925104"
"07-19 17:10:26.763","SG","Darkpool","15.4","145.2K","2.24M","AtBid","Financial","0.15266533487540743"
"07-19 17:10:26.762","TGNA","Darkpool","16.91","154.9K","2.62M","AtAsk","Communication Services","0.07784310769385397"
"07-19 17:10:26.761","UNIT","Darkpool","5.26","441.4K","2.32M","AtAsk","Real Estate","0.1913141470180305"
"07-19 17:10:26.759","OUT","Darkpool","16.28","238.2K","3.88M","AtBid","Real Estate","0.14625161171486462"
"07-19 17:10:26.750","GPI","Darkpool","271.12","11.7K","3.17M","AtAsk","Consumer Cyclical","0.08647450110864745"
"07-19 17:10:26.743","PBR","Darkpool","13.53","197.0K","2.67M","AtAsk","Energy","0.00469047619047619"
"07-19 17:10:26.743","MLCO","Darkpool","13.02","216.4K","2.82M","AtAsk","Consumer Cyclical","0.14647353458778936"
"07-19 17:10:26.739","TSM","Darkpool","103.06","255.5K","26.33M","AtAsk","Technology","0.005257201646090535"
"07-19 17:10:26.739","PBR","Darkpool","13.53","488.5K","6.61M","AtAsk","Energy","0.01163095238095238"
"07-19 17:10:26.734","JBLU","Darkpool","8.65","725.8K","6.28M","AtBid","Industrials","0.22545273817289474"
