"Time","Symbol","Type","Price","Size","Value","Filled","Sector","Mcap Proportion"
"08-10 17:43","SOXL","Darkpool","22.8894","92.84K","2.13M","AtAsk","Financial","92845"
"08-10 17:24","JKS","Darkpool","37.42","31.2K","1.17M","AtBid","Technology","0.09286146533725557"
"08-10 17:24","GDXJ","Darkpool","34.97","11.2K","391.66K","AtAsk","N/A","11200"
"08-10 17:24","AMZN","Darkpool","138.56","2.23M","308.68M","AtBid","Consumer Cyclical","0.024838829079802595"
"08-10 17:24","DQ","Darkpool","37.76","219.5K","8.29M","AtBid","Technology","0.3773458339842334"
"08-10 17:24","SNAP","Darkpool","10.22","293.3K","3.0M","AtBid","Communication Services","0.028934912776277622"
"08-10 17:24","NVDA","Darkpool","423.88","151.9K","64.39M","AtAsk","Technology","0.006407040236339223"
"08-10 17:24","ETNB","Darkpool","16.42","215.0K","3.53M","AtAsk","Healthcare","0.3532205947387086"
"08-10 17:24","GDX","Darkpool","29.17","11.33K","330.53K","AtAsk","Financial","11331"
"08-10 17:24","BABA","Darkpool","99.21","836.8K","83.02M","AtAsk","Consumer Cyclical","0.04054539804988594"
"08-10 17:24","ADMA","Darkpool","4.31","759.0K","3.27M","AtBid","Healthcare","0.36830289766016877"
"08-10 17:24","TAL","Darkpool","7.08","103.2K","730.66K","AtBid","Consumer Defensive","0.023922038632423412"
"08-10 17:24","ELF","Darkpool","133.22","15.8K","2.1M","AtAsk","Consumer Defensive","0.03080517654085982"
"08-10 17:24","TSM","Darkpool","94.8","1.22M","115.98M","AtAsk","Technology","0.0031634643520555886"
"08-10 17:24","ARCH","Darkpool","135.46","68.2K","9.24M","AtAsk","Energy","0.38812008799740905"
"08-10 17:24","MELI","Darkpool","1387.06","3.9K","5.41M","AtAsk","Consumer Cyclical","0.008412424503882658"
"08-10 17:24","AAPL","Darkpool","177.97","1.69M","300.0M","AtBid","Technology","0.0107288295690907"
"08-10 17:13","C","Darkpool","44.34","21.66K","960.27K","AtBid","Financial","0.0011600342499831096"
"08-10 17:13","F","Darkpool","12.16","261.6K","3.18M","AtBid","Consumer Cyclical","0.006672166743595953"
"08-10 17:13","F","Darkpool","12.16","102.69K","1.25M","AtBid","Consumer Cyclical","0.002619070487369625"
"08-10 17:06","AMZN","Darkpool","138.56","636.17K","88.15M","AtBid","Consumer Cyclical","0.0070930031475829325"
"08-10 17:06","GOOG","Darkpool","130.21","192.32K","25.04M","AtBid","Communication Services","0.0017679661247100359"
"08-10 17:06","AMD","Darkpool","110.23","414.88K","45.73M","AtBid","Technology","0.025892785237102544"
"08-10 17:06","GOOGL","Darkpool","129.69","250.0K","32.42M","AtBid","Communication Services","0.002298208876754934"
"08-10 17:06","KDNY","Darkpool","40.3","1.64M","66.2M","AtBid","N/A","1642593"
"08-10 17:00","SCHD","Darkpool","74.36","19.02K","1.41M","AtBid","N/A","19024"
"08-10 17:00","BMY","Darkpool","61.29","23.02K","1.41M","AtBid","Healthcare","0.0011033318396971965"
"08-10 17:00","T","Darkpool","14.17","589.55K","8.35M","AtBid","Communication Services","0.008260651023931899"
"08-10 17:00","TSN","Darkpool","53.75","6.55K","352.33K","AtBid","Consumer Defensive","0.0023519380290485913"
"08-10 17:00","TCOM","Darkpool","41.36","52.78K","2.18M","AtBid","Consumer Cyclical","0.009888181498793735"
"08-10 17:00","SPWR","Darkpool","8.32","208.32K","1.73M","AtBid","Technology","0.24091279582433547"
"08-10 17:00","MO","Darkpool","43.92","416.36K","18.29M","AtBid","Consumer Defensive","0.023489125488486435"
"08-10 17:00","BLV","Darkpool","71.08","10.21K","725.51K","AtAsk","N/A","10207"
"08-10 17:00","MELI","Darkpool","1387.06","1.08K","1.5M","AtAsk","Consumer Cyclical","0.002327437446074202"
