"Time","Symbol","Type","Price","Size","Value","Filled","Sector","Mcap Proportion"
"07-25 17:44:02.832","BANC","Darkpool","16.2","74.67K","1.21M","AtBid","Financial","0.14038349820224524"
"07-25 17:35:54.763","RHI","Darkpool","80.21","56.82K","4.56M","AtAsk","Industrials","0.055228311052371366"
"07-25 17:35:30.512","GOOG","Darkpool","122.79","155.9K","19.14M","AtBid","Communication Services","0.0014225340563391083"
"07-25 17:29:19.023","V","Darkpool","238.69","28.07K","6.7M","AtAsk","Financial","0.0017354820129232935"
"07-25 17:27:56.955","SNAP","Darkpool","10.37","48.05K","498.24K","AtAsk","Communication Services","0.004834955971298528"
"07-25 17:27:43.014","BANC","Darkpool","16.3","100.0K","1.63M","AtBid","Financial","0.1879926323431473"
"07-25 17:26:47.110","SNOW","Darkpool","179.29","6.0K","1.08M","AtAsk","Technology","0.002132491270051624"
"07-25 17:26:46.990","GOOGL","Darkpool","122.21","203.14K","24.83M","AtBid","Communication Services","0.0018536395464847258"
"07-25 17:26:46.859","CSCO","Darkpool","53.6","41.68K","2.23M","AtAsk","Technology","0.0010236489848989188"
"07-25 17:14:23.391","GOOGL","Darkpool","122.21","616.99K","75.4M","AtBid","Communication Services","0.005629975816921042"
"07-25 17:09:53.730","TMF","Darkpool","7.4","107.3K","794.02K","AtBid","N/A","107300"
"07-25 17:09:52.628","MHO","Darkpool","93.77","22.1K","2.07M","AtAsk","Consumer Cyclical","0.08137430823093027"
"07-25 17:09:52.627","MRNA","Darkpool","121.87","148.1K","18.05M","AtBid","Healthcare","0.043034743261652006"
"07-25 17:09:52.627","MOG/A","Darkpool","109.65","14.5K","1.59M","AtAsk","N/A","14500"
"07-25 17:09:52.627","ELF","Darkpool","114.1","32.1K","3.66M","AtBid","Consumer Defensive","0.06327097581170306"
"07-25 17:09:52.627","BABA","Darkpool","94.98","559.9K","53.18M","AtBid","Consumer Cyclical","0.026949721369531027"
"07-25 17:09:52.620","HTH","Darkpool","28.88","68.0K","1.96M","AtBid","Financial","0.1472044171023304"
"07-25 17:09:52.617","TRMK","Darkpool","23.64","11.1K","262.4K","AtBid","Financial","0.018705762136450144"
"07-25 17:09:52.609","PPBI","Darkpool","23.94","32.6K","780.44K","AtBid","Financial","0.03482177627418914"
"07-25 17:09:51.660","HUYA","Darkpool","3.07","906.82K","2.78M","AtBid","Communication Services","1.0412485498089785"
"07-25 17:09:51.659","HLF","Darkpool","15.99","49.0K","783.51K","AtBid","Consumer Defensive","0.07003463813152502"
"07-25 17:09:51.654","JBLU","Darkpool","7.88","638.8K","5.03M","AtBid","Industrials","0.1956208712317255"
"07-25 17:09:51.648","ABG","Darkpool","218.31","32.5K","7.1M","AtBid","Consumer Cyclical","0.1882496644666942"
"07-25 17:09:27.955","CHPT","Darkpool","8.12","249.69K","2.03M","AtBid","Consumer Cyclical","0.08346292084590329"
"07-25 17:09:27.877","NVAX","Darkpool","8","178.72K","1.43M","AtBid","Healthcare","0.22223199060063692"
"07-25 17:08:52.223","LULU","Darkpool","382.12","4.79K","1.83M","AtBid","Consumer Cyclical","0.0040985994738345945"
"07-25 17:08:52.212","BLDR","Darkpool","142.01","14.56K","2.07M","AtBid","Industrials","0.011607665869024354"
"07-25 17:08:52.016","ETSY","Darkpool","94.99","82.11K","7.8M","AtBid","Consumer Cyclical","0.06714508730582809"
"07-25 17:08:51.968","MCD","Darkpool","292.36","86.9K","25.41M","AtBid","Consumer Cyclical","0.01193075286749222"
"07-25 17:08:51.964","GM","Darkpool","37.92","39.49K","1.5M","AtAsk","Consumer Cyclical","0.0028484005760083873"
"07-25 17:08:51.963","INTC","Darkpool","34.1","61.86K","2.11M","AtAsk","Technology","0.001484367296167089"
"07-25 17:08:51.954","C","Darkpool","47.09","55.48K","2.61M","AtBid","Financial","0.002971673830854363"
"07-25 17:08:51.939","BIIB","Darkpool","270.31","10.82K","2.92M","AtAsk","Healthcare","0.007498148608703973"
"07-25 17:08:51.916","SCHW","Darkpool","65.44","597.9K","39.13M","AtBid","Financial","0.03601789156626506"
"07-25 17:08:51.916","NVDA","Darkpool","456.79","63.65K","29.07M","AtBid","Technology","0.0026846721790833123"
"07-25 17:08:51.911","MRNA","Darkpool","121.87","21.19K","2.58M","AtBid","Healthcare","0.00615678690228145"
"07-25 17:08:51.897","BLK","Darkpool","746.02","1.64K","1.22M","AtBid","Financial","0.0011714029321136237"
"07-25 17:08:51.892","AMD","Darkpool","113","200.11K","22.61M","AtBid","Technology","0.012501283865534962"
"07-25 17:08:51.883","MANH","Darkpool","193.32","6.05K","1.17M","AtBid","Technology","0.009850547377932966"
"07-25 17:08:51.873","MELI","Darkpool","1181.84","67.67K","79.98M","AtBid","Consumer Cyclical","0.14597046870951408"
