"Time","Symbol","Type","Price","Size","Value","Filled","Sector","Mcap Proportion"
"09-14 17:41","SHOP","Darkpool","63.37","55.2K","3.5M","AtBid","Technology","0.004595699105131394"
"09-14 17:29","PTEN","Darkpool","15.81","391.9K","6.2M","AtBid","Energy","0.2241965554027045"
"09-14 17:29","TCOM","Darkpool","35.64","511.4K","18.23M","AtBid","Consumer Cyclical","0.09557160698822506"
"09-14 17:29","TCOM","Darkpool","35.64","287.6K","10.25M","AtBid","Consumer Cyclical","0.05374734878727713"
"09-14 17:29","NVDA","Darkpool","455.81","259.0K","118.05M","AtAsk","Technology","0.010924332673008741"
"09-14 17:29","STRL","Darkpool","74.73","67.2K","5.02M","AtBid","Industrials","0.22598131376657987"
"09-14 17:29","COMP","Darkpool","3.18","759.7K","2.42M","AtBid","N/A","759700"
"09-14 17:29","MDGL","Darkpool","175.34","22.7K","3.98M","AtBid","Healthcare","0.2124205773965603"
"09-14 17:29","PBR","Darkpool","15.37","319.5K","4.91M","AtBid","Energy","0.007728651494069622"
"09-14 17:29","AMZN","Darkpool","144.72","549.3K","79.49M","AtAsk","Consumer Cyclical","0.006074524460339676"
"09-14 17:29","CRNX","Darkpool","29.28","283.2K","8.29M","AtBid","Healthcare","0.573342802937321"
"09-14 17:29","FRSH","Darkpool","20.56","104.8K","2.15M","AtAsk","N/A","104800"
"09-14 17:29","GDX","Darkpool","29.11","148.7K","4.33M","AtBid","Financial","148700"
"09-14 17:29","ALV","Darkpool","96.08","142.4K","13.68M","AtAsk","Consumer Cyclical","0.18796002771301656"
"09-14 17:29","GDX","Darkpool","29.11","25.1K","730.66K","AtBid","Financial","25100"
"09-14 17:17","INTC","Darkpool","38.67","142.38K","5.51M","AtAsk","Technology","0.0034027723844045404"
"09-14 17:17","XME","Darkpool","53.9","5.1K","275.0K","AtAsk","N/A","5102"
"09-14 17:17","MS","Darkpool","89.07","23.52K","2.1M","AtBid","Financial","0.0018452426060172893"
"09-14 17:16","IWM","Darkpool","185.55","10.0K","1.86M","AtBid","Financial","0"
"09-14 17:16","QQQ","Darkpool","377.27","108.3K","40.86M","AtBid","Financial","0"
"09-14 17:15","SPY","Darkpool","450.36","35.35K","15.92M","AtBid","Financial","0"
"09-14 17:15","SPY","Darkpool","450.36","100.0K","45.04M","AtBid","Financial","0"
"09-14 17:13","SPY","Darkpool","450.36","100.0K","45.04M","AtBid","Financial","0"
"09-14 17:12","QQQ","Darkpool","377.27","20.0K","7.55M","AtBid","Financial","0"
"09-14 17:11","IWM","Darkpool","185.55","200.0K","37.11M","AtBid","Financial","0"
"09-14 17:10","IWM","Darkpool","185.55","200.0K","37.11M","AtBid","Financial","0"
"09-14 17:08","SPY","Darkpool","450.36","321.05K","144.59M","AtBid","Financial","0"
"09-14 17:06","GOLD","Darkpool","16.31","76.76K","1.25M","AtBid","Basic Materials","0.004399952104913138"
"09-14 17:06","SHOP","Darkpool","63.37","151.38K","9.59M","AtBid","Technology","0.012602187340151259"
"09-14 17:06","ENB","Darkpool","35.27","85.75K","3.02M","AtBid","Energy","0.004244580160222618"
"09-14 17:06","CCJ","Darkpool","39.84","34.62K","1.38M","AtBid","Energy","0.008008310616476447"
"09-14 17:04","QQQ","Darkpool","377.27","18.0K","6.79M","AtBid","Financial","0"
"09-14 17:02","USO","Darkpool","81.12","150.0K","12.17M","AtBid","N/A","150000"
"09-14 17:02","SPXL","Darkpool","91.43","3.8K","347.43K","AtBid","N/A","3800"
"09-14 16:57","LUV","Darkpool","28.94","59.5K","1.72M","AtBid","Industrials","0.010031593534396872"
"09-14 16:57","NIO","Darkpool","10.38","146.93K","1.53M","AtAsk","Consumer Cyclical","0.011563750018175958"
"09-14 16:57","CE","Darkpool","128.88","14.42K","1.86M","AtAsk","Basic Materials","0.01399359595987611"
"09-14 16:57","SNAP","Darkpool","9.16","46.95K","430.07K","AtBid","Communication Services","0.004647629157612805"
"09-14 16:54","SPY","Darkpool","450.36","307.26K","138.38M","AtBid","Financial","0"
"09-14 16:50","XPEV","Darkpool","18.35","78.69K","1.44M","AtBid","Consumer Cyclical","0.01582455700365301"
"09-14 16:50","FREY","Darkpool","5.79","185.42K","1.07M","AtBid","N/A","185417"
"09-14 16:50","GOOG","Darkpool","138.99","316.18K","43.95M","AtBid","Communication Services","0.0029057027485268148"
"09-14 16:50","C","Darkpool","43.14","254.43K","10.98M","AtBid","Financial","0.01363317751991553"
"09-14 16:50","AMAT","Darkpool","144.57","18.98K","2.74M","AtBid","Technology","0.0022783126549259956"
"09-14 16:50","VTLE","Darkpool","54.52","25.77K","1.4M","AtBid","N/A","25769"
"09-14 16:50","CRM","Darkpool","218.78","19.05K","4.17M","AtBid","Technology","0.0020205049332387166"
"09-14 16:50","TGT","Darkpool","124.77","50.24K","6.27M","AtBid","Consumer Defensive","0.010917493510999956"
"09-14 16:50","ORCL","Darkpool","113.66","34.21K","3.89M","AtBid","Technology","0.0021918660842654074"
"09-14 16:50","ADBE","Darkpool","552.16","8.83K","4.87M","AtAsk","Technology","0.0019405672285484606"
"09-14 16:50","DIS","Darkpool","84.48","20.07K","1.7M","AtBid","Communication Services","0.001097721099056698"
"09-14 16:50","HAL","Darkpool","42.21","45.56K","1.92M","AtBid","Energy","0.005092066577932187"
"09-14 16:50","MRNA","Darkpool","112.81","24.02K","2.71M","AtBid","Healthcare","0.006988865176447179"
"09-14 16:50","MELI","Darkpool","1383.43","4.91K","6.79M","AtBid","Consumer Cyclical","0.010611669657663903"
"09-14 16:50","NVDA","Darkpool","455.81","692.34K","315.57M","AtAsk","Technology","0.029201964422780616"
"09-14 16:50","LUV","Darkpool","28.94","50.43K","1.46M","AtBid","Industrials","0.008501901969059346"
"09-14 16:50","ADC","Darkpool","60.08","42.36K","2.54M","AtBid","Real Estate","0.04487051519677278"
"09-14 16:50","ALB","Darkpool","184.97","7.23K","1.34M","AtBid","Basic Materials","0.006180544877075654"
"09-14 16:48","NTST","Darkpool","16.5","7.5M","123.75M","AtBid","N/A","7500000"
"09-14 16:47","C","Darkpool","43.14","37.81K","1.63M","AtBid","Financial","0.0020260885445232326"
"09-14 16:46","VXX","Darkpool","20.0045","1.2M","23.99M","AtAsk","Financial","1199377"
"09-14 16:45","USO","Darkpool","81.12","19.23K","1.56M","AtBid","N/A","19231"
"09-14 16:45","RIVN","Darkpool","24.11","11.19K","269.67K","AtAsk","Consumer Cyclical","0.0016913012135590499"
"09-14 16:44","VXX","Darkpool","20.0045","324.23K","6.49M","AtAsk","Financial","324230"
"09-14 16:37","QQQ","Darkpool","374.227","205.42K","76.87M","AtBid","Financial","0"
"09-14 16:37","GEHC","Darkpool","66","4.0K","263.93K","AtAsk","N/A","3999"
"09-14 16:37","SPY","Darkpool","450.36","78.53K","35.36M","AtBid","Financial","0"
"09-14 16:37","FIS","Darkpool","56.38","35.11K","1.98M","AtAsk","Technology","0.005948658144321048"
"09-14 16:37","CVNA","Darkpool","55.86","14.95K","835.33K","AtBid","Consumer Cyclical","0.019874168101465802"
"09-14 16:37","HPQ","Darkpool","27.82","9.7K","269.85K","AtAsk","Technology","0.001124567472945257"
"09-14 16:37","AMZN","Darkpool","144.72","92.54K","13.39M","AtAsk","Consumer Cyclical","0.0010233356453421673"
