"Time","Symbol","Type","Price","Size","Value","Filled","Sector","Mcap Proportion"
"07-27 17:18:51.337","NVAX","Darkpool","7.85","318.7K","2.5M","AtBid","Healthcare","0.3963032504514058"
"07-27 17:18:17.322","CVNA","Darkpool","40.46","53.2K","2.15M","AtBid","Consumer Cyclical","0.07091945770503515"
"07-27 17:15:14.552","HON","Darkpool","196.41","18.59K","3.65M","AtBid","Industrials","0.0029318973470332643"
"07-27 17:15:14.535","C","Darkpool","47.88","109.07K","5.22M","AtAsk","Financial","0.005842004687106148"
"07-27 17:15:14.524","WY","Darkpool","34.11","83.11K","2.83M","AtAsk","Real Estate","0.011380555158478325"
"07-27 17:15:14.519","WKC","Darkpool","23.06","46.52K","1.07M","AtAsk","N/A","46523"
"07-27 17:15:14.515","HOLX","Darkpool","80.39","97.84K","7.87M","AtAsk","Healthcare","0.04008720075452418"
"07-27 17:15:14.513","GTLB","Darkpool","46.875","168.11K","7.88M","AtBid","N/A","168107"
"07-27 17:15:14.511","CINF","Darkpool","102.62","12.36K","1.27M","AtBid","Financial","0.008489318814750716"
"07-27 17:15:14.508","LUV","Darkpool","33.02","87.39K","2.89M","AtAsk","Industrials","0.014747152853268962"
"07-27 17:15:14.506","CARG","Darkpool","21.8","51.78K","1.13M","AtBid","Communication Services","0.06709858442929242"
"07-27 17:15:14.483","CPNG","Darkpool","16.98","288.19K","4.89M","AtBid","N/A","288193"
"07-27 17:15:14.461","FTNT","Darkpool","76.58","23.82K","1.82M","AtAsk","Technology","0.0035860901424514123"
"07-27 17:15:14.445","CL","Darkpool","77.11","482.75K","37.23M","AtBid","Consumer Defensive","0.061896557669371514"
"07-27 17:15:14.428","IRBT","Darkpool","38.94","61.02K","2.38M","AtBid","Technology","0.23832380318003818"
"07-27 17:15:14.422","MRVL","Darkpool","63.89","42.53K","2.72M","AtBid","Technology","0.004979157613581875"
"07-27 17:15:14.369","BAX","Darkpool","45.48","29.95K","1.36M","AtBid","Healthcare","0.005941163071144978"
"07-27 17:15:14.357","RCL","Darkpool","109.68","127.82K","14.02M","AtAsk","Consumer Cyclical","0.05608229342514788"
"07-27 17:15:14.355","GGG","Darkpool","80.24","33.53K","2.69M","AtAsk","Industrials","0.020143217452986733"
"07-27 17:15:14.351","SCHW","Darkpool","65.82","153.61K","10.11M","AtAsk","Financial","0.009253674698795181"
"07-27 17:15:14.342","GM","Darkpool","38.97","99.56K","3.88M","AtAsk","Consumer Cyclical","0.007181847437079825"
"07-27 17:15:14.338","INTC","Darkpool","34.55","274.73K","9.49M","AtBid","Technology","0.006592759176850758"
"07-27 17:15:14.323","ALB","Darkpool","205.95","14.37K","2.96M","AtBid","Basic Materials","0.012278180229240848"
"07-27 17:15:14.322","A","Darkpool","126.66","20.25K","2.56M","AtAsk","N/A","20247"
"07-27 17:15:14.305","FSR","Darkpool","5.64","243.65K","1.37M","AtBid","Consumer Cyclical","0.13475590450009017"
"07-27 17:15:14.247","MET","Darkpool","62.32","28.8K","1.79M","AtAsk","Financial","0.004482649992626174"
"07-27 17:15:14.247","KSS","Darkpool","27.54","162.7K","4.48M","AtBid","Consumer Cyclical","0.1489732478013007"
"07-27 17:15:14.240","DOCU","Darkpool","52.01","20.16K","1.05M","AtBid","Technology","0.010063225702547397"
"07-27 17:15:14.226","AMD","Darkpool","111.1","20.07K","2.23M","AtBid","Technology","0.0012540267210022853"
"07-27 17:15:14.220","PLUG","Darkpool","11.65","157.16K","1.83M","AtBid","Industrials","0.029129384285489376"
"07-27 17:15:14.205","VICI","Darkpool","31.93","90.93K","2.9M","AtBid","Real Estate","0.009079135742081598"
"07-27 17:15:14.197","RVTY","Darkpool","128.63","17.84K","2.3M","AtAsk","N/A","17842"
"07-27 17:15:14.186","S","Darkpool","14.77","132.64K","1.96M","AtBid","N/A","132636"
"07-27 17:15:14.173","GEHC","Darkpool","76.86","38.3K","2.94M","AtAsk","N/A","38296"
"07-27 17:15:14.165","M","Darkpool","16.25","90.53K","1.47M","AtAsk","Consumer Cyclical","0.03345494605884671"
"07-27 17:15:14.155","ASML","Darkpool","708.12","6.64K","4.7M","AtBid","Technology","0.0016817882305235946"
"07-27 17:15:14.150","SLB","Darkpool","57.02","54.92K","3.13M","AtBid","Energy","0.003863515894143272"
"07-27 17:15:14.140","PYPL","Darkpool","72.03","41.38K","2.98M","AtBid","Financial","0.0037159836547228406"
"07-27 17:15:14.135","NVDA","Darkpool","459","65.03K","29.85M","AtBid","Technology","0.0027428796545681585"
"07-27 17:15:14.135","NEM","Darkpool","42.11","88.84K","3.74M","AtBid","Basic Materials","0.011191624988976934"
"07-27 17:15:14.129","AMZN","Darkpool","128.25","95.7K","12.27M","AtBid","Consumer Cyclical","0.0010651307210182914"
"07-27 17:15:14.111","CARR","Darkpool","56.75","26.37K","1.5M","AtBid","Industrials","0.0031642291705037914"
"07-27 17:15:14.100","SSNC","Darkpool","61.45","19.99K","1.23M","AtAsk","Technology","0.009239156864691702"
"07-27 17:15:14.098","PAGS","Darkpool","10.27","113.91K","1.17M","AtBid","Technology","0.06010397299814068"
"07-27 17:15:14.078","MRK","Darkpool","105.27","33.11K","3.49M","AtBid","Healthcare","0.0013064020748584724"
"07-27 17:15:14.050","SNAP","Darkpool","10.33","389.05K","4.02M","AtAsk","Communication Services","0.03915120843478286"
"07-27 17:15:14.043","MDLZ","Darkpool","72.36","22.93K","1.66M","AtBid","Consumer Defensive","0.0016870870323962902"
"07-27 17:15:14.030","META","Darkpool","311.71","246.02K","76.69M","AtBid","Communication Services","0.011251430684527858"
"07-27 17:15:14.022","BAC","Darkpool","31.95","705.2K","22.53M","AtAsk","Financial","0.00885924623115578"
"07-27 17:15:14.016","FCX","Darkpool","43.29","107.92K","4.67M","AtBid","Basic Materials","0.007546643356643357"
"07-27 17:15:13.943","BLK","Darkpool","729.07","7.13K","5.2M","AtBid","Financial","0.005086786894723755"
"07-27 17:15:13.937","DECK","Darkpool","537.02","4.01K","2.15M","AtAsk","Consumer Cyclical","0.015473762359609775"
"07-27 17:08:39.235","ROKU","Darkpool","73.7133","5.34K","393.92K","AtBid","Communication Services","0.004355392426114382"
"07-27 17:07:48.759","BABA","Darkpool","95.44","107.8K","10.29M","AtBid","Consumer Cyclical","0.005188747925764323"
"07-27 17:07:48.757","CD","Darkpool","7.87","412.6K","3.25M","AtAsk","N/A","412600"
"07-27 17:07:48.754","BABA","Darkpool","95.44","138.8K","13.25M","AtBid","Consumer Cyclical","0.006680873952653879"
"07-27 17:07:48.752","MTH","Darkpool","138.4","3.2K","442.88K","AtBid","Consumer Cyclical","0.008875791179704705"
"07-27 17:07:48.750","ACLS","Darkpool","182.75","4.0K","731.0K","AtBid","Technology","0.012382415038987892"
"07-27 17:07:48.746","ANF","Darkpool","38.96","9.3K","362.33K","AtBid","Consumer Cyclical","0.01921872295429713"
"07-27 17:07:48.743","UVE","Darkpool","16.13","60.7K","979.09K","AtBid","Financial","0.22179670384520211"
"07-27 17:07:48.743","MTH","Darkpool","138.4","59.9K","8.29M","AtBid","Consumer Cyclical","0.16614371614509743"
"07-27 17:07:48.730","JD","Darkpool","37.98","184.3K","7.0M","AtAsk","Consumer Cyclical","0.01555158011901524"
"07-27 17:07:47.840","LPG","Darkpool","28.24","15.5K","437.72K","AtBid","Energy","0.04128242164922635"
"07-27 17:07:47.838","FLOT","Darkpool","50.79","6.1K","309.82K","AtBid","N/A","6100"
"07-27 17:07:47.724","MQ","Darkpool","5.28","254.28K","1.34M","AtBid","N/A","254284"
"07-27 17:07:47.722","STM","Darkpool","54.23","279.9K","15.18M","AtBid","Technology","0.04296053065326337"
"07-27 17:07:47.716","TAL","Darkpool","6.43","2.11M","13.57M","AtAsk","Consumer Defensive","0.4858922393204535"
"07-27 17:07:47.710","GDX","Darkpool","30.35","29.05K","881.61K","AtBid","Financial","29048"
"07-27 16:52:51.047","BAC","Darkpool","31.95","81.93K","2.62M","AtAsk","Financial","0.0010292964824120602"
"07-27 16:49:24.224","ARRY","Darkpool","18.92","139.82K","2.65M","AtAsk","N/A","139823"
"07-27 16:49:24.221","DUK","Darkpool","94.44","10.74K","1.01M","AtBid","Utilities","0.001396300766419118"
"07-27 16:49:24.212","QCOM","Darkpool","125.85","17.23K","2.17M","AtBid","Technology","0.0015489683049217033"
"07-27 16:49:24.210","TTD","Darkpool","85.38","350.83K","29.95M","AtBid","Technology","0.07967876849856641"
"07-27 16:49:23.625","ATVI","Darkpool","92.14","19.25K","1.77M","AtBid","Communication Services","0.0024689235821584803"
"07-27 16:49:23.622","RBLX","Darkpool","37.91","31.57K","1.2M","AtBid","Communication Services","0.006734697434417929"
"07-27 16:49:23.618","TGTX","Darkpool","19.82","17.09K","338.68K","AtBid","Healthcare","0.014215172608739977"
"07-27 16:49:23.610","ABBV","Darkpool","148.85","30.55K","4.55M","AtBid","Healthcare","0.0017345944720400998"
"07-27 16:49:23.601","RIVN","Darkpool","26.05","30.69K","799.4K","AtBid","Consumer Cyclical","0.005003270663809877"
"07-27 16:49:23.587","U","Darkpool","43.21","10.48K","452.97K","AtBid","Technology","0.004431315947052745"
