"Time","Symbol","Type","Price","Size","Value","Filled","Sector","Mcap Proportion"
"07-12 17:42:44.926","EFA","Darkpool","73.11","76.34K","5.58M","AtBid","N/A","76340"
"07-12 17:18:08.604","VTEB","Darkpool","50.13","94.19K","4.72M","AtAsk","N/A","94192"
"07-12 17:18:08.211","NFLX","Darkpool","444.05","7.68K","3.41M","AtBid","Communication Services","0.00175165589699736"
"07-12 17:18:08.186","SPWR","Darkpool","10.3","415.72K","4.28M","AtBid","Technology","0.48116490523799804"
"07-12 17:18:08.034","GM","Darkpool","40.41","28.25K","1.14M","AtBid","Consumer Cyclical","0.002037962191946437"
"07-12 17:18:07.793","JPM","Darkpool","148.15","105.77K","15.67M","AtBid","Financial","0.0036360832861936903"
"07-12 17:18:07.703","MDT","Darkpool","87.57","31.4K","2.75M","AtAsk","Healthcare","0.0023622766262449144"
"07-12 17:18:07.468","PNC","Darkpool","127.23","8.28K","1.05M","AtBid","Financial","0.0020908084986058927"
"07-12 17:18:07.466","SLB","Darkpool","56.68","49.26K","2.79M","AtAsk","Energy","0.003465675837669317"
"07-12 17:18:07.452","AI","Darkpool","40.22","34.65K","1.39M","AtBid","Real Estate","0.03658097028453279"
"07-12 17:18:07.432","QCOM","Darkpool","118.68","79.54K","9.44M","AtBid","Technology","0.007152014798586682"
"07-12 17:18:05.766","LCID","Darkpool","7.16","147.02K","1.05M","AtBid","Consumer Cyclical","0.022285604071250135"
"07-12 17:18:05.759","ERIC","Darkpool","5.64","239.64K","1.35M","AtBid","Technology","0.004028556349970406"
"07-12 17:18:04.753","CRM","Darkpool","227.28","15.88K","3.61M","AtBid","Technology","0.0016826984072172118"
"07-12 17:18:04.744","UNH","Darkpool","451.7","18.65K","8.42M","AtAsk","Healthcare","0.00201103669012544"
"07-12 17:18:04.729","LNC","Darkpool","26.21","97.83K","2.56M","AtAsk","Financial","0.05813053234716678"
"07-12 17:18:04.482","CVS","Darkpool","70.47","24.74K","1.74M","AtBid","Healthcare","0.0019352917081832937"
"07-12 17:18:04.458","WBA","Darkpool","30.32","56.07K","1.7M","AtBid","Healthcare","0.00784738551114097"
"07-12 17:18:04.086","ATVI","Darkpool","90","22.98K","2.07M","AtBid","Communication Services","0.0031434973234237156"
"07-12 17:18:04.081","PCG","Darkpool","18.18","25.42K","462.08K","AtAsk","Utilities","0.0013631371882069647"
"07-12 17:18:03.784","ENTG","Darkpool","107.48","2.59K","278.8K","AtBid","Technology","0.0017415215811012602"
"07-12 17:18:03.648","OPEN","Darkpool","4.89","243.34K","1.19M","AtAsk","Real Estate","0.046249003058778375"
"07-12 17:18:03.645","DIS","Darkpool","90.15","29.15K","2.63M","AtBid","Communication Services","0.0015964907304489486"
"07-12 17:18:03.621","AMZN","Darkpool","130.8","201.97K","26.42M","AtBid","Consumer Cyclical","0.002247845071259891"
"07-12 17:18:03.577","MRNA","Darkpool","125.92","6.62K","834.09K","AtBid","Healthcare","0.0019249655854280663"
"07-12 17:18:00.561","TMO","Darkpool","525.92","9.25K","4.86M","AtBid","Healthcare","0.0024028432829759144"
"07-12 17:18:00.485","DAL","Darkpool","47.95","37.79K","1.81M","AtBid","Industrials","0.005829761665803886"
"07-12 17:18:00.471","NKE","Darkpool","107.76","54.17K","5.84M","AtAsk","Consumer Cyclical","0.004438444291927944"
"07-12 17:18:00.449","RIVN","Darkpool","25.91","64.63K","1.67M","AtBid","Consumer Cyclical","0.010536918713453507"
"07-12 17:18:00.446","RIOT","Darkpool","17.65","14.84K","261.98K","AtBid","Technology","0.00889651666279271"
"07-12 17:18:00.429","FWONK","Darkpool","74.68","4.29K","320.6K","AtAsk","Communication Services","0.0021036158966916342"
"07-12 17:18:00.414","SWKS","Darkpool","112.85","16.49K","1.86M","AtBid","Technology","0.010401561909434877"
"07-12 17:18:00.173","BMY","Darkpool","62.28","40.02K","2.49M","AtBid","Healthcare","0.0019072343513861388"
"07-12 17:18:00.160","OLN","Darkpool","55.6","10.43K","579.91K","AtBid","Basic Materials","0.008104865741772233"
"07-12 17:18:00.128","TFC","Darkpool","33.02","34.39K","1.14M","AtBid","Financial","0.0025920633992571286"
"07-12 17:18:00.126","WBA","Darkpool","30.32","48.02K","1.46M","AtBid","Healthcare","0.00672083193371403"
"07-12 17:18:00.118","MO","Darkpool","45.69","25.43K","1.16M","AtBid","Consumer Defensive","0.001426019883983574"
"07-12 17:18:00.031","XOM","Darkpool","106.49","83.6K","8.9M","AtAsk","Energy","0.002071060071070481"
"07-12 17:18:00.015","LLY","Darkpool","440.6","103.43K","45.57M","AtBid","Healthcare","0.010917006910496935"
"07-12 17:18:00.003","NVDA","Darkpool","439.02","39.24K","17.23M","AtBid","Technology","0.0016550325529524582"
"07-12 17:18:00.000","SPY","Darkpool","446.02","4.05K","1.81M","AtBid","Financial","0"
"07-12 17:17:59.989","AVB","Darkpool","194.33","2.02K","392.74K","AtBid","Real Estate","0.0014301508217525614"
