"Time","Symbol","Type","Price","Size","Value","Filled","Sector","Mcap Proportion"
"10-12 17:36","XPEV","Darkpool","16.3","83.05K","1.35M","AtBid","Consumer Cyclical","0.016512447864506615"
"10-12 17:32","MRTX","Darkpool","56.14","85.5K","4.8M","AtBid","Healthcare","0.226781498565671"
"10-12 17:32","FANG","Darkpool","162.36","6.78K","1.1M","AtBid","Energy","0.003811528667769753"
"10-12 17:32","BA","Darkpool","191.3","72.35K","13.84M","AtAsk","Industrials","0.012959814014041168"
"10-12 17:32","NEE","Darkpool","53","205.29K","10.88M","AtAsk","Utilities","0.010166636013055595"
"10-12 17:32","UPST","Darkpool","27.74","77.66K","2.15M","AtAsk","Financial","0.10778209037216006"
"10-12 17:32","USB","Darkpool","32.26","44.89K","1.45M","AtAsk","Financial","0.0029356928726979406"
"10-12 17:32","META","Darkpool","324.16","211.32K","68.5M","AtAsk","Communication Services","0.009617575170027625"
"10-12 17:32","QS","Darkpool","6.13","235.81K","1.45M","AtAsk","Consumer Cyclical","0.07520283354663414"
"10-12 17:32","SQ","Darkpool","45.45","47.27K","2.15M","AtAsk","Technology","0.008653816057369514"
"10-12 17:32","CVS","Darkpool","70.92","121.46K","8.61M","AtBid","Healthcare","0.009484430427148829"
"10-12 17:32","SYY","Darkpool","62.69","53.42K","3.35M","AtAsk","Consumer Defensive","0.010606655908076792"
"10-12 17:32","BAC","Darkpool","26.9","293.65K","7.9M","AtBid","Financial","0.003707819075908257"
"10-12 17:32","T","Darkpool","14.45","79.8K","1.15M","AtAsk","Communication Services","0.0011176762816266694"
"10-12 17:32","ROK","Darkpool","300.03","3.87K","1.16M","AtAsk","Industrials","0.003379735569768266"
"10-12 17:32","AMZN","Darkpool","132.33","181.27K","23.99M","AtAsk","Consumer Cyclical","0.002004581258307803"
"10-12 17:30","BCE","Darkpool","38.13","9.83K","374.67K","AtAsk","Communication Services","0.0010777708534102112"
"10-12 17:30","ENB","Darkpool","32.78","63.82K","2.09M","AtAsk","Energy","0.0031587164948729237"
"10-12 17:30","NTR","Darkpool","60.32","31.53K","1.9M","AtAsk","Basic Materials","0.006378793475732325"
"10-12 17:30","SU","Darkpool","34.14","31.24K","1.07M","AtAsk","Energy","0.002402669599453771"
"10-12 17:30","MFC","Darkpool","18.6","42.09K","782.93K","AtAsk","Financial","0.0023037331913450397"
"10-12 17:30","BTE","Darkpool","4.17","68.61K","286.12K","AtAsk","Energy","0.009112795374863295"
"10-12 17:30","GOLD","Darkpool","15.24","392.59K","5.98M","AtAsk","Basic Materials","0.022504433431683672"
