"Time","Symbol","Type","Price","Size","Value","Filled","Sector","Mcap Proportion"
"09-07 17:41","RCL","Darkpool","97.232","2.9K","281.68K","AtAsk","Consumer Cyclical","0.0012685933050529132"
"09-07 17:40","CVS","Darkpool","65.6","43.65K","2.86M","AtBid","Healthcare","0.0034089029185126367"
"09-07 17:40","PYPL","Darkpool","61.65","228.32K","14.08M","AtAsk","Financial","0.0208358231938093"
"09-07 17:40","BAC","Darkpool","28.13","194.97K","5.48M","AtBid","Financial","0.0024623028260054814"
"09-07 17:39","AA","Darkpool","28.45","10.12K","287.8K","AtBid","Basic Materials","0.005714370866578241"
"09-07 17:39","ENPH","Darkpool","122.23","22.8K","2.79M","AtBid","Technology","0.01739591605692264"
"09-07 17:39","LVS","Darkpool","49.78","5.51K","274.14K","AtBid","Consumer Cyclical","0.0013463785376826476"
"09-07 17:39","AAP","Darkpool","63.39","67.79K","4.3M","AtBid","Consumer Cyclical","0.11531687695420274"
"09-07 17:38","DIS","Darkpool","80.57","22.44K","1.81M","AtBid","Communication Services","0.0012272379681432083"
"09-07 17:38","OXY","Darkpool","64.57","46.68K","3.01M","AtAsk","Energy","0.0052929195187536695"
"09-07 17:36","AAP","Darkpool","63.39","40.0K","2.54M","AtBid","Consumer Cyclical","0.06804660300895614"
"09-07 17:32","SPY","Darkpool","444.85","300.0K","133.46M","AtBid","Financial","0"
"09-07 17:30","META","Darkpool","298.67","500.0K","149.34M","AtBid","Communication Services","0.022755735725640554"
"09-07 17:18","RH","Darkpool","368.55","5.02K","1.85M","AtAsk","Consumer Cyclical","0.03461802844016916"
"09-07 17:08","SHOP","Darkpool","64.87","63.42K","4.11M","AtAsk","Technology","0.005279465567335477"
"09-07 17:08","VET","Darkpool","14.6","42.03K","613.59K","AtAsk","Energy","0.02639674036340285"
"09-07 17:08","GOLD","Darkpool","15.82","149.76K","2.37M","AtAsk","Basic Materials","0.008584999765393593"
"09-07 17:08","SU","Darkpool","34.22","127.71K","4.37M","AtAsk","Energy","0.00982445573897567"
"09-07 17:08","CPG","Darkpool","8.3","155.92K","1.29M","AtAsk","Energy","0.029249934527860993"
"09-07 17:08","BTG","Darkpool","3.02","622.29K","1.88M","AtAsk","Basic Materials","0.04849001593547721"
"09-07 17:08","BB","Darkpool","4.66","188.74K","879.52K","AtBid","Technology","0.03293357064335445"
"09-07 16:52","SPXL","Darkpool","88.33","10.3K","909.8K","AtBid","N/A","10300"
"09-07 16:52","SPY","Darkpool","444.85","50.0K","22.24M","AtBid","Financial","0"
"09-07 16:51","IWM","Darkpool","184.33","250.0K","46.08M","AtBid","Financial","0"
"09-07 16:49","ABNB","Darkpool","143.27","35.4K","5.07M","AtBid","Communication Services","0.008787530014037532"
"09-07 16:49","VMW","Darkpool","164.52","510.98K","84.07M","AtBid","Technology","0.23464779644908096"
"09-07 16:49","SNOW","Darkpool","159.84","9.62K","1.54M","AtBid","Technology","0.0034050005260486773"
"09-07 16:49","GEHC","Darkpool","65.9","20.19K","1.33M","AtBid","N/A","20186"
"09-07 16:49","ZI","Darkpool","17.82","70.73K","1.26M","AtBid","Technology","0.022477868974837365"
"09-07 16:49","AFG","Darkpool","111.71","11.7K","1.31M","AtBid","Financial","0.018598248056165022"
"09-07 16:49","C","Darkpool","40.73","120.58K","4.91M","AtBid","Financial","0.006461064125108732"
"09-07 16:49","HAL","Darkpool","41.08","47.58K","1.95M","AtAsk","Energy","0.005318077610959206"
"09-07 16:49","AMZN","Darkpool","137.85","269.58K","37.16M","AtBid","Consumer Cyclical","0.0029812279766825976"
"09-07 16:49","QCOM","Darkpool","106.4","52.77K","5.61M","AtBid","Technology","0.0047360505203614895"
"09-07 16:49","LLY","Darkpool","573.23","36.01K","20.64M","AtBid","Healthcare","0.004012615005510538"
"09-07 16:49","ORCL","Darkpool","125.09","354.55K","44.35M","AtAsk","Technology","0.022714951721916753"
"09-07 16:49","LNG","Darkpool","159.87","7.54K","1.21M","AtAsk","Energy","0.0031550789731121785"
"09-07 16:49","GWRE","Darkpool","84.84","26.88K","2.28M","AtAsk","Technology","0.03522128064088918"
"09-07 16:49","ADBE","Darkpool","560.46","7.29K","4.08M","AtBid","Technology","0.0016017484998839266"
"09-07 16:49","PR","Darkpool","14.17","77.4K","1.1M","AtBid","N/A","77400"
"09-07 16:49","WSM","Darkpool","143.99","8.66K","1.25M","AtAsk","Consumer Cyclical","0.01480197330697708"
"09-07 16:49","WOLF","Darkpool","43.07","30.89K","1.33M","NoMatch","N/A","30892"
"09-07 16:49","META","Darkpool","298.67","40.66K","12.14M","AtBid","Communication Services","0.0018505874521519924"
"09-07 16:49","NEU","Darkpool","453","2.27K","1.03M","NoMatch","Basic Materials","0.03380745145407769"
"09-07 16:47","HE","Darkpool","12.4","20.3K","251.72K","AtBid","Utilities","0.018634540205296455"
"09-07 16:47","ILMN","Darkpool","158.85","13.22K","2.1M","AtBid","Healthcare","0.008369507214851468"
"09-07 16:47","HAL","Darkpool","41.08","9.37K","385.08K","AtAsk","Energy","0.0010477880433211063"
"09-07 16:47","LLY","Darkpool","573.23","17.48K","10.02M","AtBid","Healthcare","0.0019476982754727367"
"09-07 16:47","CVNA","Darkpool","47.63","5.73K","272.82K","AtBid","Consumer Cyclical","0.0076126277173462695"
"09-07 16:47","SPY","Darkpool","444.85","58.87K","26.19M","AtBid","Financial","0"
"09-07 16:47","JDST","Darkpool","7.5","103.82K","778.65K","AtBid","N/A","103820"
"09-07 16:46","CCJ","Darkpool","37.1","97.08K","3.6M","AtBid","Energy","0.022459868834625113"
"09-07 16:46","TSLA","Darkpool","251.49","482.31K","121.3M","AtAsk","Consumer Cyclical","0.0177835155405239"
"09-07 16:46","VMW","Darkpool","164.52","88.93K","14.63M","AtBid","Technology","0.040836823514516"
"09-07 16:46","XEL","Darkpool","56.6","35.57K","2.01M","AtAsk","Utilities","0.006458833959389811"
"09-07 16:46","WW","Darkpool","11.23","105.18K","1.18M","AtAsk","Consumer Cyclical","0.15481267601440013"
"09-07 16:46","EDR","Darkpool","21.66","20.47K","443.38K","AtBid","N/A","20470"
"09-07 16:46","AMZN","Darkpool","137.85","636.48K","87.74M","AtBid","Consumer Cyclical","0.007038574604804579"
"09-07 16:46","RIOT","Darkpool","11.38","60.45K","687.89K","AtBid","Technology","0.034494198224456415"
"09-07 16:46","ALK","Darkpool","40.02","27.45K","1.1M","AtBid","Industrials","0.021666772008794494"
"09-07 16:46","AER","Darkpool","62.05","37.12K","2.3M","AtBid","Industrials","0.025838749842497368"
"09-07 16:46","AXON","Darkpool","216.06","7.23K","1.56M","AtAsk","N/A","7227"
"09-07 16:46","UVXY","Darkpool","14.72","81.3K","1.2M","AtAsk","Financial","81304"
"09-07 16:46","PCG","Darkpool","16.88","116.37K","1.96M","AtAsk","Utilities","0.005771087452211446"
"09-07 16:46","VZ","Darkpool","33.81","75.24K","2.54M","AtBid","Communication Services","0.0017910324142481728"
"09-07 16:46","UAA","Darkpool","7.26","141.05K","1.02M","AtAsk","Consumer Cyclical","0.03947189537328654"
"09-07 16:46","MRNA","Darkpool","108.35","10.86K","1.18M","AtBid","Healthcare","0.0031606262200533793"
"09-07 16:46","IWM","Darkpool","184.33","45.49K","8.38M","AtBid","Financial","0"
"09-07 16:46","ABNB","Darkpool","143.27","37.26K","5.34M","AtBid","Communication Services","0.009248790311974694"
"09-07 16:46","MCHP","Darkpool","79.1","1.02M","80.97M","AtBid","Technology","0.1921141488171374"
