"Time","Symbol","Type","Price","Size","Value","Filled","Sector","Mcap Proportion"
"06-30 17:29:12.831","AXP","Darkpool","174.2","2.96K","514.76K","AtBid","Financial","2955"
"06-30 17:28:59.973","TMUS","Darkpool","138.9","4.89K","679.5K","AtBid","Communication Services","4892"
"06-30 17:28:39.623","BAC","Darkpool","28.69","15.69K","450.17K","AtAsk","Financial","15691"
"06-30 17:28:29.237","AAPL","Darkpool","193.97","80.72K","15.66M","AtAsk","Technology","80722"
"06-30 17:24:13.254","IWM","Darkpool","187.27","122.5K","22.94M","AtAsk","Financial","0"
"06-30 17:23:47.766","QQQ","Darkpool","369.42","42.0K","15.52M","AtAsk","Financial","0"
"06-30 17:23:35.692","TMF","Darkpool","7.8","44.8K","349.44K","AtAsk","N/A","44800"
"06-30 17:23:35.518","SNAP","Darkpool","11.84","1.37M","16.24M","AtAsk","Communication Services","1371300"
"06-30 17:23:35.496","VIPS","Darkpool","16.5","203.0K","3.35M","AtBid","Consumer Cyclical","203000"
"06-30 17:23:35.480","TRTN","Darkpool","83.26","12.4K","1.03M","AtAsk","Industrials","12400"
"06-30 17:23:35.473","TRTN","Darkpool","83.26","29.8K","2.48M","AtAsk","Industrials","29800"
"06-30 17:23:35.460","TSM","Darkpool","100.92","161.2K","16.27M","AtBid","Technology","161200"
"06-30 17:23:35.450","BRC","Darkpool","47.57","261.5K","12.44M","AtBid","Industrials","261500"
"06-30 17:23:35.443","NVDA","Darkpool","423.02","389.5K","164.77M","AtAsk","Technology","389500"
"06-30 17:23:34.516","BIDU","Darkpool","136.91","63.4K","8.68M","AtAsk","Communication Services","63400"
"06-30 17:23:34.514","VALE","Darkpool","13.42","78.58K","1.05M","AtBid","Basic Materials","78576"
"06-30 17:23:34.496","ELF","Darkpool","114.23","119.0K","13.59M","AtBid","Consumer Defensive","119000"
"06-30 17:23:34.491","ELF","Darkpool","114.23","237.6K","27.14M","AtBid","Consumer Defensive","237600"
"06-30 17:23:34.424","USFR","Darkpool","50.32","8.1K","407.69K","AtBid","N/A","8102"
"06-30 17:23:34.422","GDXJ","Darkpool","35.66","68.3K","2.44M","AtAsk","N/A","68300"
"06-30 17:15:53.862","SPY","Darkpool","443.435","60.0K","26.61M","AtAsk","Financial","0"
"06-30 17:15:53.051","SPY","Darkpool","443.435","40.0K","17.74M","AtAsk","Financial","0"
"06-30 17:09:22.905","IWM","Darkpool","187.27","98.5K","18.45M","AtAsk","Financial","0"
"06-30 17:07:49.443","QQQ","Darkpool","369.42","103.7K","38.31M","AtAsk","Financial","0"
"06-30 17:06:55.321","TAP","Darkpool","65.84","92.0K","6.06M","AtAsk","Consumer Defensive","92000"
"06-30 17:05:25.829","EMB","Darkpool","86.54","32.49K","2.81M","AtAsk","Financial","32486"
"06-30 17:05:11.432","LQD","Darkpool","108.14","31.11K","3.36M","AtAsk","Financial","31115"
"06-30 17:03:26.727","HYG","Darkpool","75","5.0K","375.0K","AtBid","Financial","5000"
"06-30 16:57:12.003","TSM","Darkpool","100.92","170.5K","17.21M","AtBid","Technology","170501"
"06-30 16:57:11.984","BILI","Darkpool","15.1","21.04K","317.7K","AtAsk","Communication Services","21040"
"06-30 16:57:11.975","BABA","Darkpool","83.35","84.78K","7.07M","AtAsk","Consumer Cyclical","84780"
"06-30 16:55:19.928","SNAP","Darkpool","11.84","1.92M","22.7M","AtAsk","Communication Services","1917007"
"06-30 16:55:19.722","LULU","Darkpool","378.5","4.77K","1.81M","AtBid","Consumer Cyclical","4770"
"06-30 16:51:46.398","IWM","Darkpool","187.27","99.0K","18.54M","AtAsk","Financial","0"
"06-30 16:51:25.396","QQQ","Darkpool","369.42","75.0K","27.71M","AtAsk","Financial","0"
"06-30 16:49:55.388","IWM","Darkpool","187.27","11.0K","2.06M","AtAsk","Financial","0"
"06-30 16:49:14.874","HUM","Darkpool","447.13","6.15K","2.75M","AtAsk","Healthcare","6147"
"06-30 16:49:13.978","EXPI","Darkpool","20.28","16.07K","325.96K","AtAsk","Real Estate","16073"
"06-30 16:49:13.950","AI","Darkpool","36.43","24.8K","903.65K","AtAsk","Real Estate","24805"
"06-30 16:49:13.895","SQ","Darkpool","66.57","42.7K","2.84M","AtAsk","Technology","42703"
"06-30 16:49:13.839","IYR","Darkpool","86.54","20.21K","1.75M","AtAsk","N/A","20208"
"06-30 16:49:13.765","M","Darkpool","16.05","74.36K","1.19M","AtAsk","Consumer Cyclical","74359"
"06-30 16:49:11.908","NFLX","Darkpool","440.49","8.43K","3.71M","AtAsk","Communication Services","8428"
"06-30 16:49:11.791","SNAP","Darkpool","11.84","261.08K","3.09M","AtAsk","Communication Services","261081"
"06-30 16:49:11.762","SPY","Darkpool","443.28","40.94K","18.15M","AtAsk","Financial","0"
"06-30 16:49:11.155","UBER","Darkpool","43.17","129.11K","5.57M","AtAsk","Technology","129106"
"06-30 16:49:10.665","AZN","Darkpool","71.57","35.53K","2.54M","AtBid","Healthcare","35531"
"06-30 16:49:09.574","PYPL","Darkpool","66.73","32.44K","2.16M","AtAsk","Financial","32437"
"06-30 16:49:07.134","MSFT","Darkpool","340.54","209.55K","71.36M","AtAsk","Technology","209553"
"06-30 16:49:07.066","ATEN","Darkpool","14.59","39.52K","576.67K","AtBid","Technology","39525"
"06-30 16:49:01.403","PNC","Darkpool","125.95","2.54K","319.54K","AtAsk","Financial","2537"
"06-30 16:49:01.393","META","Darkpool","286.98","53.68K","15.4M","AtAsk","Communication Services","53679"
"06-30 16:49:00.697","ENPH","Darkpool","167.48","3.89K","652.0K","AtAsk","Technology","3893"
"06-30 16:49:00.687","INTC","Darkpool","33.44","168.6K","5.64M","AtAsk","Technology","168604"
"06-30 16:49:00.638","NVDA","Darkpool","423.02","62.45K","26.42M","AtAsk","Technology","62451"
"06-30 16:49:00.417","PCG","Darkpool","17.28","17.7K","305.8K","AtAsk","Utilities","17697"
"06-30 16:49:00.407","XOM","Darkpool","107.25","37.41K","4.01M","AtAsk","Energy","37407"
"06-30 16:48:59.525","RBLX","Darkpool","40.3","18.42K","742.16K","AtAsk","Communication Services","18416"
"06-30 16:48:59.485","SOXX","Darkpool","507.26","3.57K","1.81M","AtAsk","Financial","3569"
