"Time","Symbol","Type","Price","Size","Value","Filled","Sector","Mcap Proportion"
"09-25 17:38","UUUU","Darkpool","8.91","28.29K","252.08K","AtBid","Energy","0.018191988935320084"
"09-25 17:38","BCE","Darkpool","39.37","112.24K","4.42M","AtBid","Communication Services","0.012310894061169884"
"09-25 17:36","RETA","Darkpool","172.36","7.07K","1.22M","AtBid","Healthcare","0.023732926894931547"
"09-25 17:34","MSFT","Darkpool","317.54","1.26M","400.01M","AtBid","Technology","0.016969202562209275"
"09-25 17:29","ELF","Darkpool","106.8","115.3K","12.31M","AtBid","Consumer Defensive","0.22142843850566415"
"09-25 17:29","OPRA","Darkpool","13.69","21.9K","299.81K","AtBid","Technology","0.11514561240535715"
"09-25 17:29","IMVT","Darkpool","20.28","27.3K","553.64K","AtBid","Healthcare","0.04880409672671639"
"09-25 17:29","OPRA","Darkpool","13.69","129.6K","1.77M","AtBid","Technology","0.6814096514947162"
"09-25 17:29","JD","Darkpool","29.78","196.7K","5.86M","AtBid","Consumer Cyclical","0.016506854939361645"
"09-25 17:29","META","Darkpool","300.83","963.6K","289.88M","AtBid","Communication Services","0.043855367481182024"
"09-25 17:29","LBTYA","Darkpool","16.97","449.1K","7.62M","AtBid","Communication Services","0.13533654360695466"
"09-25 17:29","BTI","Darkpool","32.16","293.9K","9.45M","AtBid","Consumer Defensive","0.00293917474863468"
"09-25 17:29","GOOGL","Darkpool","131.11","731.2K","95.87M","AtBid","Communication Services","0.006719854035653694"
"09-25 17:29","SNAP","Darkpool","8.6","906.6K","7.8M","AtBid","Communication Services","0.08941586832347413"
"09-25 17:29","FUTU","Darkpool","58.06","92.5K","5.37M","AtBid","Financial","0.1633260428707732"
"09-25 17:29","URA","Darkpool","28.01","272.5K","7.63M","AtBid","N/A","272500"
"09-25 17:29","TGNA","Darkpool","14.55","87.1K","1.27M","AtBid","Communication Services","0.043689437241876496"
"09-25 17:27","MRVL","Darkpool","52.63","9.34K","491.35K","AtBid","Technology","0.0010893022745905613"
"09-25 17:27","CRWD","Darkpool","159.92","2.56K","409.4K","AtBid","Technology","0.0011501274165962865"
"09-25 17:24","EWZ","Darkpool","31","74.74K","2.32M","AtBid","N/A","74742"
"09-25 17:19","EWZ","Darkpool","31","3.0M","93.0M","AtBid","N/A","3000000"
"09-25 17:08","LAC","Darkpool","17.79","32.97K","586.5K","AtBid","Basic Materials","0.029115962011017453"
"09-25 17:07","NVDA","Darkpool","422.22","149.78K","63.24M","AtBid","Technology","0.006317722954030661"
"09-25 17:05","BAM","Darkpool","34.02","23.4K","796.0K","AtBid","Financial","0.006470552457140444"
"09-25 17:05","CCJ","Darkpool","41.49","77.58K","3.22M","AtBid","Energy","0.017947443985584986"
"09-25 17:05","SHOP","Darkpool","53.58","19.72K","1.06M","AtBid","Technology","0.0016413045160219041"
"09-25 17:05","ENB","Darkpool","34.45","249.76K","8.6M","AtBid","Energy","0.01236223512745208"
"09-25 17:05","UUUU","Darkpool","8.92","64.2K","572.71K","AtBid","Energy","0.04128434361629528"
"09-25 17:05","SPY","Darkpool","432.23","23.0K","9.94M","AtBid","Financial","0"
"09-25 16:52","AI","Darkpool","24.37","120.12K","2.93M","AtBid","Real Estate","0.12073294370771472"
"09-25 16:52","SPY","Darkpool","432.23","75.0K","32.42M","AtBid","Financial","0"
"09-25 16:51","WSM","Darkpool","156.28","17.33K","2.71M","AtBid","Consumer Cyclical","0.029631297528945687"
"09-25 16:51","PFE","Darkpool","32.98","67.42K","2.22M","AtAsk","Healthcare","0.001195168941629334"
"09-25 16:51","AMZN","Darkpool","131.27","441.16K","57.91M","AtBid","Consumer Cyclical","0.0048786072953760605"
"09-25 16:51","AVGO","Darkpool","833.89","19.07K","15.91M","AtBid","Technology","0.004692650599175341"
"09-25 16:51","LRCX","Darkpool","620.585","11.19K","6.94M","AtBid","Technology","0.008475242058049687"
"09-25 16:51","AES","Darkpool","16.24","186.31K","3.03M","AtBid","Utilities","0.02794751351657768"
"09-25 16:51","META","Darkpool","300.83","684.27K","205.85M","AtBid","Communication Services","0.03114254479215017"
"09-25 16:51","AFRM","Darkpool","20.22","325.05K","6.57M","AtBid","Technology","0.15453569980760698"
"09-25 16:51","VALE","Darkpool","13.4","177.24K","2.38M","AtBid","Basic Materials","0.004432908672672451"
"09-25 16:51","UBSI","Darkpool","27.23","39.54K","1.08M","AtBid","Financial","0.030023763174087"
"09-25 16:51","TDOC","Darkpool","19.07","61.27K","1.17M","AtBid","Healthcare","0.03742476173609282"
"09-25 16:51","X","Darkpool","32.05","36.1K","1.16M","AtBid","Basic Materials","0.016322982797763865"
"09-25 16:51","ADBE","Darkpool","511.6","28.35K","14.5M","AtBid","Technology","0.006230625720972405"
"09-25 16:51","APA","Darkpool","41.02","26.59K","1.09M","AtBid","Energy","0.00927355736743315"
"09-25 16:51","MELI","Darkpool","1290.53","3.08K","3.97M","AtBid","Consumer Cyclical","0.006656351988239147"
"09-25 16:51","GS","Darkpool","328.84","8.54K","2.81M","AtBid","Financial","0.002475551515276124"
"09-25 16:51","MDB","Darkpool","333.31","3.54K","1.18M","AtBid","Technology","0.005142205848042333"
"09-25 16:51","NVDA","Darkpool","422.22","270.02K","114.01M","AtBid","Technology","0.011389186226635109"
"09-25 16:51","HPQ","Darkpool","26.3","103.85K","2.73M","AtBid","Technology","0.01193232548065738"
"09-25 16:51","MU","Darkpool","68.58","883.13K","60.56M","AtBid","Technology","0.08086712587488448"
"09-25 16:51","SNOW","Darkpool","149.74","20.2K","3.02M","AtBid","Technology","0.007088580254750402"
"09-25 16:51","SPXL","Darkpool","81.08","211.46K","17.15M","AtBid","N/A","211459"
"09-25 16:51","GDX","Darkpool","28.51","54.0K","1.54M","AtBid","Financial","54000"
"09-25 16:46","QQQ","Darkpool","359.61","30.0K","10.79M","AtBid","Financial","0"
"09-25 16:45","IWM","Darkpool","177.46","90.0K","15.97M","AtBid","Financial","0"
"09-25 16:44","SPY","Darkpool","430.393","254.34K","109.47M","AtBid","Financial","0"
"09-25 16:42","SPY","Darkpool","430.393","254.34K","109.47M","AtBid","Financial","0"
"09-25 16:40","AI","Darkpool","24.37","36.38K","886.58K","AtBid","Real Estate","0.03656502965390737"
"09-25 16:33","CVS","Darkpool","72.57","15.44K","1.12M","AtBid","Healthcare","0.0012052608132902098"
"09-25 16:33","SPY","Darkpool","432.23","26.28K","11.36M","AtBid","Financial","0"
"09-25 16:33","QQQ","Darkpool","357.966","208.12K","74.5M","AtBid","Financial","0"
"09-25 16:31","WDC","Darkpool","44.62","8.41K","375.08K","AtBid","Technology","0.0026245253854470366"
"09-25 16:31","PM","Darkpool","93.72","23.2K","2.17M","AtBid","Consumer Defensive","0.0014976730437660185"
"09-25 16:31","XPEV","Darkpool","16.69","70.89K","1.18M","AtBid","Consumer Cyclical","0.014256580501461088"
"09-25 16:31","WDC","Darkpool","44.62","59.17K","2.64M","AtBid","Technology","0.018475647119180157"
"09-25 16:31","JD","Darkpool","29.78","82.78K","2.47M","AtBid","Consumer Cyclical","0.006946557861288962"
"09-25 16:29","MCHP","Darkpool","77.43","5.7K","441.2K","AtBid","Technology","0.001069346435070451"
"09-25 16:29","EWZ","Darkpool","31","28.81K","893.11K","AtBid","N/A","28810"
"09-25 16:29","AMD","Darkpool","97.38","16.74K","1.63M","AtBid","Technology","0.0010423998301408324"
"09-25 16:27","OKE","Darkpool","66.54","13.34K","887.64K","AtBid","Energy","0.0030015123684820925"
"09-25 16:21","QQQ","Darkpool","357.966","208.1K","74.49M","AtBid","Financial","0"
"09-25 16:20","SPY","Darkpool","430.393","254.34K","109.47M","AtBid","Financial","0"
"09-25 16:20","CHPT","Darkpool","4.92","1.17M","5.76M","AtBid","Consumer Cyclical","0.3588044723303055"
"09-25 16:20","NVDA","Darkpool","422.22","24.24K","10.23M","AtBid","Technology","0.00102224759329359"
"09-25 16:17","SPY","Darkpool","432.5","2.5K","1.08M","AtAsk","Financial","0"
"09-25 16:17","IWM","Darkpool","177.46","69.05K","12.25M","AtBid","Financial","0"
"09-25 16:16","QQQ","Darkpool","359.61","182.59K","65.66M","AtBid","Financial","0"
"09-25 16:14","LUV","Darkpool","27.65","23.9K","660.84K","AtAsk","Industrials","0.0040294972348249615"
"09-25 16:14","KWEB","Darkpool","27.22","403.85K","10.99M","AtBid","Financial","403852"
"09-25 16:12","VGT","Darkpool","415.857","508.0K","211.26M","AtBid","N/A","508000"
"09-25 16:12","XPEV","Darkpool","16.6","750.0K","12.45M","AtBid","Consumer Cyclical","0.15082498097267452"
"09-25 16:11","SPY","Darkpool","430.393","254.34K","109.47M","AtBid","Financial","0"
"09-25 16:11","IVV","Darkpool","436.025","615.99K","268.59M","AtBid","N/A","615986"
"09-25 16:11","LI","Darkpool","35.36","73.6K","2.6M","AtBid","Consumer Cyclical","0.014395572313140509"
"09-25 16:11","USB","Darkpool","33.59","25.0K","839.75K","AtAsk","Financial","0.0016348641588133411"
"09-25 16:11","FCX","Darkpool","37.2","171.85K","6.39M","AtAsk","Basic Materials","0.01205080631555236"
"09-25 16:11","LI","Darkpool","35.36","9.5K","335.92K","AtBid","Consumer Cyclical","0.0018581241436798211"
"09-25 16:10","SPY","Darkpool","432.125","620.8K","268.26M","AtBid","Financial","0"
"09-25 16:10","SSO","Darkpool","54.3958","400.0K","21.76M","AtBid","N/A","400000"
"09-25 16:10","IVV","Darkpool","435.173","100.0K","43.52M","AtBid","N/A","100000"
"09-25 16:10","SPY","Darkpool","432.125","300.0K","129.64M","AtBid","Financial","0"
"09-25 16:09","QQQ","Darkpool","358.225","8.94K","3.2M","AtBid","Financial","0"
"09-25 16:09","BBEU","Darkpool","51.0322","36.5K","1.86M","AtBid","N/A","36500"
"09-25 16:09","VMBS","Darkpool","43.97","163.7K","7.2M","AtAsk","Financial","163700"
"09-25 16:09","QQQ","Darkpool","359.617","27.0K","9.71M","AtBid","Financial","0"
"09-25 16:09","QQQ","Darkpool","359.607","29.0K","10.43M","AtBid","Financial","0"
"09-25 16:09","QQQ","Darkpool","359.617","92.0K","33.08M","AtBid","Financial","0"
"09-25 16:09","QQQ","Darkpool","359.617","8.0K","2.88M","AtBid","Financial","0"
"09-25 16:09","SPY","Darkpool","432.124","90.0K","38.89M","AtBid","Financial","0"
"09-25 16:09","SPY","Darkpool","432.124","500.0K","216.06M","AtBid","Financial","0"
"09-25 16:09","SPY","Darkpool","432.124","20.0K","8.64M","AtBid","Financial","0"
"09-25 16:09","SPY","Darkpool","432.124","500.0K","216.06M","AtBid","Financial","0"
"09-25 16:09","SPY","Darkpool","432.124","200.0K","86.42M","AtBid","Financial","0"
"09-25 16:09","SPY","Darkpool","432.124","466.0K","201.37M","AtBid","Financial","0"
"09-25 16:09","SPY","Darkpool","432.124","180.0K","77.78M","AtBid","Financial","0"
"09-25 16:09","SPY","Darkpool","432.124","200.0K","86.42M","AtBid","Financial","0"
"09-25 16:09","SPY","Darkpool","432.124","500.0K","216.06M","AtBid","Financial","0"
"09-25 16:09","SPY","Darkpool","432.124","300.0K","129.64M","AtBid","Financial","0"
