"Time","Symbol","Type","Price","Size","Value","Filled","Sector","Mcap Proportion"
"08-02 17:41","SCLX","Darkpool","6","102.8K","616.77K","AtAsk","N/A","102795"
"08-02 17:41","PYPL","Darkpool","73.2","63.91K","4.68M","AtAsk","Financial","63909"
"08-02 17:40","NVDA","Darkpool","440.721","2.16K","952.84K","AtAsk","Technology","2162"
"08-02 17:39","PYPL","Darkpool","67.8638","4.64K","314.62K","AtBid","Financial","4636"
"08-02 17:36","META","Darkpool","314.31","9.8K","3.08M","AtAsk","Communication Services","9800"
"08-02 17:36","AMZN","Darkpool","128.21","19.8K","2.54M","AtBid","Consumer Cyclical","19800"
"08-02 17:36","AAPL","Darkpool","192.58","15.4K","2.97M","AtAsk","Technology","15400"
"08-02 17:35","PYPL","Darkpool","68.2","4.0K","272.8K","AtAsk","Financial","4000"
"08-02 17:24","PYPL","Darkpool","68.9951","5.27K","363.4K","AtAsk","Financial","5267"
"08-02 17:19","PYPL","Darkpool","68.9504","5.35K","368.88K","AtBid","Financial","5350"
"08-02 17:19","TSLA","Darkpool","252.976","1.11K","280.55K","AtAsk","Consumer Cyclical","1109"
"08-02 17:09","CHRD","Darkpool","154.17","4.8K","740.02K","AtAsk","N/A","4800"
"08-02 17:09","BABA","Darkpool","95.07","176.8K","16.81M","AtAsk","Consumer Cyclical","176800"
"08-02 17:09","TSM","Darkpool","95.7","450.8K","43.14M","AtAsk","Technology","450800"
"08-02 17:09","TMDX","Darkpool","88.06","8.4K","739.7K","AtBid","Healthcare","8400"
"08-02 17:09","TMDX","Darkpool","88.06","163.1K","14.36M","AtBid","Healthcare","163100"
"08-02 17:09","MELI","Darkpool","1164.81","9.7K","11.3M","AtBid","Consumer Cyclical","9700"
"08-02 17:09","QTWO","Darkpool","34.25","215.3K","7.37M","AtBid","Technology","215300"
"08-02 17:09","GH","Darkpool","36.14","329.2K","11.9M","AtAsk","Healthcare","329200"
"08-02 17:09","FRSH","Darkpool","21.61","539.1K","11.65M","AtBid","N/A","539100"
"08-02 17:09","BKH","Darkpool","59.31","8.1K","480.41K","AtBid","Utilities","8100"
"08-02 17:09","CHGG","Darkpool","10.16","743.7K","7.56M","AtAsk","Consumer Defensive","743700"
"08-02 17:09","ARNC","Darkpool","29.88","346.3K","10.35M","AtBid","Industrials","346300"
"08-02 17:09","TAL","Darkpool","7.37","789.9K","5.82M","AtAsk","Consumer Defensive","789900"
"08-02 17:08","LCID","Darkpool","6.89","130.18K","896.93K","AtAsk","Consumer Cyclical","130178"
"08-02 17:08","MELI","Darkpool","1164.81","2.88K","3.35M","AtBid","Consumer Cyclical","2875"
"08-02 17:08","NVDA","Darkpool","442.69","65.97K","29.21M","AtAsk","Technology","65972"
"08-02 17:08","CMCSA","Darkpool","45.09","238.25K","10.74M","AtBid","Communication Services","238255"
"08-02 17:08","WBD","Darkpool","12.55","139.54K","1.75M","AtBid","N/A","139543"
"08-02 17:08","NFLX","Darkpool","429.7","25.46K","10.94M","AtAsk","Communication Services","25463"
"08-02 17:08","PDD","Darkpool","84.01","34.98K","2.94M","AtAsk","Consumer Cyclical","34976"
"08-02 17:08","COST","Darkpool","552.35","25.4K","14.03M","AtBid","Consumer Defensive","25403"
"08-02 17:08","MSFT","Darkpool","327.5","198.6K","65.04M","AtAsk","Technology","198597"
"08-02 17:08","AAPL","Darkpool","192.58","420.1K","80.9M","AtAsk","Technology","420103"
"08-02 17:08","AMD","Darkpool","109.35","92.24K","10.09M","AtAsk","Technology","92243"
"08-02 17:08","CTSH","Darkpool","65.34","29.07K","1.9M","AtBid","Technology","29068"
"08-02 17:08","EBAY","Darkpool","43.76","30.63K","1.34M","AtAsk","Consumer Cyclical","30630"
"08-02 17:08","AZN","Darkpool","70.47","33.9K","2.39M","AtBid","Healthcare","33904"
"08-02 17:08","HON","Darkpool","192.9","38.13K","7.36M","AtBid","Industrials","38130"
"08-02 17:08","BIIB","Darkpool","271.56","8.29K","2.25M","AtBid","Healthcare","8291"
"08-02 17:08","MRVL","Darkpool","62.11","49.26K","3.06M","AtAsk","Technology","49261"
