"Time","Symbol","Type","Price","Size","Value","Filled","Sector","Mcap Proportion"
"07-26 17:30:59.959","GDX","Darkpool","31.65","77.18K","2.44M","AtBid","Financial","77177"
"07-26 17:30:07.209","SPY","Darkpool","455.51","250.0K","113.88M","AtAsk","Financial","0"
"07-26 17:29:37.197","SPY","Darkpool","455.51","250.0K","113.88M","AtAsk","Financial","0"
"07-26 17:23:57.056","DIS","Darkpool","85.86","400.0K","34.34M","AtAsk","Communication Services","0.02190746769035867"
"07-26 17:23:56.937","ARKK","Darkpool","48.28","106.31K","5.13M","AtBid","Financial","106313"
"07-26 17:23:56.930","BMY","Darkpool","63.41","28.76K","1.82M","AtBid","Healthcare","0.0013705000427643287"
"07-26 17:20:13.826","SIMO","Darkpool","65.35","113.8K","7.44M","AtAsk","Technology","0.3624653093944001"
"07-26 17:20:13.816","PBR","Darkpool","14.54","449.4K","6.53M","AtAsk","Energy","0.010870910740015298"
"07-26 17:20:13.812","JD","Darkpool","39.13","172.2K","6.74M","AtBid","Consumer Cyclical","0.014530559394977884"
"07-26 17:20:12.859","TME","Darkpool","6.49","845.8K","5.49M","AtBid","Communication Services","0.11105500515145934"
"07-26 17:20:12.851","SYNA","Darkpool","89.32","8.7K","777.08K","AtBid","Technology","0.0222345389641511"
"07-26 17:20:12.848","PDD","Darkpool","84.11","189.2K","15.91M","AtBid","Consumer Cyclical","0.02773284025086037"
"07-26 17:20:12.820","BABA","Darkpool","97.14","274.1K","26.63M","AtBid","Consumer Cyclical","0.013193282063562161"
"07-26 17:19:12.377","AEM","Darkpool","52.21","16.22K","846.69K","AtBid","Basic Materials","0.00329113539125822"
"07-26 17:16:07.621","CMG","Darkpool","2087.86","1.04K","2.18M","AtAsk","Consumer Cyclical","0.0038147106339384692"
"07-26 17:14:29.477","SIMO","Darkpool","92.5465","15.0K","1.39M","AtAsk","Technology","0.047776622503655546"
