"Time","Symbol","Type","Price","Size","Value","Filled","Sector","Mcap Proportion"
"07-17 17:42:38.457","UNM","Darkpool","48.49","33.0K","1.6M","AtBid","Financial","0.016883249769773866"
"07-17 17:38:47.718","QQQ","Darkpool","382.61","300.0K","114.78M","AtAsk","Financial","0"
"07-17 17:38:42.830","QQQ","Darkpool","382.61","300.0K","114.78M","AtAsk","Financial","0"
"07-17 17:33:41.114","GM","Darkpool","38.75","23.55K","912.56K","AtAsk","Consumer Cyclical","0.0017444444444444445"
"07-17 17:17:32.641","FLYW","Darkpool","34.9","2.41M","83.95M","AtAsk","N/A","2405389"
"07-17 17:12:35.825","GDX","Darkpool","31.97","11.82K","377.92K","AtAsk","Financial","11821"
"07-17 17:11:16.453","QQQ","Darkpool","382.61","65.0K","24.87M","AtAsk","Financial","0"
"07-17 17:10:27.519","COMP","Darkpool","3.9","469.2K","1.83M","AtBid","N/A","469200"
"07-17 17:10:27.513","BABA","Darkpool","93.41","643.2K","60.08M","AtBid","Consumer Cyclical","0.025125"
"07-17 17:10:27.509","FOLD","Darkpool","13.35","247.4K","3.3M","AtAsk","Healthcare","0.09819018891887601"
"07-17 17:10:27.508","ARGX","Darkpool","484.43","5.8K","2.81M","AtAsk","Healthcare","0.010416666666666666"
"07-17 17:10:27.481","BILI","Darkpool","16.64","194.4K","3.23M","AtAsk","Communication Services","0.05021179873953921"
"07-17 17:10:27.480","BIDU","Darkpool","149.66","159.2K","23.83M","AtBid","Communication Services","0.05670929362732875"
"07-17 17:10:27.473","GDX","Darkpool","31.97","103.7K","3.32M","AtAsk","Financial","103700"
"07-17 17:09:22.441","QQQ","Darkpool","382.61","75.0K","28.7M","AtAsk","Financial","0"
"07-17 17:07:23.430","IWM","Darkpool","193.58","150.0K","29.04M","AtAsk","Financial","0"
"07-17 17:05:03.416","SPY","Darkpool","450.84","100.0K","45.08M","AtAsk","Financial","0"
"07-17 16:49:57.349","JBLU","Darkpool","7.96","419.15K","3.34M","AtAsk","Industrials","0.13019817972851241"
"07-17 16:49:57.337","AZUL","Darkpool","10.72","97.3K","1.04M","AtBid","Industrials","0.08697148475909539"
"07-17 16:49:57.329","SLB","Darkpool","56.51","22.38K","1.26M","AtAsk","Energy","0.001576338028169014"
"07-17 16:49:57.329","C","Darkpool","46.26","97.48K","4.51M","AtAsk","Financial","0.005050621761658031"
"07-17 16:49:57.321","AMZN","Darkpool","133.56","281.59K","37.61M","AtAsk","Consumer Cyclical","0.0030409179265658746"
"07-17 16:49:57.318","MPW","Darkpool","9.85","104.93K","1.03M","AtAsk","Real Estate","0.017706196004319653"
"07-17 16:49:57.309","BA","Darkpool","211.87","15.16K","3.21M","AtBid","Industrials","0.0025465264713786617"
"07-17 16:49:57.273","NKE","Darkpool","108.71","573.49K","62.34M","AtAsk","Consumer Cyclical","0.04700762295081967"
"07-17 16:49:57.270","BAC","Darkpool","29.4","99.58K","2.93M","AtBid","Financial","0.0012510301507537688"
"07-17 16:49:57.259","PLTR","Darkpool","17.4","141.88K","2.47M","AtBid","Technology","0.008107314285714286"
"07-17 16:49:57.198","XOM","Darkpool","101.38","43.67K","4.43M","AtAsk","Energy","0.0010863930348258709"
"07-17 16:49:57.191","AMD","Darkpool","118.32","90.97K","10.76M","AtAsk","Technology","0.00565"
"07-17 16:49:57.189","TWLO","Darkpool","66.47","16.74K","1.11M","AtBid","Communication Services","0.009659510618651893"
"07-17 16:49:57.147","ADBE","Darkpool","522","17.46K","9.12M","AtAsk","Technology","0.003868288144603934"
"07-17 16:49:57.145","NVDA","Darkpool","464.61","39.36K","18.29M","AtBid","Technology","0.0016678813559322034"
"07-17 16:49:57.141","USB","Darkpool","35.26","31.18K","1.1M","AtAsk","Financial","0.0020376470588235295"
"07-17 16:49:57.135","JBHT","Darkpool","183.38","14.84K","2.72M","AtAsk","Industrials","0.018120879120879122"
"07-17 16:49:57.131","GPN","Darkpool","112.3","13.1K","1.47M","AtAsk","Industrials","0.005035351982785121"
"07-17 16:49:57.130","AFRM","Darkpool","17.12","130.45K","2.23M","AtBid","Technology","0.058430529427573236"
"07-17 16:49:57.126","NOW","Darkpool","592.38","4.08K","2.42M","AtAsk","Technology","0.0020256244723643045"
"07-17 16:49:57.122","SCHW","Darkpool","58.64","18.11K","1.06M","AtBid","Financial","0.001071301775147929"
"07-17 16:49:57.108","AMT","Darkpool","186.26","7.33K","1.37M","AtAsk","Real Estate","0.0015786980209746538"
"07-17 16:38:00.712","CMCSA","Darkpool","42.09","109.54K","4.61M","AtAsk","Communication Services","0.002658665048543689"
"07-17 16:37:15.005","SQM","Darkpool","77.974","15.0K","1.17M","AtBid","Basic Materials","0.010502730709984595"
"07-17 16:36:31.442","C","Darkpool","46.26","28.67K","1.33M","AtAsk","Financial","0.0014855958549222798"
"07-17 16:35:41.245","JPM","Darkpool","153.38","101.48K","15.57M","AtAsk","Financial","0.0034873539518900346"
"07-17 16:35:18.122","SPWR","Darkpool","11.16","177.75K","1.98M","AtBid","Technology","0.10282887886150642"
"07-17 16:35:18.091","MELI","Darkpool","1179.17","1.64K","1.93M","AtAsk","Consumer Cyclical","0.0035394594594594596"
"07-17 16:35:17.745","VRT","Darkpool","26.35","25.51K","672.24K","AtAsk","Industrials","0.007890146594915569"
"07-17 16:35:17.741","MSFT","Darkpool","345.73","268.51K","92.83M","AtAsk","Technology","0.0036187735849056604"
"07-17 16:35:17.735","NFLX","Darkpool","450.05","15.85K","7.14M","AtBid","Communication Services","0.0036146830825353397"
"07-17 16:35:16.913","GOOGL","Darkpool","124.65","169.97K","21.19M","AtAsk","Communication Services","0.0028710472972972973"
"07-17 16:35:16.897","CSGP","Darkpool","90.61","4.12K","373.68K","AtAsk","Real Estate","0.0010247999602405447"
"07-17 16:35:16.020","GOOG","Darkpool","125.06","129.38K","16.18M","AtAsk","Communication Services","0.0025318786692759294"
"07-17 16:35:15.985","NOW","Darkpool","592.38","3.4K","2.02M","AtAsk","Technology","0.0016894274221582162"
"07-17 16:35:15.952","TGTX","Darkpool","21.48","93.29K","2.0M","AtAsk","Healthcare","0.06996700164991751"
"07-17 16:35:15.945","CNK","Darkpool","15.03","20.25K","304.3K","AtAsk","Communication Services","0.018694367497691596"
"07-17 16:35:15.910","AAPL","Darkpool","193.99","457.02K","88.66M","AtAsk","Technology","0.002909083386378103"
"07-17 16:35:14.498","SPLG","Darkpool","53.02","9.5K","503.69K","AtAsk","N/A","9500"
"07-17 16:35:14.486","SLB","Darkpool","56.51","14.49K","818.66K","AtAsk","Energy","0.0010202112676056339"
"07-17 16:35:14.465","GILD","Darkpool","77.48","22.52K","1.74M","AtAsk","Healthcare","0.0018304878048780488"
"07-17 16:35:13.732","ELS","Darkpool","67.22","16.29K","1.1M","AtAsk","Real Estate","0.009205470162748643"
"07-17 16:35:13.671","PEP","Darkpool","185.63","209.3K","38.85M","AtAsk","Consumer Defensive","0.015166739130434783"
"07-17 16:35:13.651","IONQ","Darkpool","14.9","53.68K","799.85K","AtAsk","N/A","53681"
"07-17 16:35:13.645","LESL","Darkpool","5.46","335.02K","1.83M","AtBid","N/A","335018"
"07-17 16:35:13.517","NIO","Darkpool","10.56","179.68K","1.9M","AtBid","Consumer Cyclical","0.012653239436619718"
"07-17 16:35:13.491","TEAM","Darkpool","180.43","7.2K","1.3M","AtAsk","Technology","0.005020914668153932"
"07-17 16:35:13.151","AMD","Darkpool","118.32","73.22K","8.66M","AtBid","Technology","0.004547950310559006"
"07-17 16:35:12.000","LABD","Darkpool","13.13","32.48K","426.53K","AtAsk","N/A","32485"
"07-17 16:35:11.994","META","Darkpool","310.62","62.69K","19.47M","AtBid","Communication Services","0.002849727272727273"
"07-17 16:35:11.985","LRCX","Darkpool","660.07","4.87K","3.22M","AtAsk","Technology","0.003639826710487003"
"07-17 16:35:10.048","EXPI","Darkpool","24.63","20.46K","503.91K","AtAsk","Real Estate","0.02681389252948886"
"07-17 16:35:10.029","PANW","Darkpool","250.05","92.26K","23.07M","AtAsk","Technology","0.030988848582560794"
"07-17 16:35:09.417","C","Darkpool","46.26","23.45K","1.08M","AtAsk","Financial","0.001214818652849741"
"07-17 16:35:09.397","DAL","Darkpool","46.8","37.57K","1.76M","AtAsk","Industrials","0.005866543819101755"
"07-17 16:35:09.397","AMZN","Darkpool","133.56","225.62K","30.13M","AtAsk","Consumer Cyclical","0.002436511879049676"
"07-17 16:35:09.389","PDD","Darkpool","79.1","405.66K","32.09M","AtAsk","Consumer Cyclical","0.041949494322764784"
"07-17 16:35:09.219","MCHP","Darkpool","92.18","24.34K","2.24M","AtAsk","Technology","0.004519746736728745"
"07-17 16:35:09.202","ARKK","Darkpool","49.68","11.24K","558.35K","AtAsk","Financial","11239"
"07-17 16:35:09.150","KO","Darkpool","60.81","101.28K","6.16M","AtBid","Consumer Defensive","0.0023553488372093025"
"07-17 16:35:08.990","CSCO","Darkpool","50.81","204.67K","10.4M","AtBid","Technology","0.005028796068796068"
"07-17 16:35:08.969","ASML","Darkpool","754.49","61.41K","46.33M","AtAsk","Technology","0.01556363728521466"
"07-17 16:35:07.386","NVDA","Darkpool","464.61","85.92K","39.92M","AtBid","Technology","0.0036405084745762713"
"07-17 16:35:07.384","TSLA","Darkpool","290.38","395.46K","114.84M","AtBid","Consumer Cyclical","0.014328442028985507"
"07-17 16:35:07.381","JD","Darkpool","37.78","13.21K","499.26K","AtAsk","Consumer Cyclical","0.001032421875"
"07-17 16:35:07.377","ODFL","Darkpool","383.28","3.2K","1.23M","AtAsk","Industrials","0.0033198380566801617"
"07-17 16:35:07.352","CPRX","Darkpool","13.47","43.66K","588.15K","AtAsk","Healthcare","0.0447102191275855"
"07-17 16:35:07.350","ED","Darkpool","92.42","6.42K","593.43K","AtAsk","Utilities","0.001856209528214616"
"07-17 16:35:07.205","RIG","Darkpool","7.93","77.32K","613.17K","AtBid","Energy","0.011544881748686096"
"07-17 16:35:05.126","LEN","Darkpool","130.39","24.4K","3.18M","AtAsk","Consumer Cyclical","0.009921112556929082"
"07-17 16:35:05.036","MS","Darkpool","86.37","58.0K","5.01M","AtBid","Financial","0.004427251908396946"
"07-17 16:35:04.948","CENX","Darkpool","9.04","134.0K","1.21M","AtBid","Basic Materials","0.2606945525291829"
"07-17 16:35:04.942","GOL","Darkpool","4.13","244.74K","1.01M","AtBid","Industrials","0.14575605979393721"
"07-17 16:35:04.906","ON","Darkpool","104.33","20.41K","2.13M","AtAsk","Technology","0.0047380029252664085"
"07-17 16:35:04.790","LESL","Darkpool","5.46","665.43K","3.63M","AtBid","N/A","665426"
"07-17 16:32:51.263","IWM","Darkpool","191.522","254.32K","48.71M","AtBid","Financial","0"
"07-17 16:32:38.599","RBLX","Darkpool","44.5","9.53K","423.95K","AtAsk","Communication Services","0.0018148395085246212"
"07-17 16:32:11.551","F","Darkpool","14.09","168.48K","2.37M","AtBid","Consumer Cyclical","0.004342216494845361"
"07-17 16:32:11.550","ZION","Darkpool","31.36","19.8K","621.08K","AtBid","Financial","0.013456311998912895"
"07-17 16:32:11.550","DAL","Darkpool","46.8","33.72K","1.58M","AtAsk","Industrials","0.0052651633456180895"
"07-17 16:31:00.971","APLS","Darkpool","52.46","20.3K","1.06M","AtAsk","Healthcare","0.021706586826347306"
"07-17 16:31:00.963","PANW","Darkpool","250.05","28.0K","7.0M","AtAsk","Technology","0.009404809888485825"
"07-17 16:31:00.956","USB","Darkpool","35.26","285.9K","10.08M","AtAsk","Financial","0.01868627450980392"
"07-17 16:31:00.954","TMST","Darkpool","22.66","47.0K","1.07M","AtAsk","Basic Materials","0.1306644425910481"
"07-17 16:31:00.863","RVNC","Darkpool","22.28","38.1K","848.87K","AtAsk","Healthcare","0.04794261985654964"
"07-17 16:31:00.862","NEE","Darkpool","72.66","211.5K","15.37M","AtAsk","Utilities","0.010681818181818181"
"07-17 16:31:00.860","PLAY","Darkpool","44.27","41.0K","1.82M","AtBid","Consumer Cyclical","0.09768882535144151"
"07-17 16:31:00.835","MOD","Darkpool","37.19","23.4K","870.25K","AtBid","Consumer Cyclical","0.046181172291296625"
"07-17 16:30:21.674","MELI","Darkpool","1179.17","12.0K","14.15M","AtAsk","Consumer Cyclical","0.025945945945945945"
"07-17 16:30:21.667","BA","Darkpool","211.87","17.0K","3.6M","AtBid","Industrials","0.0028554152109647943"
"07-17 16:30:13.827","QQQ","Darkpool","379.048","207.42K","78.62M","AtBid","Financial","0"
"07-17 16:29:55.702","DAL","Darkpool","46.8","76.47K","3.58M","AtAsk","Industrials","0.011940939471547255"
"07-17 16:29:55.690","AMT","Darkpool","186.26","8.3K","1.55M","AtAsk","Real Estate","0.0017873678316859402"
"07-17 16:29:43.472","FYBR","Darkpool","12.05","130.31K","1.57M","AtBid","N/A","130312"
"07-17 16:29:43.458","RIVN","Darkpool","23.99","41.09K","985.68K","AtAsk","Consumer Cyclical","0.005127094850069257"
"07-17 16:29:43.424","PATH","Darkpool","18.45","27.95K","515.64K","AtAsk","N/A","27948"
"07-17 16:29:38.695","F","Darkpool","14.09","42.1K","593.22K","AtBid","Consumer Cyclical","0.001085103092783505"
"07-17 16:28:56.226","GM","Darkpool","38.75","16.0K","620.0K","AtAsk","Consumer Cyclical","0.0011851851851851852"
"07-17 16:28:56.225","ON","Darkpool","104.33","8.0K","834.64K","AtAsk","Technology","0.0018573120052004736"
"07-17 16:28:09.708","KRE","Darkpool","43.88","12.01K","526.87K","AtAsk","N/A","12007"
"07-17 16:28:09.708","IWM","Darkpool","193.58","13.38K","2.59M","AtAsk","Financial","0"
"07-17 16:26:16.414","F","Darkpool","14.09","98.4K","1.39M","AtBid","Consumer Cyclical","0.0025361340206185566"
"07-17 16:26:16.101","IWM","Darkpool","193.58","50.5K","9.78M","AtAsk","Financial","0"
"07-17 16:26:05.518","QQQ","Darkpool","382.61","76.1K","29.12M","AtAsk","Financial","0"
"07-17 16:25:57.389","F","Darkpool","14.09","278.4K","3.92M","AtBid","Consumer Cyclical","0.007175283505154639"
"07-17 16:25:23.981","RIVN","Darkpool","23.99","86.29K","2.07M","AtAsk","Consumer Cyclical","0.010767560552553752"
"07-17 16:25:23.976","QS","Darkpool","10.27","33.81K","347.22K","AtBid","Consumer Cyclical","0.011575253355245138"
"07-17 16:24:50.654","SPY","Darkpool","450.84","46.97K","21.18M","AtAsk","Financial","0"
"07-17 16:24:50.633","F","Darkpool","14.09","82.83K","1.17M","AtBid","Consumer Cyclical","0.002134896907216495"
"07-17 16:24:50.488","T","Darkpool","13.53","116.36K","1.57M","AtBid","Communication Services","0.0016342134831460675"
"07-17 16:24:50.471","BRK/B","Darkpool","344.25","4.65K","1.6M","AtAsk","N/A","4647"
"07-17 16:24:49.019","VZ","Darkpool","31.46","49.47K","1.56M","AtBid","Communication Services","0.0011777380952380952"
"07-17 16:24:49.001","AMT","Darkpool","186.26","6.94K","1.29M","AtAsk","Real Estate","0.0014947132674376037"
"07-17 16:18:48.965","SNAP","Darkpool","13.47","1.43M","19.3M","AtBid","Communication Services","0.11556451612903226"
"07-17 16:16:51.405","IBM","Darkpool","134.26","10.8K","1.45M","AtAsk","Technology","0.0011957977704714778"
"07-17 16:16:00.024","MARA","Darkpool","17.26","635.0K","10.96M","AtBid","Financial","0.38714790879161076"
"07-17 16:14:39.141","QQQ","Darkpool","382.61","7.0K","2.68M","AtAsk","Financial","0"
"07-17 16:14:34.083","SPY","Darkpool","450.84","8.0K","3.61M","AtAsk","Financial","0"
"07-17 16:14:21.536","IONQ","Darkpool","14.9","547.5K","8.16M","AtAsk","N/A","547500"
"07-17 16:12:41.649","MU","Darkpool","65.23","16.36K","1.07M","AtAsk","Technology","0.0015007339449541284"
"07-17 16:11:59.290","RIVN","Darkpool","23.99","172.58K","4.14M","AtAsk","Consumer Cyclical","0.02153574503662478"
"07-17 16:11:30.590","SNAP","Darkpool","13.47","54.8K","738.16K","AtBid","Communication Services","0.004419354838709678"
"07-17 16:11:25.090","QQQ","Darkpool","379.048","207.42K","78.62M","NoMatch","Financial","0"
"07-17 16:11:13.733","RSP","Darkpool","152.371","4.5K","685.67K","AtAsk","N/A","4500"
"07-17 16:10:16.721","AA","Darkpool","35.57","9.2K","327.07K","AtAsk","Basic Materials","0.005243798118049615"
"07-17 16:10:16.683","XBI","Darkpool","85.76","26.59K","2.28M","AtAsk","Financial","26594"
"07-17 16:10:16.674","QQQ","Darkpool","382.61","5.74K","2.2M","AtAsk","Financial","0"
"07-17 16:10:16.660","KRE","Darkpool","43.88","38.88K","1.71M","AtAsk","N/A","38875"
"07-17 16:10:16.651","PLTR","Darkpool","17.4","33.88K","589.44K","AtBid","Technology","0.0019357714285714285"
"07-17 16:10:08.806","XOM","Darkpool","101.102","148.2K","14.98M","AtBid","Energy","0.0036865671641791047"
"07-17 16:09:43.854","GEHC","Darkpool","81.19","14.87K","1.21M","AtAsk","N/A","14867"
"07-17 16:09:43.853","ON","Darkpool","104.33","14.0K","1.46M","AtAsk","Technology","0.003250528173101479"
"07-17 16:09:43.852","MRVL","Darkpool","64.56","30.23K","1.95M","AtAsk","Technology","0.00356405993940037"
"07-17 16:09:43.852","MCHP","Darkpool","92.18","17.07K","1.57M","AtAsk","Technology","0.003170061459048963"
"07-17 16:09:43.851","MU","Darkpool","65.16","35.86K","2.34M","AtAsk","Technology","0.00329"
"07-17 16:09:43.850","LRCX","Darkpool","660.07","4.34K","2.87M","AtAsk","Technology","0.0032439498057962356"
"07-17 16:09:43.850","AMAT","Darkpool","145.5","27.64K","4.02M","AtAsk","Technology","0.003312959167775261"
"07-17 16:09:33.618","QQQ","Darkpool","382.643","70.0K","26.79M","AtAsk","Financial","0"
"07-17 16:09:33.617","QQQ","Darkpool","382.643","70.0K","26.79M","AtAsk","Financial","0"
"07-17 16:09:33.617","QQQ","Darkpool","382.633","300.0K","114.79M","AtAsk","Financial","0"
"07-17 16:09:33.416","QQQ","Darkpool","382.643","50.0K","19.13M","AtAsk","Financial","0"
"07-17 16:09:33.416","QQQ","Darkpool","382.643","30.0K","11.48M","AtAsk","Financial","0"
"07-17 16:09:33.416","QQQ","Darkpool","382.643","100.0K","38.26M","AtAsk","Financial","0"
"07-17 16:09:33.285","QQQ","Darkpool","382.643","70.0K","26.79M","AtAsk","Financial","0"
"07-17 16:09:33.285","QQQ","Darkpool","382.643","100.0K","38.26M","AtAsk","Financial","0"
