"Time","Symbol","Type","Price","Size","Value","Filled","Sector","Mcap Proportion"
"08-17 17:35","IWM","Darkpool","183.65","100.0K","18.36M","AtAsk","Financial","0"
"08-17 17:35","MDB","Darkpool","351.17","100.0K","35.12M","AtAsk","Technology","0.14716834274729976"
"08-17 17:35","ATVI","Darkpool","90.43","400.0K","36.17M","AtBid","Communication Services","0.05119990877405054"
"08-17 17:35","VRT","Darkpool","32.99","1.0M","32.99M","AtAsk","Industrials","0.3149257252400907"
"08-17 17:35","MRVL","Darkpool","57.56","400.0K","23.02M","AtAsk","Technology","0.04682677208309598"
"08-17 17:35","QCOM","Darkpool","110.08","807.51K","88.89M","AtAsk","Technology","0.0724812906773091"
"08-17 17:35","GOOGL","Darkpool","129.92","179.4K","23.31M","AtAsk","Communication Services","0.00164873530320616"
"08-17 17:35","SPY","Darkpool","436.29","120.0K","52.35M","AtAsk","Financial","0"
"08-17 17:34","IWM","Darkpool","183.65","310.0K","56.93M","AtAsk","Financial","0"
"08-17 17:32","QQQ","Darkpool","358.58","250.0K","89.64M","AtAsk","Financial","0"
"08-17 17:30","BILL","Darkpool","101.56","41.0K","4.16M","AtAsk","Technology","0.04252743932620604"
"08-17 17:29","QQQ","Darkpool","358.58","250.0K","89.64M","AtAsk","Financial","0"
"08-17 17:14","SQ","Darkpool","56.1","99.0K","5.55M","AtAsk","Technology","0.0181292384293876"
"08-17 17:11","RLX","Darkpool","1.42","2.59M","3.68M","AtBid","N/A","2590400"
"08-17 17:11","STNG","Darkpool","51.64","103.0K","5.32M","AtBid","Energy","0.24110394897135576"
"08-17 17:11","TSM","Darkpool","91.64","459.5K","42.11M","AtAsk","Technology","0.0011881738350249657"
"08-17 17:11","BABA","Darkpool","90.65","489.7K","44.39M","AtAsk","Consumer Cyclical","0.01927952755905512"
"08-17 17:11","ODP","Darkpool","47.56","79.5K","3.78M","AtAsk","Consumer Cyclical","0.23116358443707888"
"08-17 17:11","STNE","Darkpool","12.33","120.46K","1.49M","AtAsk","Technology","0.04222790059530746"
"08-17 17:11","AAPL","Darkpool","174","2.39M","415.79M","AtAsk","Technology","0.01530093424678807"
"08-17 17:11","PDD","Darkpool","79.66","295.6K","23.55M","AtAsk","Consumer Cyclical","0.04332889840462117"
"08-17 17:11","FRSH","Darkpool","21.1","192.6K","4.06M","AtAsk","N/A","192600"
"08-17 17:11","VIPS","Darkpool","16.23","21.0K","340.83K","AtAsk","Consumer Cyclical","0.00639881906807983"
"08-17 17:11","MSFT","Darkpool","316.88","946.8K","300.02M","AtAsk","Technology","0.012753669769368483"
"08-17 17:11","ACAD","Darkpool","28.9","17.6K","508.64K","AtAsk","Healthcare","0.01572803004654264"
"08-17 17:11","SMTC","Darkpool","25.03","158.8K","3.97M","AtAsk","Technology","0.2516050716167377"
