"Time","Symbol","Type","Price","Size","Value","Filled","Sector","Mcap Proportion"
"10-20 17:42","SHOP","Darkpool","51.2","39.2K","2.01M","AtAsk","Technology","0.0032629278155722205"
"10-20 17:42","NEM","Darkpool","38.87","17.97K","698.46K","AtAsk","Basic Materials","0.0022647039832067125"
"10-20 17:26","TMUS","Darkpool","136.99","12.0K","1.64M","AtBid","Communication Services","0.0021684841687220117"
"10-20 17:23","MU","Darkpool","67.22","73.2K","4.92M","AtAsk","Technology","0.006685773478373189"
"10-20 17:22","SPY","Darkpool","421.19","100.0K","42.12M","AtAsk","Financial","0"
"10-20 17:22","QQQ","Darkpool","354.6","75.0K","26.59M","AtAsk","Financial","0"
"10-20 17:22","IWM","Darkpool","166.44","125.0K","20.8M","AtBid","Financial","0"
"10-20 17:22","SPY","Darkpool","421.252","424.32K","178.75M","AtAsk","Financial","0"
"10-20 17:21","SPY","Darkpool","421.252","400.0K","168.5M","AtAsk","Financial","0"
"10-20 17:21","SPY","Darkpool","421.252","300.0K","126.38M","AtAsk","Financial","0"
"10-20 17:15","TRP","Darkpool","33.87","81.29K","2.75M","AtBid","Energy","0.008134594215951165"
"10-20 17:15","CM","Darkpool","35.42","171.64K","6.08M","AtBid","Financial","0.018584120394696157"
"10-20 17:15","KGC","Darkpool","5.34","169.59K","905.62K","AtBid","Basic Materials","0.013921059653221858"
"10-20 17:15","ENB","Darkpool","31.77","224.9K","7.15M","AtBid","Energy","0.011132079977535495"
"10-20 17:15","BEPC","Darkpool","23.17","29.53K","684.14K","AtBid","N/A","29527"
"10-20 17:15","NVEI","Darkpool","15.21","55.78K","848.41K","AtAsk","N/A","55780"
"10-20 17:15","GOLD","Darkpool","16.87","454.5K","7.67M","AtBid","Basic Materials","0.02605348087584495"
"10-20 17:15","MGA","Darkpool","50.87","16.95K","862.5K","AtAsk","Consumer Cyclical","0.005931056268544739"
"10-20 17:15","AQN","Darkpool","5.01","373.76K","1.87M","AtBid","Utilities","0.05876414412504393"
"10-20 17:12","BIDU","Darkpool","106.46","41.0K","4.36M","AtAsk","Communication Services","0.014643201258086708"
